,classes,3,4,12,21,22,27,33,Total,bacia,model,version,year
32947,21,0,5,1,9,0,0,0,15,7421,Temporal,10,2019
32948,22,0,0,0,0,0,0,0,0,7421,Temporal,10,2019
32949,27,0,0,0,0,0,0,0,0,7421,Temporal,10,2019
32950,33,0,0,0,0,0,0,0,0,7421,Temporal,10,2019
32951,Total,1,68,1,13,1,0,0,84,7421,Temporal,10,2019
32952,3,21,11,0,0,1,0,0,33,753,Temporal,10,2004
32953,4,96,224,1,22,8,0,0,351,753,Temporal,10,2004
32954,12,4,5,0,4,1,0,0,14,753,Temporal,10,2004
32955,21,22,65,0,22,27,0,0,136,753,Temporal,10,2004
32956,22,5,2,1,1,14,0,0,23,753,Temporal,10,2004
32957,27,0,0,0,0,0,0,0,0,753,Temporal,10,2004
32958,33,4,2,0,0,1,0,13,20,753,Temporal,10,2004
32959,Total,152,309,2,49,52,0,13,577,753,Temporal,10,2004
32960,3,0,7,0,6,0,0,0,13,757,Temporal,10,2001
32961,4,0,141,4,38,2,0,0,185,757,Temporal,10,2001
32962,12,0,0,1,4,0,0,0,5,757,Temporal,10,2001
32963,21,0,47,4,146,4,0,0,201,757,Temporal,10,2001
32964,22,0,0,0,2,0,0,0,2,757,Temporal,10,2001
32965,27,0,1,0,2,0,0,0,3,757,Temporal,10,2001
32966,33,0,1,0,2,0,0,4,7,757,Temporal,10,2001
32967,Total,0,197,9,200,6,0,4,416,757,Temporal,10,2001
32968,3,7,7,0,1,0,0,0,15,754,Temporal,10,2007
32969,4,22,401,0,82,3,0,0,508,754,Temporal,10,2007
32970,12,1,4,0,10,1,0,0,16,754,Temporal,10,2007
32971,21,1,104,0,124,11,0,2,242,754,Temporal,10,2007
32972,22,0,1,0,2,1,0,0,4,754,Temporal,10,2007
32973,27,0,0,0,0,0,0,0,0,754,Temporal,10,2007
32974,33,2,3,0,1,0,0,16,22,754,Temporal,10,2007
32975,Total,33,520,0,220,16,0,18,807,754,Temporal,10,2007
32976,3,3,15,0,0,0,0,0,18,763,Temporal,9,2010
32977,4,14,175,3,17,0,0,0,209,763,Temporal,9,2010
32978,12,0,2,8,5,0,0,0,15,763,Temporal,9,2010
32979,21,1,30,0,113,0,0,0,144,763,Temporal,9,2010
32980,22,0,0,0,0,1,0,0,1,763,Temporal,9,2010
32981,27,0,0,0,0,0,0,0,0,763,Temporal,9,2010
32982,33,0,0,0,0,0,0,3,3,763,Temporal,9,2010
32983,Total,18,222,11,135,1,0,3,390,763,Temporal,9,2010
32984,3,0,6,0,0,0,0,0,6,756,Temporal,10,2000
32985,4,0,204,0,52,9,0,0,265,756,Temporal,10,2000
32986,12,0,2,0,4,1,0,0,7,756,Temporal,10,2000
32987,21,0,60,0,74,6,0,0,140,756,Temporal,10,2000
32988,22,0,0,0,2,1,0,0,3,756,Temporal,10,2000
32989,27,0,0,0,0,0,0,0,0,756,Temporal,10,2000
32990,33,0,1,0,1,0,0,6,8,756,Temporal,10,2000
32991,Total,0,273,0,133,17,0,6,429,756,Temporal,10,2000
32992,3,6,9,0,0,0,0,0,15,754,Temporal,10,1995
32993,4,32,423,0,59,3,0,0,517,754,Temporal,10,1995
32994,12,0,7,0,10,0,0,0,17,754,Temporal,10,1995
32995,21,6,138,0,86,3,0,3,236,754,Temporal,10,1995
32996,22,0,0,0,2,2,0,0,4,754,Temporal,10,1995
32997,27,1,4,0,1,0,0,0,6,754,Temporal,10,1995
32998,33,2,4,0,0,0,0,6,12,754,Temporal,10,1995
32999,Total,47,585,0,158,8,0,9,807,754,Temporal,10,1995
33000,3,3,5,0,0,0,0,0,8,759,Temporal,9,1996
33001,4,0,48,1,9,3,0,0,61,759,Temporal,9,1996
33002,12,0,0,0,0,0,0,0,0,759,Temporal,9,1996
33003,21,1,49,0,46,7,0,0,103,759,Temporal,9,1996
33004,22,0,0,0,3,0,0,0,3,759,Temporal,9,1996
33005,27,0,0,0,0,0,0,0,0,759,Temporal,9,1996
33006,33,0,1,0,0,0,0,0,1,759,Temporal,9,1996
33007,Total,4,103,1,58,10,0,0,176,759,Temporal,9,1996
33008,3,4,5,0,0,0,0,0,9,772,Temporal,10,1996
33009,4,9,119,0,25,3,0,0,156,772,Temporal,10,1996
33010,12,0,1,0,0,0,0,0,1,772,Temporal,10,1996
33011,21,5,66,0,148,23,0,0,242,772,Temporal,10,1996
33012,22,0,0,0,1,1,0,0,2,772,Temporal,10,1996
33013,27,0,1,0,1,1,0,0,3,772,Temporal,10,1996
33014,33,0,0,0,0,0,0,0,0,772,Temporal,10,1996
33015,Total,18,192,0,175,28,0,0,413,772,Temporal,10,1996
33016,3,0,0,0,0,0,0,0,0,7614,Temporal,5,2014
33017,4,12,65,0,6,0,0,0,83,7614,Temporal,5,2014
33018,12,0,0,0,0,0,0,0,0,7614,Temporal,5,2014
33019,21,1,28,0,42,5,0,0,76,7614,Temporal,5,2014
33020,22,0,0,0,0,2,0,0,2,7614,Temporal,5,2014
33021,27,0,0,0,0,0,0,0,0,7614,Temporal,5,2014
33022,33,0,0,0,0,0,0,0,0,7614,Temporal,5,2014
33023,Total,13,93,0,48,7,0,0,161,7614,Temporal,5,2014
33024,3,0,6,0,0,0,0,0,6,7619,Temporal,10,2004
33025,4,0,237,17,18,6,0,0,278,7619,Temporal,10,2004
33026,12,0,4,0,2,4,0,3,13,7619,Temporal,10,2004
33027,21,0,6,2,49,4,0,1,62,7619,Temporal,10,2004
33028,22,0,0,0,0,0,0,0,0,7619,Temporal,10,2004
33029,27,0,0,0,0,0,0,0,0,7619,Temporal,10,2004
33030,33,0,0,0,0,0,0,2,2,7619,Temporal,10,2004
33031,Total,0,253,19,69,14,0,6,361,7619,Temporal,10,2004
33032,3,3,4,0,1,0,0,0,8,759,Temporal,10,2000
33033,4,2,51,0,6,0,0,0,59,759,Temporal,10,2000
33034,12,0,0,0,0,0,0,0,0,759,Temporal,10,2000
33035,21,2,47,2,46,6,0,0,103,759,Temporal,10,2000
33036,22,0,0,0,1,3,0,0,4,759,Temporal,10,2000
33037,27,0,1,0,0,0,0,0,1,759,Temporal,10,2000
33038,33,0,1,0,0,0,0,0,1,759,Temporal,10,2000
33039,Total,7,104,2,54,9,0,0,176,759,Temporal,10,2000
33040,3,0,1,0,1,0,0,0,2,7615,Temporal,9,2012
