,classes,3,4,12,21,22,33,Total,bacia,model,version,year
3164,3,7,1,0,1,0,0,9,772,toExport,29,2021
3165,4,11,63,0,32,0,0,106,772,toExport,29,2021
3166,12,1,0,0,0,0,0,1,772,toExport,29,2021
3167,21,0,29,0,188,3,0,220,772,toExport,29,2021
3168,22,0,0,0,0,1,0,1,772,toExport,29,2021
3169,33,0,1,0,0,0,0,1,772,toExport,29,2021
3170,Total,19,94,0,221,4,0,338,772,toExport,29,2021
3171,3,6,2,0,0,0,0,8,745,toExport,29,2017
3172,4,27,33,0,1,1,0,62,745,toExport,29,2017
3173,12,0,1,0,0,1,0,2,745,toExport,29,2017
3174,21,0,5,0,2,1,0,8,745,toExport,29,2017
3175,22,0,0,0,0,0,0,0,745,toExport,29,2017
3176,33,0,0,0,0,0,0,0,745,toExport,29,2017
3177,Total,33,41,0,3,3,0,80,745,toExport,29,2017
3178,3,0,6,0,0,0,0,6,756,toExport,29,1999
3179,4,0,188,7,47,0,0,242,756,toExport,29,1999
3180,12,0,2,1,2,1,0,6,756,toExport,29,1999
3181,21,0,52,0,80,0,0,132,756,toExport,29,1999
3182,22,0,1,1,4,1,0,7,756,toExport,29,1999
3183,33,0,2,1,0,0,4,7,756,toExport,29,1999
3184,Total,0,251,10,133,2,4,400,756,toExport,29,1999
3185,3,2,9,0,1,0,0,12,754,toExport,29,2017
3186,4,11,357,0,95,0,0,463,754,toExport,29,2017
3187,12,0,3,0,11,0,0,14,754,toExport,29,2017
3188,21,1,56,0,161,1,0,219,754,toExport,29,2017
3189,22,0,1,0,2,2,0,5,754,toExport,29,2017
3190,33,0,3,0,4,0,4,11,754,toExport,29,2017
3191,Total,14,429,0,274,3,4,724,754,toExport,29,2017
3192,3,1,0,0,0,0,0,1,773,toExport,29,2012
3193,4,1,2,0,2,0,0,5,773,toExport,29,2012
3194,12,0,1,0,0,0,0,1,773,toExport,29,2012
3195,21,1,0,0,38,0,0,39,773,toExport,29,2012
3196,22,0,0,0,2,0,0,2,773,toExport,29,2012
3197,33,0,0,0,0,0,0,0,773,toExport,29,2012
3198,Total,3,3,0,42,0,0,48,773,toExport,29,2012
3199,3,2,0,0,1,0,0,3,771,toExport,29,2020
3200,4,6,68,0,36,0,0,110,771,toExport,29,2020
3201,12,0,1,0,2,0,0,3,771,toExport,29,2020
3202,21,0,10,0,127,2,0,139,771,toExport,29,2020
3203,22,0,0,0,2,0,0,2,771,toExport,29,2020
3204,33,0,0,0,0,0,0,0,771,toExport,29,2020
3205,Total,8,79,0,168,2,0,257,771,toExport,29,2020
3206,3,4,4,0,4,0,0,12,759,toExport,29,2006
3207,4,0,26,0,9,0,0,35,759,toExport,29,2006
3208,12,0,0,0,0,0,0,0,759,toExport,29,2006
3209,21,0,13,0,67,0,0,80,759,toExport,29,2006
3210,22,0,1,0,1,0,0,2,759,toExport,29,2006
3211,33,0,0,0,1,0,0,1,759,toExport,29,2006
3212,Total,4,44,0,82,0,0,130,759,toExport,29,2006
3213,3,0,0,0,0,0,0,0,7614,toExport,29,2021
3214,4,2,60,0,6,0,0,68,7614,toExport,29,2021
3215,12,0,0,0,0,0,0,0,7614,toExport,29,2021
3216,21,2,29,0,32,1,0,64,7614,toExport,29,2021
3217,22,0,0,0,0,0,0,0,7614,toExport,29,2021
3218,33,0,0,0,0,0,0,0,7614,toExport,29,2021
3219,Total,4,89,0,38,1,0,132,7614,toExport,29,2021
3220,3,3,11,0,0,0,0,14,744,toExport,29,1991
3221,4,19,499,0,42,2,0,562,744,toExport,29,1991
3222,12,0,10,3,8,1,0,22,744,toExport,29,1991
3223,21,0,41,0,97,3,0,141,744,toExport,29,1991
3224,22,0,1,0,1,0,0,2,744,toExport,29,1991
3225,33,0,0,0,2,0,0,2,744,toExport,29,1991
3226,Total,22,562,3,150,6,0,743,744,toExport,29,1991
3227,3,1,1,0,0,0,0,2,7615,toExport,29,2018
3228,4,0,114,0,53,1,0,168,7615,toExport,29,2018
3229,12,0,0,0,17,4,0,21,7615,toExport,29,2018
3230,21,2,20,0,55,6,0,83,7615,toExport,29,2018
3231,22,0,0,0,4,0,0,4,7615,toExport,29,2018
3232,33,0,0,0,0,0,2,2,7615,toExport,29,2018
3233,Total,3,135,0,129,11,2,280,7615,toExport,29,2018
3234,3,0,0,0,0,0,0,0,7617,toExport,29,2008
3235,4,0,133,0,16,0,0,149,7617,toExport,29,2008
3236,12,0,1,0,4,0,0,5,7617,toExport,29,2008
3237,21,0,9,0,20,1,0,30,7617,toExport,29,2008
3238,22,0,0,0,0,1,0,1,7617,toExport,29,2008
3239,33,0,1,0,2,0,32,35,7617,toExport,29,2008
3240,Total,0,144,0,42,2,32,220,7617,toExport,29,2008
3241,3,9,8,1,0,2,0,20,751,toExport,29,2009
3242,4,27,106,0,0,0,0,133,751,toExport,29,2009
3243,12,0,3,1,4,0,0,8,751,toExport,29,2009
3244,21,3,35,0,7,0,0,45,751,toExport,29,2009
3245,22,0,4,1,0,4,0,9,751,toExport,29,2009
3246,33,0,1,1,0,1,0,3,751,toExport,29,2009
3247,Total,39,157,4,11,7,0,218,751,toExport,29,2009
3248,3,0,1,0,0,0,0,1,7421,toExport,29,2022
3249,4,0,64,0,8,0,0,72,7421,toExport,29,2022
3250,12,0,0,0,2,0,0,2,7421,toExport,29,2022
3251,21,0,9,1,4,0,0,14,7421,toExport,29,2022
3252,22,0,0,0,0,0,0,0,7421,toExport,29,2022
3253,33,0,0,0,0,0,0,0,7421,toExport,29,2022
3254,Total,0,74,1,14,0,0,89,7421,toExport,29,2022
3255,3,0,0,0,0,0,0,0,7616,toExport,29,2016
3256,4,0,68,0,24,0,0,92,7616,toExport,29,2016
3257,12,0,2,1,0,0,0,3,7616,toExport,29,2016
3258,21,0,7,0,25,0,0,32,7616,toExport,29,2016
3259,22,0,0,0,0,0,0,0,7616,toExport,29,2016
3260,33,0,0,0,0,0,0,0,7616,toExport,29,2016
3261,Total,0,77,1,49,0,0,127,7616,toExport,29,2016
3262,3,1,1,0,0,0,0,2,7615,toExport,29,2019
3263,4,0,114,0,54,1,0,169,7615,toExport,29,2019
3264,12,0,0,0,17,4,0,21,7615,toExport,29,2019
3265,21,2,18,0,56,6,0,82,7615,toExport,29,2019
3266,22,0,0,0,4,0,0,4,7615,toExport,29,2019
3267,33,0,0,0,0,0,2,2,7615,toExport,29,2019
3268,Total,3,133,0,131,11,2,280,7615,toExport,29,2019
3269,3,8,1,0,1,0,0,10,772,toExport,29,1985
3270,4,13,135,0,44,0,0,192,772,toExport,29,1985
3271,12,1,0,0,0,0,0,1,772,toExport,29,1985
3272,21,2,35,0,93,3,0,133,772,toExport,29,1985
3273,22,0,0,0,1,0,0,1,772,toExport,29,1985
3274,33,0,0,0,1,0,0,1,772,toExport,29,1985
3275,Total,24,171,0,140,3,0,338,772,toExport,29,1985
3276,3,144,197,0,18,3,0,362,Caatinga,toExport,29,2004
3277,4,261,4402,15,713,9,1,5401,Caatinga,toExport,29,2004
3278,12,3,75,22,106,11,4,221,Caatinga,toExport,29,2004
3279,21,40,806,2,2191,42,3,3084,Caatinga,toExport,29,2004
