,aggrement,area,bacia,classe,year,Models,version
102,1,31195.54529859928,7422,12,2019,Temporal,5
103,2,233858.9507357185,7422,12,2019,Temporal,5
104,3,6466.089433903839,7422,12,2019,Temporal,5
105,1,21614.18310163297,7422,12,2020,Temporal,5
106,2,164441.0906872633,7422,12,2020,Temporal,5
107,3,16041.82567948216,7422,12,2020,Temporal,5
108,1,20369.89240871465,7422,12,2021,Temporal,5
109,2,195909.3691096516,7422,12,2021,Temporal,5
110,3,15112.234192108746,7422,12,2021,Temporal,5
111,1,22308.441702244607,7422,12,2022,Temporal,5
112,2,295366.9283460822,7422,12,2022,Temporal,5
113,3,14731.636396170294,7422,12,2022,Temporal,5
114,1,16057.407785658996,7619,3,1985,Temporal,5
115,2,26304.297770545745,7619,3,1985,Temporal,5
116,3,4334.227450081739,7619,3,1985,Temporal,5
117,1,16059.256894996748,7619,3,1986,Temporal,5
118,2,26249.919915580707,7619,3,1986,Temporal,5
119,3,4325.610747139475,7619,3,1986,Temporal,5
120,1,19064.756996737386,7619,3,1987,Temporal,5
121,2,37519.02077660715,7619,3,1987,Temporal,5
122,3,1502.574890641562,7619,3,1987,Temporal,5
123,1,19004.66715863217,7619,3,1988,Temporal,5
124,2,40960.70809515649,7619,3,1988,Temporal,5
125,3,1731.329860547355,7619,3,1988,Temporal,5
126,1,19133.541896381837,7619,3,1989,Temporal,5
127,2,39910.39449289659,7619,3,1989,Temporal,5
128,3,1516.5876121449678,7619,3,1989,Temporal,5
129,1,19526.254537825003,7619,3,1990,Temporal,5
130,2,50161.66305639814,7619,3,1990,Temporal,5
131,3,1279.4021495035558,7619,3,1990,Temporal,5
132,1,19246.419963688248,7619,3,1991,Temporal,5
133,2,38761.16409219036,7619,3,1991,Temporal,5
134,3,1434.9667345045875,7619,3,1991,Temporal,5
135,1,17985.097490832944,7619,3,1992,Temporal,5
136,2,30062.87036833456,7619,3,1992,Temporal,5
137,3,2236.199847332621,7619,3,1992,Temporal,5
138,1,17581.738768688792,7619,3,1993,Temporal,5
139,2,27849.28251352425,7619,3,1993,Temporal,5
140,3,2090.22480521284,7619,3,1993,Temporal,5
141,1,23027.790759791467,7619,3,1994,Temporal,5
142,2,29820.988313570877,7619,3,1994,Temporal,5
143,3,5027.206270930757,7619,3,1994,Temporal,5
144,1,24519.315137320693,7619,3,1995,Temporal,5
145,2,36875.09141445413,7619,3,1995,Temporal,5
146,3,6493.100908646782,7619,3,1995,Temporal,5
