,classes,3,4,12,15,18,22,27,33,Total,bacia,model,version,year
94,18,0,0,0,0,0,0,0,0,0,759,toExport,10,1998
95,22,0,3,0,0,0,0,0,0,3,759,toExport,10,1998
96,27,0,0,0,0,0,1,0,0,1,759,toExport,10,1998
97,33,0,1,0,0,0,0,0,0,1,759,toExport,10,1998
98,Total,3,59,0,0,0,1,0,0,63,759,toExport,10,1998
99,3,3,8,1,0,0,0,0,0,12,744,toExport,5,1990
100,4,23,449,55,0,0,0,0,3,530,744,toExport,5,1990
101,12,0,2,15,0,0,2,0,0,19,744,toExport,5,1990
102,15,0,0,0,0,0,0,0,0,0,744,toExport,5,1990
103,18,0,0,0,0,0,0,0,0,0,744,toExport,5,1990
104,22,0,0,1,0,0,1,0,0,2,744,toExport,5,1990
105,27,0,0,0,0,0,0,0,0,0,744,toExport,5,1990
106,33,0,0,1,0,0,0,0,1,2,744,toExport,5,1990
107,Total,26,459,73,0,0,3,0,4,565,744,toExport,5,1990
108,3,0,3,0,0,0,0,0,0,3,755,toExport,9,2020
109,4,0,146,0,0,0,1,0,0,147,755,toExport,9,2020
110,12,0,0,0,0,0,0,0,0,0,755,toExport,9,2020
111,15,0,0,0,0,0,0,0,0,0,755,toExport,9,2020
112,18,0,0,0,0,0,0,0,0,0,755,toExport,9,2020
113,22,0,2,0,0,0,7,0,0,9,755,toExport,9,2020
114,27,0,0,0,0,0,0,0,0,0,755,toExport,9,2020
115,33,0,3,0,0,0,1,0,1,5,755,toExport,9,2020
116,Total,0,154,0,0,0,9,0,1,164,755,toExport,9,2020
117,3,0,6,0,0,0,0,0,0,6,7619,toExport,10,1988
118,4,0,237,18,0,0,6,0,0,261,7619,toExport,10,1988
119,12,0,2,1,0,0,4,0,1,8,7619,toExport,10,1988
120,15,0,0,0,0,0,0,0,0,0,7619,toExport,10,1988
121,18,0,0,0,0,0,0,0,0,0,7619,toExport,10,1988
122,22,0,1,0,0,0,0,0,0,1,7619,toExport,10,1988
123,27,0,0,0,0,0,0,0,0,0,7619,toExport,10,1988
124,33,0,0,0,0,0,0,0,3,3,7619,toExport,10,1988
125,Total,0,246,19,0,0,10,0,4,279,7619,toExport,10,1988
126,3,1,1,0,0,0,0,0,0,2,741,toExport,5,2010
127,4,13,60,0,0,0,0,0,0,73,741,toExport,5,2010
128,12,0,1,0,0,0,0,0,0,1,741,toExport,5,2010
129,15,0,0,0,0,0,0,0,0,0,741,toExport,5,2010
130,18,0,0,0,0,0,0,0,0,0,741,toExport,5,2010
131,22,0,0,0,0,0,0,0,0,0,741,toExport,5,2010
132,27,0,0,0,0,0,0,0,0,0,741,toExport,5,2010
133,33,0,0,0,0,0,0,0,2,2,741,toExport,5,2010
134,Total,14,62,0,0,0,0,0,2,78,741,toExport,5,2010
135,3,0,0,0,0,0,0,0,0,0,7614,toExport,5,2015
136,4,10,64,0,0,0,0,0,0,74,7614,toExport,5,2015
137,12,0,0,0,0,0,0,0,0,0,7614,toExport,5,2015
138,15,0,0,0,0,0,0,0,0,0,7614,toExport,5,2015
139,18,0,0,0,0,0,0,0,0,0,7614,toExport,5,2015
140,22,0,0,0,0,0,2,0,0,2,7614,toExport,5,2015
141,27,0,0,0,0,0,0,0,0,0,7614,toExport,5,2015
142,33,0,0,0,0,0,0,0,0,0,7614,toExport,5,2015
143,Total,10,64,0,0,0,2,0,0,76,7614,toExport,5,2015
144,3,3,7,0,0,0,0,0,0,10,766,toExport,10,2019
145,4,0,94,0,0,0,1,0,0,95,766,toExport,10,2019
146,12,0,3,0,0,0,0,0,0,3,766,toExport,10,2019
147,15,0,0,0,0,0,0,0,0,0,766,toExport,10,2019
148,18,0,0,0,0,0,0,0,0,0,766,toExport,10,2019
149,22,0,1,0,0,0,2,0,0,3,766,toExport,10,2019
150,27,0,0,0,0,0,0,0,0,0,766,toExport,10,2019
151,33,0,1,0,0,0,0,0,2,3,766,toExport,10,2019
152,Total,3,106,0,0,0,3,0,2,114,766,toExport,10,2019
153,3,0,0,0,0,0,0,0,0,0,7617,toExport,9,2018
154,4,0,116,5,0,0,1,0,0,122,7617,toExport,9,2018
155,12,0,2,0,0,0,1,0,0,3,7617,toExport,9,2018
156,15,0,0,0,0,0,0,0,0,0,7617,toExport,9,2018
157,18,0,0,0,0,0,0,0,0,0,7617,toExport,9,2018
158,22,0,0,0,0,0,1,0,0,1,7617,toExport,9,2018
159,27,0,0,0,0,0,0,0,0,0,7617,toExport,9,2018
160,33,0,1,0,0,0,0,0,27,28,7617,toExport,9,2018
161,Total,0,119,5,0,0,3,0,27,154,7617,toExport,9,2018
162,3,15,3,0,0,0,3,0,0,21,751,toExport,10,1989
163,4,72,79,0,0,0,0,0,1,152,751,toExport,10,1989
164,12,0,6,1,0,0,3,0,0,10,751,toExport,10,1989
165,15,0,0,0,0,0,0,0,0,0,751,toExport,10,1989
166,18,0,0,0,0,0,0,0,0,0,751,toExport,10,1989
167,22,0,4,0,0,0,3,0,0,7,751,toExport,10,1989
168,27,0,0,0,0,0,0,0,0,0,751,toExport,10,1989
169,33,0,2,1,0,0,1,0,0,4,751,toExport,10,1989
170,Total,87,94,2,0,0,10,0,1,194,751,toExport,10,1989
171,3,4,6,0,0,0,0,0,0,10,744,toExport,5,2021
172,4,24,454,39,0,0,0,0,3,520,744,toExport,5,2021
173,12,0,4,11,0,0,2,0,0,17,744,toExport,5,2021
174,15,0,0,0,0,0,0,0,0,0,744,toExport,5,2021
175,18,0,0,0,0,0,0,0,0,0,744,toExport,5,2021
176,22,0,0,1,0,0,1,0,0,2,744,toExport,5,2021
177,27,0,0,0,0,0,0,0,0,0,744,toExport,5,2021
178,33,0,1,1,0,0,0,0,0,2,744,toExport,5,2021
179,Total,28,465,52,0,0,3,0,3,551,744,toExport,5,2021
180,3,5,4,0,0,0,1,0,0,10,772,toExport,9,2013
181,4,9,112,0,0,0,1,0,0,122,772,toExport,9,2013
182,12,0,1,0,0,0,0,0,0,1,772,toExport,9,2013
183,15,0,0,0,0,0,0,0,0,0,772,toExport,9,2013
184,18,0,0,0,0,0,0,0,0,0,772,toExport,9,2013
185,22,0,0,0,0,0,0,0,0,0,772,toExport,9,2013
186,27,0,0,0,0,0,0,0,0,0,772,toExport,9,2013
187,33,0,1,0,0,0,0,0,0,1,772,toExport,9,2013
188,Total,14,118,0,0,0,2,0,0,134,772,toExport,9,2013
189,3,4,14,0,0,0,0,0,0,18,763,toExport,5,2003
190,4,6,169,5,0,0,0,0,0,180,763,toExport,5,2003
191,12,0,3,3,0,0,3,0,0,9,763,toExport,5,2003
192,15,0,0,0,0,0,0,0,0,0,763,toExport,5,2003
193,18,0,0,0,0,0,0,0,0,0,763,toExport,5,2003
194,22,0,2,0,0,0,2,0,0,4,763,toExport,5,2003
195,27,0,0,0,0,0,0,0,0,0,763,toExport,5,2003
196,33,0,0,0,0,0,0,0,3,3,763,toExport,5,2003
197,Total,10,188,8,0,0,5,0,3,214,763,toExport,5,2003
198,3,0,15,0,0,0,0,0,0,15,765,toExport,9,1995
199,4,0,92,0,0,0,2,0,0,94,765,toExport,9,1995
200,12,0,0,0,0,0,0,0,0,0,765,toExport,9,1995
201,15,0,0,0,0,0,0,0,0,0,765,toExport,9,1995
202,18,0,0,0,0,0,0,0,0,0,765,toExport,9,1995
203,22,0,1,0,0,0,4,0,0,5,765,toExport,9,1995
204,27,0,0,0,0,0,0,0,0,0,765,toExport,9,1995
205,33,0,1,0,0,0,0,0,1,2,765,toExport,9,1995
206,Total,0,109,0,0,0,6,0,1,116,765,toExport,9,1995
207,3,4,7,0,0,0,0,0,0,11,744,toExport,10,2001
208,4,17,493,8,0,0,1,0,1,520,744,toExport,10,2001
209,12,0,6,6,0,0,7,0,0,19,744,toExport,10,2001
210,15,0,0,0,0,0,0,0,0,0,744,toExport,10,2001
211,18,0,0,0,0,0,0,0,0,0,744,toExport,10,2001
212,22,0,1,0,0,0,0,0,0,1,744,toExport,10,2001
213,27,0,0,0,0,0,0,0,0,0,744,toExport,10,2001
214,33,0,1,0,0,0,0,0,0,1,744,toExport,10,2001
215,Total,21,508,14,0,0,8,0,1,552,744,toExport,10,2001
216,3,74,18,0,0,0,0,0,0,92,7741,toExport,5,1995
217,4,65,193,11,0,0,0,0,0,269,7741,toExport,5,1995
218,12,0,14,3,0,0,0,0,0,17,7741,toExport,5,1995
219,15,0,0,0,0,0,0,0,0,0,7741,toExport,5,1995
220,18,0,0,0,0,0,0,0,0,0,7741,toExport,5,1995
221,22,0,0,2,0,0,0,0,0,2,7741,toExport,5,1995
222,27,4,4,0,0,0,0,0,0,8,7741,toExport,5,1995
223,33,0,0,0,0,0,0,0,0,0,7741,toExport,5,1995
224,Total,143,229,16,0,0,0,0,0,388,7741,toExport,5,1995
225,3,0,0,0,0,0,0,0,0,0,7614,toExport,5,2017
226,4,10,65,2,0,0,0,0,0,77,7614,toExport,5,2017
227,12,0,0,0,0,0,0,0,0,0,7614,toExport,5,2017
228,15,0,0,0,0,0,0,0,0,0,7614,toExport,5,2017
229,18,0,0,0,0,0,0,0,0,0,7614,toExport,5,2017
230,22,0,0,0,0,0,2,0,0,2,7614,toExport,5,2017
231,27,0,0,0,0,0,0,0,0,0,7614,toExport,5,2017
232,33,0,0,0,0,0,0,0,0,0,7614,toExport,5,2017
233,Total,10,65,2,0,0,2,0,0,79,7614,toExport,5,2017
234,3,5,4,0,0,0,0,0,0,9,752,toExport,5,2000
235,4,29,206,2,0,0,0,0,0,237,752,toExport,5,2000
236,12,2,4,0,0,0,2,0,0,8,752,toExport,5,2000
237,15,0,0,0,0,0,0,0,0,0,752,toExport,5,2000
238,18,0,0,0,0,0,0,0,0,0,752,toExport,5,2000
239,22,0,2,0,0,0,4,0,0,6,752,toExport,5,2000
240,27,0,0,0,0,0,0,0,0,0,752,toExport,5,2000
241,33,0,0,0,0,0,2,0,3,5,752,toExport,5,2000
242,Total,36,216,2,0,0,8,0,3,265,752,toExport,5,2000
243,3,3,4,0,0,0,0,0,0,7,767,toExport,5,1995
244,4,3,44,1,0,0,0,0,0,48,767,toExport,5,1995
245,12,0,0,0,0,0,0,0,0,0,767,toExport,5,1995
246,15,0,0,0,0,0,0,0,0,0,767,toExport,5,1995
247,18,0,0,0,0,0,0,0,0,0,767,toExport,5,1995
248,22,1,0,0,0,0,0,0,0,1,767,toExport,5,1995
249,27,0,0,0,0,0,0,0,0,0,767,toExport,5,1995
250,33,0,0,0,0,0,0,0,0,0,767,toExport,5,1995
251,Total,7,48,1,0,0,0,0,0,56,767,toExport,5,1995
252,3,4,15,0,0,0,0,0,0,19,763,toExport,10,2019
253,4,7,177,1,0,0,0,0,0,185,763,toExport,10,2019
254,12,0,4,2,0,0,3,0,0,9,763,toExport,10,2019
255,15,0,0,0,0,0,0,0,0,0,763,toExport,10,2019
256,18,0,0,0,0,0,0,0,0,0,763,toExport,10,2019
257,22,0,1,0,0,0,3,0,0,4,763,toExport,10,2019
258,27,0,0,0,0,0,0,0,0,0,763,toExport,10,2019
259,33,0,0,0,0,0,0,0,2,2,763,toExport,10,2019
260,Total,11,197,3,0,0,6,0,2,219,763,toExport,10,2019
261,3,5,13,0,0,0,0,0,0,18,763,toExport,5,2016
262,4,7,177,7,0,0,0,0,0,191,763,toExport,5,2016
263,12,0,4,4,0,0,3,0,0,11,763,toExport,5,2016
264,15,0,0,0,0,0,0,0,0,0,763,toExport,5,2016
265,18,0,0,0,0,0,0,0,0,0,763,toExport,5,2016
266,22,0,0,2,0,0,2,0,0,4,763,toExport,5,2016
267,27,0,0,0,0,0,0,0,0,0,763,toExport,5,2016
268,33,1,0,0,0,0,0,0,2,3,763,toExport,5,2016
269,Total,13,194,13,0,0,5,0,2,227,763,toExport,5,2016
270,3,0,0,0,0,0,0,0,0,0,773,toExport,10,2011
271,4,0,3,0,0,0,0,0,0,3,773,toExport,10,2011
272,12,0,1,0,0,0,0,0,0,1,773,toExport,10,2011
273,15,0,0,0,0,0,0,0,0,0,773,toExport,10,2011
274,18,0,0,0,0,0,0,0,0,0,773,toExport,10,2011
275,22,0,1,0,0,0,1,0,0,2,773,toExport,10,2011
276,27,0,0,0,0,0,0,0,0,0,773,toExport,10,2011
277,33,0,0,0,0,0,0,0,0,0,773,toExport,10,2011
278,Total,0,5,0,0,0,1,0,0,6,773,toExport,10,2011
279,3,1,1,0,0,0,0,0,0,2,775,toExport,9,1987
280,4,0,4,0,0,0,0,0,0,4,775,toExport,9,1987
281,12,0,0,0,0,0,0,0,0,0,775,toExport,9,1987
282,15,0,0,0,0,0,0,0,0,0,775,toExport,9,1987
283,18,0,0,0,0,0,0,0,0,0,775,toExport,9,1987
284,22,0,0,0,0,0,0,0,0,0,775,toExport,9,1987
285,27,0,0,0,0,0,0,0,0,0,775,toExport,9,1987
286,33,0,0,0,0,0,0,0,0,0,775,toExport,9,1987
287,Total,1,5,0,0,0,0,0,0,6,775,toExport,9,1987
288,3,1,2,0,0,0,0,0,0,3,756,toExport,5,2007
289,4,9,198,17,0,0,0,0,0,224,756,toExport,5,2007
290,12,1,1,3,0,0,0,0,1,6,756,toExport,5,2007
291,15,0,0,0,0,0,0,0,0,0,756,toExport,5,2007
292,18,0,0,0,0,0,0,0,0,0,756,toExport,5,2007
293,22,0,3,4,0,0,1,0,0,8,756,toExport,5,2007
294,27,0,0,0,0,0,0,0,0,0,756,toExport,5,2007
295,33,0,0,0,0,0,0,0,9,9,756,toExport,5,2007
296,Total,11,204,24,0,0,1,0,10,250,756,toExport,5,2007
297,3,0,14,0,0,0,0,0,0,14,765,toExport,9,1992
298,4,0,96,0,0,0,1,0,1,98,765,toExport,9,1992
299,12,0,0,0,0,0,0,0,0,0,765,toExport,9,1992
300,15,0,0,0,0,0,0,0,0,0,765,toExport,9,1992
301,18,0,0,0,0,0,0,0,0,0,765,toExport,9,1992
302,22,0,1,0,0,0,4,0,0,5,765,toExport,9,1992
303,27,0,0,0,0,0,0,0,0,0,765,toExport,9,1992
304,33,0,0,0,0,0,0,0,2,2,765,toExport,9,1992
305,Total,0,111,0,0,0,5,0,3,119,765,toExport,9,1992
306,3,26,18,2,0,0,2,0,2,50,776,toExport,5,1994
307,4,18,381,11,0,0,8,0,0,418,776,toExport,5,1994
308,12,0,0,8,0,0,10,0,0,18,776,toExport,5,1994
309,15,0,0,0,0,0,0,0,0,0,776,toExport,5,1994
310,18,0,0,0,0,0,0,0,0,0,776,toExport,5,1994
311,22,0,2,2,0,0,0,0,0,4,776,toExport,5,1994
312,27,0,0,0,0,0,0,0,0,0,776,toExport,5,1994
313,33,0,0,0,0,0,0,0,2,2,776,toExport,5,1994
314,Total,44,401,23,0,0,20,0,4,492,776,toExport,5,1994
315,3,1,17,0,0,0,0,0,0,18,763,toExport,10,2005
316,4,4,169,2,0,0,0,0,0,175,763,toExport,10,2005
317,12,1,3,2,0,0,3,0,0,9,763,toExport,10,2005
318,15,0,0,0,0,0,0,0,0,0,763,toExport,10,2005
319,18,0,0,0,0,0,0,0,0,0,763,toExport,10,2005
320,22,0,1,0,0,0,3,0,0,4,763,toExport,10,2005
321,27,0,0,0,0,0,0,0,0,0,763,toExport,10,2005
322,33,0,0,0,0,0,0,0,3,3,763,toExport,10,2005
323,Total,6,190,4,0,0,6,0,3,209,763,toExport,10,2005
324,3,1,1,0,0,0,0,0,0,2,741,toExport,5,2019
325,4,6,73,0,0,0,0,0,0,79,741,toExport,5,2019
326,12,0,1,0,0,0,0,0,0,1,741,toExport,5,2019
327,15,0,0,0,0,0,0,0,0,0,741,toExport,5,2019
328,18,0,0,0,0,0,0,0,0,0,741,toExport,5,2019
329,22,0,0,0,0,0,0,0,0,0,741,toExport,5,2019
330,27,0,0,0,0,0,0,0,0,0,741,toExport,5,2019
331,33,0,0,0,0,0,0,0,2,2,741,toExport,5,2019
332,Total,7,75,0,0,0,0,0,2,84,741,toExport,5,2019
333,3,4,7,0,0,0,0,0,0,11,752,toExport,5,2005
334,4,28,192,0,0,0,2,0,0,222,752,toExport,5,2005
335,12,0,2,0,0,0,6,0,0,8,752,toExport,5,2005
336,15,0,0,0,0,0,0,0,0,0,752,toExport,5,2005
337,18,0,0,0,0,0,0,0,0,0,752,toExport,5,2005
338,22,0,2,0,0,0,4,0,0,6,752,toExport,5,2005
339,27,0,0,0,0,0,0,0,0,0,752,toExport,5,2005
340,33,2,0,0,0,0,0,0,3,5,752,toExport,5,2005
341,Total,34,203,0,0,0,12,0,3,252,752,toExport,5,2005
342,3,0,0,0,0,0,0,0,0,0,758,toExport,5,1995
343,4,3,91,1,0,0,2,0,0,97,758,toExport,5,1995
344,12,0,0,0,0,0,2,0,0,2,758,toExport,5,1995
345,15,0,0,0,0,0,0,0,0,0,758,toExport,5,1995
346,18,0,0,0,0,0,0,0,0,0,758,toExport,5,1995
347,22,0,0,0,0,0,2,0,0,2,758,toExport,5,1995
348,27,0,0,0,0,0,0,0,0,0,758,toExport,5,1995
349,33,0,2,0,0,0,1,0,0,3,758,toExport,5,1995
350,Total,3,93,1,0,0,7,0,0,104,758,toExport,5,1995
351,3,31,16,0,0,0,0,0,0,47,7741,toExport,10,2021
352,4,14,103,5,0,0,0,0,0,122,7741,toExport,10,2021
353,12,1,6,1,0,0,1,0,0,9,7741,toExport,10,2021
354,15,0,0,0,0,0,0,0,0,0,7741,toExport,10,2021
355,18,0,0,0,0,0,0,0,0,0,7741,toExport,10,2021
356,22,0,1,1,0,0,0,0,0,2,7741,toExport,10,2021
357,27,1,3,0,0,0,0,0,0,4,7741,toExport,10,2021
358,33,0,0,0,0,0,0,0,1,1,7741,toExport,10,2021
359,Total,47,129,7,0,0,1,0,1,185,7741,toExport,10,2021
360,3,1,0,0,0,0,0,0,0,1,7618,toExport,5,2008
361,4,0,92,10,0,0,0,0,0,102,7618,toExport,5,2008
362,12,0,2,0,0,0,0,0,0,2,7618,toExport,5,2008
363,15,0,0,0,0,0,0,0,0,0,7618,toExport,5,2008
364,18,0,0,0,0,0,0,0,0,0,7618,toExport,5,2008
365,22,0,0,0,0,0,1,0,0,1,7618,toExport,5,2008
366,27,0,0,0,0,0,0,0,0,0,7618,toExport,5,2008
367,33,0,0,0,0,0,0,0,0,0,7618,toExport,5,2008
368,Total,1,94,10,0,0,1,0,0,106,7618,toExport,5,2008
369,3,18,14,0,0,0,0,0,0,32,746,toExport,9,2019
370,4,13,112,0,0,0,0,0,0,125,746,toExport,9,2019
371,12,0,2,0,0,0,0,0,0,2,746,toExport,9,2019
372,15,0,0,0,0,0,0,0,0,0,746,toExport,9,2019
373,18,0,0,0,0,0,0,0,0,0,746,toExport,9,2019
374,22,0,2,0,0,0,1,0,0,3,746,toExport,9,2019
375,27,0,0,0,0,0,0,0,0,0,746,toExport,9,2019
376,33,0,0,0,0,0,0,0,1,1,746,toExport,9,2019
377,Total,31,130,0,0,0,1,0,1,163,746,toExport,9,2019
378,3,76,16,0,0,0,0,0,0,92,7741,toExport,5,2005
379,4,52,174,17,0,0,0,0,0,243,7741,toExport,5,2005
380,12,2,10,5,0,0,0,0,0,17,7741,toExport,5,2005
381,15,0,0,0,0,0,0,0,0,0,7741,toExport,5,2005
382,18,0,0,0,0,0,0,0,0,0,7741,toExport,5,2005
383,22,0,0,2,0,0,0,0,0,2,7741,toExport,5,2005
384,27,2,0,0,0,0,0,0,0,2,7741,toExport,5,2005
385,33,0,0,0,0,0,0,0,0,0,7741,toExport,5,2005
386,Total,132,200,24,0,0,0,0,0,356,7741,toExport,5,2005
