,classes,3,4,12,21,22,33,Total,bacia,model,version,year
9537,21,0,45,2,101,1,0,149,763,GTB,30,2006
9538,22,0,1,1,2,0,0,4,763,GTB,30,2006
9539,33,0,0,0,0,0,3,3,763,GTB,30,2006
9540,Total,13,244,11,152,1,4,425,763,GTB,30,2006
9541,3,1,3,0,0,0,0,4,755,GTB,30,2006
9542,4,11,100,0,44,2,0,157,755,GTB,30,2006
9543,12,0,0,0,3,1,1,5,755,GTB,30,2006
9544,21,2,10,0,72,1,0,85,755,GTB,30,2006
9545,22,0,0,0,5,3,0,8,755,GTB,30,2006
9546,33,1,2,0,0,0,1,4,755,GTB,30,2006
9547,Total,15,115,0,124,7,2,263,755,GTB,30,2006
9548,3,0,10,0,2,0,0,12,767,GTB,30,1986
9549,4,0,67,0,11,0,0,78,767,GTB,30,1986
9550,12,0,1,0,0,0,0,1,767,GTB,30,1986
9551,21,0,11,0,33,1,0,45,767,GTB,30,1986
9552,22,0,1,0,0,0,0,1,767,GTB,30,1986
9553,33,0,0,0,0,0,0,0,767,GTB,30,1986
9554,Total,0,90,0,46,1,0,137,767,GTB,30,1986
9555,3,1,5,1,3,0,0,10,76111,GTB,30,1991
9556,4,0,9,9,27,0,0,45,76111,GTB,30,1991
9557,12,0,0,0,0,0,0,0,76111,GTB,30,1991
9558,21,6,21,9,95,0,0,131,76111,GTB,30,1991
9559,22,1,0,1,1,0,0,3,76111,GTB,30,1991
9560,33,0,0,0,0,0,3,3,76111,GTB,30,1991
9561,Total,8,35,20,126,0,3,192,76111,GTB,30,1991
9562,3,121,205,5,23,0,1,355,Caatinga,GTB,30,1997
9563,4,446,3703,227,965,26,9,5376,Caatinga,GTB,30,1997
9564,12,5,50,41,98,13,8,215,Caatinga,GTB,30,1997
9565,21,89,781,152,1857,50,5,2934,Caatinga,GTB,30,1997
9566,22,2,16,11,42,17,1,89,Caatinga,GTB,30,1997
9567,33,9,8,4,9,2,91,123,Caatinga,GTB,30,1997
9568,Total,672,4763,440,2994,108,115,9092,Caatinga,GTB,30,1997
9569,3,0,0,0,0,0,0,0,7618,GTB,30,2022
9570,4,0,81,4,14,0,0,99,7618,GTB,30,2022
9571,12,0,3,0,0,0,0,3,7618,GTB,30,2022
9572,21,0,12,0,44,0,0,56,7618,GTB,30,2022
9573,22,0,0,0,0,1,0,1,7618,GTB,30,2022
9574,33,0,0,0,0,0,0,0,7618,GTB,30,2022
9575,Total,0,96,4,58,1,0,159,7618,GTB,30,2022
9576,3,0,0,0,0,0,0,0,7617,GTB,30,2001
9577,4,0,111,1,37,0,0,149,7617,GTB,30,2001
9578,12,0,0,0,6,0,1,7,7617,GTB,30,2001
9579,21,0,2,0,26,3,0,31,7617,GTB,30,2001
9580,22,0,0,0,1,0,1,2,7617,GTB,30,2001
9581,33,0,0,0,6,0,25,31,7617,GTB,30,2001
9582,Total,0,113,1,76,3,27,220,7617,GTB,30,2001
9583,3,3,7,0,4,0,0,14,766,GTB,30,1991
9584,4,11,94,0,17,0,0,122,766,GTB,30,1991
9585,12,0,3,0,4,0,0,7,766,GTB,30,1991
9586,21,1,15,0,131,0,0,147,766,GTB,30,1991
9587,22,0,1,0,0,1,0,2,766,GTB,30,1991
9588,33,0,0,0,1,0,2,3,766,GTB,30,1991
9589,Total,15,120,0,157,1,2,295,766,GTB,30,1991
9590,3,0,5,0,1,0,0,6,7619,GTB,30,2001
9591,4,5,227,18,22,2,0,274,7619,GTB,30,2001
9592,12,0,5,3,4,0,0,12,7619,GTB,30,2001
9593,21,0,11,5,36,1,1,54,7619,GTB,30,2001
9594,22,0,1,0,0,0,0,1,7619,GTB,30,2001
9595,33,0,0,0,0,0,1,1,7619,GTB,30,2001
9596,Total,5,249,26,63,3,2,348,7619,GTB,30,2001
9597,3,0,0,0,0,0,0,0,7617,GTB,30,2011
9598,4,1,116,5,25,1,0,148,7617,GTB,30,2011
9599,12,0,1,0,4,0,0,5,7617,GTB,30,2011
9600,21,0,6,2,23,0,0,31,7617,GTB,30,2011
9601,22,0,0,0,0,0,1,1,7617,GTB,30,2011
9602,33,1,0,1,0,0,33,35,7617,GTB,30,2011
9603,Total,2,123,8,52,1,34,220,7617,GTB,30,2011
9604,3,0,1,0,1,0,0,2,771,GTB,30,1986
9605,4,19,78,3,34,1,1,136,771,GTB,30,1986
9606,12,0,1,0,2,0,0,3,771,GTB,30,1986
9607,21,4,39,1,69,1,0,114,771,GTB,30,1986
9608,22,0,0,0,0,0,0,0,771,GTB,30,1986
