,classes,3,4,12,15,18,22,33,Total,bacia,model,version,year
100,18,0,1,0,0,0,0,0,1,76111,GTB,6,2004
101,22,0,0,0,0,0,1,0,1,76111,GTB,6,2004
102,33,0,0,0,0,0,0,3,3,76111,GTB,6,2004
103,Total,2,39,2,29,0,12,3,87,76111,GTB,6,2004
104,3,0,7,0,0,0,0,0,7,7622,GTB,6,1994
105,4,0,18,0,0,0,0,0,18,7622,GTB,6,1994
106,12,0,1,0,0,0,0,0,1,7622,GTB,6,1994
107,15,0,3,2,6,0,0,0,11,7622,GTB,6,1994
108,18,0,0,0,0,0,0,0,0,7622,GTB,6,1994
109,22,0,0,0,0,0,0,0,0,7622,GTB,6,1994
110,33,0,0,0,0,0,0,0,0,7622,GTB,6,1994
111,Total,0,29,2,6,0,0,0,37,7622,GTB,6,1994
112,3,0,0,0,0,0,0,0,0,773,GTB,6,2003
113,4,0,2,0,1,0,0,0,3,773,GTB,6,2003
114,12,0,0,1,0,0,0,0,1,773,GTB,6,2003
115,15,0,3,0,11,0,2,0,16,773,GTB,6,2003
116,18,0,0,0,0,0,0,0,0,773,GTB,6,2003
117,22,0,0,0,0,0,0,0,0,773,GTB,6,2003
118,33,0,0,0,0,0,0,0,0,773,GTB,6,2003
119,Total,0,5,1,12,0,2,0,20,773,GTB,6,2003
120,3,1,1,0,0,0,0,0,2,745,GTB,7,2019
121,4,1,26,0,0,0,1,0,28,745,GTB,7,2019
122,12,0,0,0,0,0,0,0,0,745,GTB,7,2019
123,15,0,1,0,0,0,0,0,1,745,GTB,7,2019
124,18,0,0,0,0,0,0,0,0,745,GTB,7,2019
125,22,0,0,0,0,0,0,0,0,745,GTB,7,2019
126,33,0,0,0,0,0,0,0,0,745,GTB,7,2019
127,Total,2,28,0,0,0,1,0,31,745,GTB,7,2019
128,3,15,6,0,0,0,0,0,21,746,GTB,6,2013
129,4,14,48,11,6,0,0,0,79,746,GTB,6,2013
130,12,0,0,0,0,0,0,0,0,746,GTB,6,2013
131,15,0,0,4,0,0,2,0,6,746,GTB,6,2013
132,18,0,0,0,0,0,0,0,0,746,GTB,6,2013
133,22,0,1,0,0,0,1,0,2,746,GTB,6,2013
134,33,0,0,0,0,0,0,0,0,746,GTB,6,2013
