,area,classe,year,Colacao,Bacia,cobertura,cob_level1,cob_color,nat_color,total
0,107988.40737029904,3,1985,Col71,752,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1,1207562.6283865962,4,1985,Col71,752,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
2,16478.77784757528,12,1985,Col71,752,Grassland,Natural,#d6bc74,#32a65e,cobertura
3,43298.71418733563,21,1985,Col71,752,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
4,7946.093274411489,22,1985,Col71,752,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
5,22406.09196320896,33,1985,Col71,752,Water,Natural,#112013,#32a65e,cobertura
6,107326.08388641367,3,1986,Col71,752,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
7,1207038.4163880085,4,1986,Col71,752,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
8,16414.063546481648,12,1986,Col71,752,Grassland,Natural,#d6bc74,#32a65e,cobertura
9,43715.95165006418,21,1986,Col71,752,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
10,7959.447218521087,22,1986,Col71,752,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
11,23226.750339927006,33,1986,Col71,752,Water,Natural,#112013,#32a65e,cobertura
12,105022.68787395569,3,1987,Col71,752,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
13,1208705.5492466283,4,1987,Col71,752,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
14,16599.729128199735,12,1987,Col71,752,Grassland,Natural,#d6bc74,#32a65e,cobertura
15,43604.63789682296,21,1987,Col71,752,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
16,8453.049680229027,22,1987,Col71,752,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
17,23295.05920356716,33,1987,Col71,752,Water,Natural,#112013,#32a65e,cobertura
18,104080.50665783806,3,1988,Col71,752,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
19,1207569.6431087025,4,1988,Col71,752,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
20,16644.299765304037,12,1988,Col71,752,Grassland,Natural,#d6bc74,#32a65e,cobertura
21,45376.3091265874,21,1988,Col71,752,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
22,8702.62640096473,22,1988,Col71,752,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
23,23307.327970047987,33,1988,Col71,752,Water,Natural,#112013,#32a65e,cobertura
24,103312.21129425486,3,1989,Col71,752,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
25,1204291.7370191645,4,1989,Col71,752,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
26,16537.163435068123,12,1989,Col71,752,Grassland,Natural,#d6bc74,#32a65e,cobertura
27,49474.345750391534,21,1989,Col71,752,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
28,9343.164013397429,22,1989,Col71,752,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
29,22722.09151715096,33,1989,Col71,752,Water,Natural,#112013,#32a65e,cobertura
30,103176.64182441508,3,1990,Col71,752,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
31,1201955.8609103947,4,1990,Col71,752,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
32,16515.580798796473,12,1990,Col71,752,Grassland,Natural,#d6bc74,#32a65e,cobertura
33,53214.2243678012,21,1990,Col71,752,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
34,9179.891558066323,22,1990,Col71,752,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
35,21638.51356993703,33,1990,Col71,752,Water,Natural,#112013,#32a65e,cobertura
36,103519.2347548596,3,1991,Col71,752,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
37,1200097.9011977955,4,1991,Col71,752,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
38,16817.319833960726,12,1991,Col71,752,Grassland,Natural,#d6bc74,#32a65e,cobertura
39,57322.44205735993,21,1991,Col71,752,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
40,8623.966213312659,22,1991,Col71,752,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
41,19299.84897214433,33,1991,Col71,752,Water,Natural,#112013,#32a65e,cobertura
42,104776.39306683753,3,1992,Col71,752,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
43,1196068.0486928583,4,1992,Col71,752,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
44,16862.535595015048,12,1992,Col71,752,Grassland,Natural,#d6bc74,#32a65e,cobertura
45,62844.9922315529,21,1992,Col71,752,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
46,9266.374830645584,22,1992,Col71,752,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
47,15862.36861252296,33,1992,Col71,752,Water,Natural,#112013,#32a65e,cobertura
48,105650.52149603072,3,1993,Col71,752,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
49,1193330.5348994136,4,1993,Col71,752,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
50,16842.884336475792,12,1993,Col71,752,Grassland,Natural,#d6bc74,#32a65e,cobertura
51,67437.67726607814,21,1993,Col71,752,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
52,9636.862000460002,22,1993,Col71,752,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
53,12782.233030926409,33,1993,Col71,752,Water,Natural,#112013,#32a65e,cobertura
54,112510.55282679104,3,1994,Col71,752,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
55,1187620.0624858383,4,1994,Col71,752,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
56,17076.8701094531,12,1994,Col71,752,Grassland,Natural,#d6bc74,#32a65e,cobertura
57,64209.06827682551,21,1994,Col71,752,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
58,10494.105290528722,22,1994,Col71,752,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
59,13770.054039933906,33,1994,Col71,752,Water,Natural,#112013,#32a65e,cobertura
60,112452.61462360178,3,1995,Col71,752,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
61,1186881.7739307168,4,1995,Col71,752,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
62,17279.969949426835,12,1995,Col71,752,Grassland,Natural,#d6bc74,#32a65e,cobertura
63,61050.71206213586,21,1995,Col71,752,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
64,10466.825114010684,22,1995,Col71,752,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
65,17548.81734946081,33,1995,Col71,752,Water,Natural,#112013,#32a65e,cobertura
66,112257.07753281169,3,1996,Col71,752,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
67,1181506.2580228634,4,1996,Col71,752,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
68,17273.88563449612,12,1996,Col71,752,Grassland,Natural,#d6bc74,#32a65e,cobertura
