,classes,3,4,12,15,18,22,27,33,Total,bacia,model,version,year
92,12,0,4,0,0,0,0,0,0,4,754,Temporal,9,1987
93,15,0,0,0,0,0,0,0,0,0,754,Temporal,9,1987
94,18,0,0,0,0,0,0,0,0,0,754,Temporal,9,1987
95,22,0,1,0,0,0,2,0,1,4,754,Temporal,9,1987
96,27,0,1,0,0,0,1,0,0,2,754,Temporal,9,1987
97,33,1,2,0,0,0,0,0,16,19,754,Temporal,9,1987
98,Total,48,488,0,0,0,5,0,17,558,754,Temporal,9,1987
99,3,20,13,0,0,0,0,0,0,33,746,Temporal,10,1997
100,4,16,114,0,0,0,0,0,0,130,746,Temporal,10,1997
101,12,0,2,0,0,0,1,0,0,3,746,Temporal,10,1997
102,15,0,0,0,0,0,0,0,0,0,746,Temporal,10,1997
103,18,0,0,0,0,0,0,0,0,0,746,Temporal,10,1997
104,22,0,2,0,0,0,1,0,0,3,746,Temporal,10,1997
105,27,0,0,0,0,0,0,0,0,0,746,Temporal,10,1997
106,33,0,0,0,0,0,0,0,1,1,746,Temporal,10,1997
107,Total,36,131,0,0,0,2,0,1,170,746,Temporal,10,1997
108,3,1,0,0,0,0,0,0,0,1,7618,Temporal,5,1995
109,4,0,104,0,0,0,1,0,0,105,7618,Temporal,5,1995
110,12,0,2,0,0,0,0,0,0,2,7618,Temporal,5,1995
111,15,0,0,0,0,0,0,0,0,0,7618,Temporal,5,1995
112,18,0,0,0,0,0,0,0,0,0,7618,Temporal,5,1995
113,22,0,0,0,0,0,1,0,0,1,7618,Temporal,5,1995
114,27,0,0,0,0,0,0,0,0,0,7618,Temporal,5,1995
115,33,0,0,0,0,0,0,0,0,0,7618,Temporal,5,1995
116,Total,1,106,0,0,0,2,0,0,109,7618,Temporal,5,1995
117,3,6,2,1,0,0,0,0,0,9,772,Temporal,5,1996
118,4,12,113,0,0,0,1,0,1,127,772,Temporal,5,1996
119,12,0,1,0,0,0,0,0,0,1,772,Temporal,5,1996
120,15,0,0,0,0,0,0,0,0,0,772,Temporal,5,1996
121,18,0,0,0,0,0,0,0,0,0,772,Temporal,5,1996
122,22,0,0,0,0,0,0,0,0,0,772,Temporal,5,1996
123,27,0,2,0,0,0,1,0,0,3,772,Temporal,5,1996
124,33,0,0,0,0,0,0,0,0,0,772,Temporal,5,1996
125,Total,18,118,1,0,0,2,0,1,140,772,Temporal,5,1996
126,3,0,0,0,0,0,0,0,0,0,7613,Temporal,5,2004
127,4,2,93,26,0,0,1,0,0,122,7613,Temporal,5,2004
128,12,0,0,2,0,0,7,0,0,9,7613,Temporal,5,2004
129,15,0,0,0,0,0,0,0,0,0,7613,Temporal,5,2004
130,18,0,0,0,0,0,0,0,0,0,7613,Temporal,5,2004
131,22,0,0,0,0,0,0,0,0,0,7613,Temporal,5,2004
132,27,0,0,0,0,0,0,0,0,0,7613,Temporal,5,2004
133,33,0,0,0,0,0,0,0,1,1,7613,Temporal,5,2004
134,Total,2,93,28,0,0,8,0,1,132,7613,Temporal,5,2004
135,3,22,9,0,0,0,0,0,0,31,753,Temporal,9,2020
136,4,79,256,1,0,0,1,0,0,337,753,Temporal,9,2020
137,12,2,7,0,0,0,0,0,0,9,753,Temporal,9,2020
138,15,0,0,0,0,0,0,0,0,0,753,Temporal,9,2020
139,18,0,0,0,0,0,0,0,0,0,753,Temporal,9,2020
140,22,4,2,1,0,0,16,0,0,23,753,Temporal,9,2020
141,27,0,0,0,0,0,0,0,0,0,753,Temporal,9,2020
142,33,5,5,0,0,0,2,0,8,20,753,Temporal,9,2020
143,Total,112,279,2,0,0,19,0,8,420,753,Temporal,9,2020
144,3,1,0,0,0,0,0,0,0,1,7615,Temporal,5,2003
145,4,1,115,50,0,0,0,0,0,166,7615,Temporal,5,2003
146,12,0,1,6,0,0,8,0,0,15,7615,Temporal,5,2003
147,15,0,0,0,0,0,0,0,0,0,7615,Temporal,5,2003
148,18,0,0,0,0,0,0,0,0,0,7615,Temporal,5,2003
149,22,0,1,0,0,0,2,0,0,3,7615,Temporal,5,2003
150,27,0,0,0,0,0,0,0,0,0,7615,Temporal,5,2003
151,33,0,0,0,0,0,0,0,2,2,7615,Temporal,5,2003
152,Total,2,117,56,0,0,10,0,2,187,7615,Temporal,5,2003
153,3,0,9,0,0,0,0,0,0,9,757,Temporal,9,2012
154,4,0,150,1,0,0,4,0,1,156,757,Temporal,9,2012
155,12,0,2,0,0,0,0,0,0,2,757,Temporal,9,2012
156,15,0,0,0,0,0,0,0,0,0,757,Temporal,9,2012
157,18,0,0,0,0,0,0,0,0,0,757,Temporal,9,2012
158,22,0,2,1,0,0,0,0,0,3,757,Temporal,9,2012
159,27,0,1,0,0,0,0,0,0,1,757,Temporal,9,2012
160,33,0,1,1,0,0,0,0,3,5,757,Temporal,9,2012
161,Total,0,165,3,0,0,4,0,4,176,757,Temporal,9,2012
162,3,3,11,0,0,0,0,0,0,14,765,Temporal,5,2016
163,4,2,87,5,0,0,0,0,0,94,765,Temporal,5,2016
164,12,0,0,0,0,0,0,0,0,0,765,Temporal,5,2016
165,15,0,0,0,0,0,0,0,0,0,765,Temporal,5,2016
166,18,0,0,0,0,0,0,0,0,0,765,Temporal,5,2016
167,22,0,2,0,0,0,4,0,0,6,765,Temporal,5,2016
168,27,0,0,0,0,0,0,0,0,0,765,Temporal,5,2016
169,33,1,0,0,0,0,0,0,1,2,765,Temporal,5,2016
170,Total,6,100,5,0,0,4,0,1,116,765,Temporal,5,2016
171,3,0,1,0,0,0,0,0,0,1,758,Temporal,9,2012
172,4,0,92,3,0,0,1,0,0,96,758,Temporal,9,2012
173,12,0,2,0,0,0,2,0,0,4,758,Temporal,9,2012
174,15,0,0,0,0,0,0,0,0,0,758,Temporal,9,2012
175,18,0,0,0,0,0,0,0,0,0,758,Temporal,9,2012
176,22,0,0,0,0,0,2,0,0,2,758,Temporal,9,2012
177,27,0,0,0,0,0,0,0,0,0,758,Temporal,9,2012
178,33,0,1,0,0,0,3,0,1,5,758,Temporal,9,2012
179,Total,0,96,3,0,0,8,0,1,108,758,Temporal,9,2012
180,3,0,0,0,0,0,0,0,0,0,7613,Temporal,9,2002
181,4,0,98,36,0,0,1,0,1,136,7613,Temporal,9,2002
182,12,0,0,7,0,0,6,0,0,13,7613,Temporal,9,2002
183,15,0,0,0,0,0,0,0,0,0,7613,Temporal,9,2002
184,18,0,0,0,0,0,0,0,0,0,7613,Temporal,9,2002
185,22,0,0,1,0,0,0,0,0,1,7613,Temporal,9,2002
186,27,0,0,0,0,0,0,0,0,0,7613,Temporal,9,2002
187,33,0,0,0,0,0,0,0,1,1,7613,Temporal,9,2002
188,Total,0,98,44,0,0,7,0,2,151,7613,Temporal,9,2002
189,3,0,0,0,0,0,0,0,0,0,7617,Temporal,9,2013
190,4,0,107,30,0,0,0,0,0,137,7617,Temporal,9,2013
191,12,0,2,0,0,0,1,0,0,3,7617,Temporal,9,2013
192,15,0,0,0,0,0,0,0,0,0,7617,Temporal,9,2013
193,18,0,0,0,0,0,0,0,0,0,7617,Temporal,9,2013
194,22,0,0,0,0,0,1,0,0,1,7617,Temporal,9,2013
195,27,0,0,0,0,0,0,0,0,0,7617,Temporal,9,2013
196,33,0,1,0,0,0,0,0,29,30,7617,Temporal,9,2013
197,Total,0,110,30,0,0,2,0,29,171,7617,Temporal,9,2013
198,3,0,9,0,0,0,0,0,0,9,764,Temporal,9,1996
199,4,0,26,0,0,0,1,0,0,27,764,Temporal,9,1996
200,12,0,0,0,0,0,0,0,0,0,764,Temporal,9,1996
201,15,0,0,0,0,0,0,0,0,0,764,Temporal,9,1996
202,18,0,0,0,0,0,0,0,0,0,764,Temporal,9,1996
203,22,0,1,0,0,0,1,0,0,2,764,Temporal,9,1996
204,27,0,0,0,0,0,0,0,0,0,764,Temporal,9,1996
205,33,0,0,0,0,0,0,0,0,0,764,Temporal,9,1996
