,classes,3,4,12,15,18,22,27,33,Total,bacia,model,version,year
91,4,0,30,0,0,0,1,0,0,31,76111,Frequency,5,2016
92,12,0,0,0,0,0,0,0,0,0,76111,Frequency,5,2016
93,15,0,0,0,0,0,0,0,0,0,76111,Frequency,5,2016
94,18,0,0,0,0,0,0,0,0,0,76111,Frequency,5,2016
95,22,0,0,0,0,0,2,0,0,2,76111,Frequency,5,2016
96,27,0,0,0,0,0,0,0,0,0,76111,Frequency,5,2016
97,33,0,0,0,0,0,0,0,3,3,76111,Frequency,5,2016
98,Total,0,39,0,0,0,4,0,3,46,76111,Frequency,5,2016
99,3,35,13,0,0,0,0,0,0,48,7741,Frequency,10,2015
100,4,20,101,4,0,0,1,0,0,126,7741,Frequency,10,2015
101,12,3,4,1,0,0,0,0,0,8,7741,Frequency,10,2015
102,15,0,0,0,0,0,0,0,0,0,7741,Frequency,10,2015
103,18,0,0,0,0,0,0,0,0,0,7741,Frequency,10,2015
104,22,0,1,1,0,0,0,0,0,2,7741,Frequency,10,2015
105,27,0,0,0,0,0,0,0,0,0,7741,Frequency,10,2015
106,33,0,0,0,0,0,0,0,1,1,7741,Frequency,10,2015
107,Total,58,119,6,0,0,1,0,1,185,7741,Frequency,10,2015
108,3,14,3,0,0,0,2,0,0,19,751,Frequency,10,2018
109,4,70,67,0,0,0,0,0,0,137,751,Frequency,10,2018
110,12,0,3,1,0,0,0,0,0,4,751,Frequency,10,2018
111,15,0,0,0,0,0,0,0,0,0,751,Frequency,10,2018
112,18,0,0,0,0,0,0,0,0,0,751,Frequency,10,2018
113,22,0,5,0,0,0,5,0,0,10,751,Frequency,10,2018
114,27,0,0,0,0,0,0,0,0,0,751,Frequency,10,2018
115,33,0,0,0,0,0,1,0,2,3,751,Frequency,10,2018
116,Total,84,78,1,0,0,8,0,2,173,751,Frequency,10,2018
117,3,0,1,0,0,0,0,0,0,1,7421,Frequency,10,2019
118,4,1,62,0,0,0,0,0,0,63,7421,Frequency,10,2019
119,12,0,0,0,0,0,1,0,0,1,7421,Frequency,10,2019
120,15,0,0,0,0,0,0,0,0,0,7421,Frequency,10,2019
121,18,0,0,0,0,0,0,0,0,0,7421,Frequency,10,2019
122,22,0,0,0,0,0,0,0,0,0,7421,Frequency,10,2019
123,27,0,0,0,0,0,0,0,0,0,7421,Frequency,10,2019
124,33,0,0,0,0,0,0,0,0,0,7421,Frequency,10,2019
125,Total,1,63,0,0,0,1,0,0,65,7421,Frequency,10,2019
126,3,0,0,0,0,0,0,0,0,0,7616,Frequency,10,2006
127,4,0,79,5,0,0,0,0,0,84,7616,Frequency,10,2006
128,12,0,2,1,0,0,0,0,0,3,7616,Frequency,10,2006
129,15,0,0,0,0,0,0,0,0,0,7616,Frequency,10,2006
130,18,0,0,0,0,0,0,0,0,0,7616,Frequency,10,2006
131,22,0,0,0,0,0,0,0,0,0,7616,Frequency,10,2006
132,27,0,0,0,0,0,0,0,0,0,7616,Frequency,10,2006
133,33,0,0,0,0,0,0,0,0,0,7616,Frequency,10,2006
134,Total,0,81,6,0,0,0,0,0,87,7616,Frequency,10,2006
135,3,0,0,0,0,0,0,0,0,0,7616,Frequency,5,2014
136,4,2,65,19,0,0,0,0,0,86,7616,Frequency,5,2014
137,12,0,1,2,0,0,0,0,0,3,7616,Frequency,5,2014
138,15,0,0,0,0,0,0,0,0,0,7616,Frequency,5,2014
139,18,0,0,0,0,0,0,0,0,0,7616,Frequency,5,2014
140,22,0,0,0,0,0,0,0,0,0,7616,Frequency,5,2014
141,27,0,0,0,0,0,0,0,0,0,7616,Frequency,5,2014
142,33,0,0,0,0,0,0,0,0,0,7616,Frequency,5,2014
143,Total,2,66,21,0,0,0,0,0,89,7616,Frequency,5,2014
144,3,0,11,0,0,0,0,0,0,11,76111,Frequency,9,2006
145,4,0,38,0,0,0,0,0,0,38,76111,Frequency,9,2006
146,12,0,0,0,0,0,0,0,0,0,76111,Frequency,9,2006
147,15,0,0,0,0,0,0,0,0,0,76111,Frequency,9,2006
