,aggrement,area,bacia,classe,year,Models,version
98,3,7666.662745446033,765,3,2017,Gap-fill,5
99,1,35997.89240327996,765,3,2018,Gap-fill,5
100,2,51571.02469388565,765,3,2018,Gap-fill,5
101,3,3597.3377391672125,765,3,2018,Gap-fill,5
102,1,35342.104208295816,765,3,2019,Gap-fill,5
103,2,43890.06750770274,765,3,2019,Gap-fill,5
104,3,2338.422322562494,765,3,2019,Gap-fill,5
105,1,32634.746347676675,765,3,2020,Gap-fill,5
106,2,46089.44038061647,765,3,2020,Gap-fill,5
107,3,4930.046781684083,765,3,2020,Gap-fill,5
108,1,31138.55479687179,765,3,2021,Gap-fill,5
109,2,22887.46390624905,765,3,2021,Gap-fill,5
110,3,6423.503082024974,765,3,2021,Gap-fill,5
111,1,33689.82663972104,765,3,2022,Gap-fill,5
112,2,68462.72664009461,765,3,2022,Gap-fill,5
113,3,3670.162954156896,765,3,2022,Gap-fill,5
114,1,1087363.262474087,771,21,1985,Gap-fill,5
115,2,60645.91789015984,771,21,1985,Gap-fill,5
116,3,301934.2050717382,771,21,1985,Gap-fill,5
117,1,902328.075334106,771,21,1986,Gap-fill,5
118,2,50100.29062841915,771,21,1986,Gap-fill,5
119,3,494507.5976948461,771,21,1986,Gap-fill,5
120,1,856086.9371052597,771,21,1987,Gap-fill,5
121,2,54569.65599314866,771,21,1987,Gap-fill,5
122,3,506329.28417981183,771,21,1987,Gap-fill,5
123,1,937154.2163035736,771,21,1988,Gap-fill,5
124,2,61191.99628081536,771,21,1988,Gap-fill,5
125,3,402891.5964557786,771,21,1988,Gap-fill,5
126,1,939031.6518838372,771,21,1989,Gap-fill,5
127,2,81385.79189062973,771,21,1989,Gap-fill,5
128,3,366417.201909608,771,21,1989,Gap-fill,5
129,1,970231.6030294998,771,21,1990,Gap-fill,5
130,2,100544.02864175133,771,21,1990,Gap-fill,5
131,3,317455.81677210046,771,21,1990,Gap-fill,5
132,1,754718.1855217749,771,21,1991,Gap-fill,5
133,2,45899.22881438755,771,21,1991,Gap-fill,5
134,3,541399.492830821,771,21,1991,Gap-fill,5
135,1,947139.376581438,771,21,1992,Gap-fill,5
136,2,87757.33244572864,771,21,1992,Gap-fill,5
137,3,348352.493732243,771,21,1992,Gap-fill,5
138,1,1016181.0080155513,771,21,1993,Gap-fill,5
139,2,87796.97241894524,771,21,1993,Gap-fill,5
140,3,314694.42009368225,771,21,1993,Gap-fill,5
141,1,996737.5812444016,771,21,1994,Gap-fill,5
142,2,63474.544588436176,771,21,1994,Gap-fill,5
143,3,370626.1778041959,771,21,1994,Gap-fill,5
144,1,1005569.8310672744,771,21,1995,Gap-fill,5
145,2,116612.36473872892,771,21,1995,Gap-fill,5
146,3,369541.7714219808,771,21,1995,Gap-fill,5
147,1,810250.6115041346,771,21,1996,Gap-fill,5
148,2,71864.53845647284,771,21,1996,Gap-fill,5
149,3,578711.6686644502,771,21,1996,Gap-fill,5
150,1,928425.1130568478,771,21,1997,Gap-fill,5
151,2,50742.40976016216,771,21,1997,Gap-fill,5
152,3,471092.6965422399,771,21,1997,Gap-fill,5
153,1,1066988.9027616547,771,21,1998,Gap-fill,5
154,2,94506.82251019136,771,21,1998,Gap-fill,5
155,3,317145.17820437,771,21,1998,Gap-fill,5
156,1,787543.1842037298,771,21,1999,Gap-fill,5
157,2,47976.50606773412,771,21,1999,Gap-fill,5
158,3,578554.1907054118,771,21,1999,Gap-fill,5
159,1,1035756.0661865558,771,21,2000,Gap-fill,5
160,2,57536.00533324421,771,21,2000,Gap-fill,5
161,3,335352.0018775868,771,21,2000,Gap-fill,5
162,1,1042707.6659976454,771,21,2001,Gap-fill,5
163,2,61648.77589307613,771,21,2001,Gap-fill,5
164,3,322831.5397693374,771,21,2001,Gap-fill,5
165,1,934123.194766501,771,21,2002,Gap-fill,5
166,2,46638.37857164159,771,21,2002,Gap-fill,5
167,3,423378.4548408842,771,21,2002,Gap-fill,5
168,1,990212.4884489938,771,21,2003,Gap-fill,5
