,classes,3,4,12,21,22,27,33,Total,bacia,model,version,year
823,Total,46,111,0,26,1,0,1,185,746,Gap-fill,9,1998
824,3,1,8,1,0,1,0,0,11,76111,Gap-fill,5,1993
825,4,2,25,6,7,6,0,0,46,76111,Gap-fill,5,1993
826,12,0,0,0,0,0,0,0,0,76111,Gap-fill,5,1993
827,21,1,31,16,79,23,0,0,150,76111,Gap-fill,5,1993
828,22,0,0,0,0,1,0,0,1,76111,Gap-fill,5,1993
829,27,0,0,0,0,0,0,0,0,76111,Gap-fill,5,1993
830,33,0,0,0,0,0,0,3,3,76111,Gap-fill,5,1993
831,Total,4,64,23,86,31,0,3,211,76111,Gap-fill,5,1993
832,3,0,13,0,10,0,0,1,24,776,Gap-fill,13,2004
833,4,0,136,13,91,1,0,3,244,776,Gap-fill,13,2004
834,12,0,0,10,0,0,0,0,10,776,Gap-fill,13,2004
835,21,0,28,20,149,7,0,1,205,776,Gap-fill,13,2004
836,22,0,0,1,0,0,0,0,1,776,Gap-fill,13,2004
837,27,0,0,0,0,0,0,0,0,776,Gap-fill,13,2004
838,33,0,0,0,0,0,0,1,1,776,Gap-fill,13,2004
839,Total,0,177,44,250,8,0,6,485,776,Gap-fill,13,2004
840,3,4,7,1,0,0,0,1,13,744,Gap-fill,5,1986
841,4,47,453,40,29,6,0,6,581,744,Gap-fill,5,1986
842,12,0,8,5,5,4,0,1,23,744,Gap-fill,5,1986
843,21,0,15,24,61,13,0,0,113,744,Gap-fill,5,1986
844,22,0,0,1,0,1,0,0,2,744,Gap-fill,5,1986
845,27,0,0,0,0,0,0,0,0,744,Gap-fill,5,1986
846,33,0,0,2,1,0,0,0,3,744,Gap-fill,5,1986
847,Total,51,483,73,96,24,0,8,735,744,Gap-fill,5,1986
848,3,23,7,0,1,2,0,0,33,753,Gap-fill,9,2009
849,4,86,205,3,41,14,0,1,350,753,Gap-fill,9,2009
850,12,2,8,0,4,0,0,0,14,753,Gap-fill,9,2009
851,21,32,54,1,30,13,0,3,133,753,Gap-fill,9,2009
852,22,3,4,2,1,13,0,0,23,753,Gap-fill,9,2009
853,27,1,2,0,1,0,0,0,4,753,Gap-fill,9,2009
854,33,3,3,2,0,0,0,12,20,753,Gap-fill,9,2009
855,Total,150,283,8,78,42,0,16,577,753,Gap-fill,9,2009
856,3,0,0,0,0,0,0,0,0,773,Gap-fill,10,1990
857,4,1,7,0,3,0,0,0,11,773,Gap-fill,10,1990
858,12,0,1,0,0,0,0,0,1,773,Gap-fill,10,1990
859,21,0,6,5,19,2,0,1,33,773,Gap-fill,10,1990
860,22,0,0,0,1,1,0,0,2,773,Gap-fill,10,1990
861,27,0,0,0,0,0,0,0,0,773,Gap-fill,10,1990
862,33,0,0,0,0,0,0,0,0,773,Gap-fill,10,1990
863,Total,1,14,5,23,3,0,1,47,773,Gap-fill,10,1990
864,3,0,5,0,1,0,0,0,6,7619,Gap-fill,5,2017
865,4,0,217,39,15,5,0,1,277,7619,Gap-fill,5,2017
866,12,0,3,1,5,4,0,0,13,7619,Gap-fill,5,2017
867,21,0,10,10,32,11,0,0,63,7619,Gap-fill,5,2017
868,22,0,0,0,0,0,0,0,0,7619,Gap-fill,5,2017
869,27,0,0,0,0,0,0,0,0,7619,Gap-fill,5,2017
870,33,0,0,0,1,0,0,1,2,7619,Gap-fill,5,2017
871,Total,0,235,50,54,20,0,2,361,7619,Gap-fill,5,2017
872,3,1,1,0,0,0,0,0,2,741,Gap-fill,13,1990
873,4,12,68,1,1,0,0,0,82,741,Gap-fill,13,1990
874,12,0,1,1,1,0,0,0,3,741,Gap-fill,13,1990
875,21,2,12,0,6,0,0,0,20,741,Gap-fill,13,1990
876,22,0,0,0,0,0,0,0,0,741,Gap-fill,13,1990
