,classes,3,4,12,21,22,27,33,Total,bacia,model,version,year
39825,4,19,61,0,3,0,0,0,83,741,Spatial,13,1988
39826,12,0,2,0,1,0,0,0,3,741,Spatial,13,1988
39827,21,2,13,2,3,0,0,0,20,741,Spatial,13,1988
39828,22,0,0,0,0,0,0,0,0,741,Spatial,13,1988
39829,27,0,0,0,0,0,0,0,0,741,Spatial,13,1988
39830,33,0,0,0,0,0,0,2,2,741,Spatial,13,1988
39831,Total,22,77,2,7,0,0,2,110,741,Spatial,13,1988
39832,3,1,2,0,0,0,0,0,3,76116,Spatial,5,1992
39833,4,4,99,17,29,2,0,0,151,76116,Spatial,5,1992
39834,12,0,0,2,2,1,0,0,5,76116,Spatial,5,1992
39835,21,0,23,4,55,5,0,0,87,76116,Spatial,5,1992
39836,22,0,0,0,0,0,0,0,0,76116,Spatial,5,1992
39837,27,0,0,0,0,0,0,0,0,76116,Spatial,5,1992
39838,33,0,0,0,0,0,0,9,9,76116,Spatial,5,1992
39839,Total,5,124,23,86,8,0,9,255,76116,Spatial,5,1992
39840,3,0,0,0,0,0,0,0,0,7613,Spatial,10,2010
39841,4,0,101,30,18,5,0,0,154,7613,Spatial,10,2010
39842,12,0,0,2,6,9,0,0,17,7613,Spatial,10,2010
39843,21,0,15,2,8,0,0,0,25,7613,Spatial,10,2010
39844,22,0,0,0,1,0,0,0,1,7613,Spatial,10,2010
39845,27,0,0,0,0,0,0,0,0,7613,Spatial,10,2010
39846,33,0,0,0,0,0,0,1,1,7613,Spatial,10,2010
39847,Total,0,116,34,33,14,0,1,198,7613,Spatial,10,2010
39848,3,1,1,0,1,0,0,0,3,76116,Spatial,10,1994
39849,4,2,111,11,22,2,0,1,149,76116,Spatial,10,1994
39850,12,0,0,2,2,1,0,0,5,76116,Spatial,10,1994
39851,21,0,28,5,52,3,0,0,88,76116,Spatial,10,1994
39852,22,0,0,0,0,0,0,0,0,76116,Spatial,10,1994
39853,27,0,1,0,0,0,0,0,1,76116,Spatial,10,1994
39854,33,0,0,0,0,0,0,9,9,76116,Spatial,10,1994
39855,Total,3,141,18,77,6,0,10,255,76116,Spatial,10,1994
39856,3,1,1,0,0,0,0,0,2,741,Spatial,10,1991
39857,4,24,56,0,1,0,0,0,81,741,Spatial,10,1991
39858,12,0,1,0,1,1,0,0,3,741,Spatial,10,1991
39859,21,0,13,0,6,3,0,0,22,741,Spatial,10,1991
39860,22,0,0,0,0,0,0,0,0,741,Spatial,10,1991
39861,27,0,0,0,0,0,0,0,0,741,Spatial,10,1991
39862,33,0,0,0,0,0,0,2,2,741,Spatial,10,1991
39863,Total,25,71,0,8,4,0,2,110,741,Spatial,10,1991
39864,3,0,7,0,4,0,0,0,11,76111,Spatial,13,1987
39865,4,0,42,7,15,1,0,0,65,76111,Spatial,13,1987
39866,12,0,0,0,0,0,0,0,0,76111,Spatial,13,1987
39867,21,0,47,7,77,0,0,0,131,76111,Spatial,13,1987
39868,22,0,0,1,0,0,0,0,1,76111,Spatial,13,1987
