,classes,3,4,12,21,22,33,Total,bacia,model,version,year
93,12,0,2,0,4,0,0,6,7617,SpatialV3su,36,1988
94,21,0,2,0,23,0,0,25,7617,SpatialV3su,36,1988
95,22,0,0,0,1,0,0,1,7617,SpatialV3su,36,1988
96,33,0,0,0,6,0,28,34,7617,SpatialV3su,36,1988
97,Total,0,136,0,56,0,28,220,7617,SpatialV3su,36,1988
98,3,2,2,0,0,0,0,4,7742,SpatialV3su,36,2012
99,4,5,11,0,3,0,0,19,7742,SpatialV3su,36,2012
100,12,0,1,0,1,0,0,2,7742,SpatialV3su,36,2012
101,21,1,17,0,102,0,0,120,7742,SpatialV3su,36,2012
102,22,0,0,0,1,0,0,1,7742,SpatialV3su,36,2012
103,33,0,0,0,0,0,2,2,7742,SpatialV3su,36,2012
104,Total,8,31,0,107,0,2,148,7742,SpatialV3su,36,2012
105,3,3,10,0,1,0,0,14,766,SpatialV3su,36,1987
106,4,4,112,0,18,0,0,134,766,SpatialV3su,36,1987
107,12,0,4,0,2,0,0,6,766,SpatialV3su,36,1987
108,21,0,23,0,112,0,0,135,766,SpatialV3su,36,1987
109,22,0,2,0,0,0,0,2,766,SpatialV3su,36,1987
110,33,0,2,0,0,0,2,4,766,SpatialV3su,36,1987
111,Total,7,153,0,133,0,2,295,766,SpatialV3su,36,1987
112,3,0,0,0,0,0,0,0,7616,SpatialV3su,36,2014
113,4,0,70,0,22,0,0,92,7616,SpatialV3su,36,2014
114,12,0,2,1,0,0,0,3,7616,SpatialV3su,36,2014
115,21,0,7,0,25,0,0,32,7616,SpatialV3su,36,2014
116,22,0,0,0,0,0,0,0,7616,SpatialV3su,36,2014
117,33,0,0,0,0,0,0,0,7616,SpatialV3su,36,2014
118,Total,0,79,1,47,0,0,127,7616,SpatialV3su,36,2014
119,3,12,11,0,0,0,0,23,776,SpatialV3su,36,1994
120,4,9,150,3,41,0,0,203,776,SpatialV3su,36,1994
121,12,0,0,7,2,0,0,9,776,SpatialV3su,36,1994
122,21,2,30,1,110,0,0,143,776,SpatialV3su,36,1994
123,22,0,0,2,0,0,0,2,776,SpatialV3su,36,1994
124,33,0,0,0,0,0,1,1,776,SpatialV3su,36,1994
125,Total,23,191,13,153,0,1,381,776,SpatialV3su,36,1994
126,3,4,3,0,1,0,0,8,745,SpatialV3su,36,2006
127,4,22,39,0,1,0,0,62,745,SpatialV3su,36,2006
128,12,0,2,0,0,0,0,2,745,SpatialV3su,36,2006
129,21,0,4,0,4,0,0,8,745,SpatialV3su,36,2006
130,22,0,0,0,0,0,0,0,745,SpatialV3su,36,2006
131,33,0,0,0,0,0,0,0,745,SpatialV3su,36,2006
132,Total,26,48,0,6,0,0,80,745,SpatialV3su,36,2006
133,3,1,3,0,0,0,0,4,755,SpatialV3su,36,2005
134,4,4,131,0,23,0,0,158,755,SpatialV3su,36,2005
135,12,0,0,0,4,1,0,5,755,SpatialV3su,36,2005
136,21,0,19,0,65,0,0,84,755,SpatialV3su,36,2005
137,22,0,1,0,6,4,0,11,755,SpatialV3su,36,2005
138,33,1,1,0,1,0,1,4,755,SpatialV3su,36,2005
139,Total,6,155,0,99,5,1,266,755,SpatialV3su,36,2005
140,3,1,0,0,0,0,0,1,773,SpatialV3su,36,2012
141,4,0,3,0,2,0,0,5,773,SpatialV3su,36,2012
142,12,0,1,0,0,0,0,1,773,SpatialV3su,36,2012
143,21,1,1,0,37,0,0,39,773,SpatialV3su,36,2012
144,22,0,0,0,2,0,0,2,773,SpatialV3su,36,2012
145,33,0,0,0,0,0,0,0,773,SpatialV3su,36,2012
146,Total,2,5,0,41,0,0,48,773,SpatialV3su,36,2012
147,3,20,7,0,0,0,0,27,7741,SpatialV3su,36,1994
148,4,11,90,1,8,0,1,111,7741,SpatialV3su,36,1994
149,12,2,6,0,1,0,0,9,7741,SpatialV3su,36,1994
150,21,0,42,0,55,0,0,97,7741,SpatialV3su,36,1994
151,22,0,0,1,0,0,0,1,7741,SpatialV3su,36,1994
152,33,0,0,0,0,0,0,0,7741,SpatialV3su,36,1994
153,Total,33,145,2,64,0,1,245,7741,SpatialV3su,36,1994
154,3,2,3,0,2,0,0,7,757,SpatialV3su,36,2004
155,4,0,114,0,30,0,0,144,757,SpatialV3su,36,2004
156,12,0,0,0,2,0,0,2,757,SpatialV3su,36,2004
157,21,0,30,0,103,0,0,133,757,SpatialV3su,36,2004
158,22,0,0,0,2,0,0,2,757,SpatialV3su,36,2004
159,33,0,1,0,2,0,4,7,757,SpatialV3su,36,2004
160,Total,2,148,0,141,0,4,295,757,SpatialV3su,36,2004
161,3,5,6,0,1,0,0,12,759,SpatialV3su,36,1988
162,4,0,31,0,10,0,0,41,759,SpatialV3su,36,1988
163,12,0,0,0,0,0,0,0,759,SpatialV3su,36,1988
164,21,0,28,0,47,0,0,75,759,SpatialV3su,36,1988
165,22,0,1,0,0,0,0,1,759,SpatialV3su,36,1988
166,33,0,1,0,0,0,0,1,759,SpatialV3su,36,1988
167,Total,5,67,0,58,0,0,130,759,SpatialV3su,36,1988
168,3,1,11,0,1,0,0,13,744,SpatialV3su,36,2006
169,4,0,508,1,43,0,0,552,744,SpatialV3su,36,2006
170,12,0,11,3,7,0,0,21,744,SpatialV3su,36,2006
171,21,0,44,0,109,0,0,153,744,SpatialV3su,36,2006
172,22,0,1,0,1,0,0,2,744,SpatialV3su,36,2006
173,33,0,2,0,0,0,0,2,744,SpatialV3su,36,2006
174,Total,1,577,4,161,0,0,743,744,SpatialV3su,36,2006
175,3,0,1,0,0,0,0,1,7421,SpatialV3su,36,1987
176,4,0,75,0,3,0,0,78,7421,SpatialV3su,36,1987
177,12,0,2,0,0,0,0,2,7421,SpatialV3su,36,1987
178,21,0,5,0,3,0,0,8,7421,SpatialV3su,36,1987
179,22,0,0,0,0,0,0,0,7421,SpatialV3su,36,1987
180,33,0,0,0,0,0,0,0,7421,SpatialV3su,36,1987
181,Total,0,83,0,6,0,0,89,7421,SpatialV3su,36,1987
182,3,4,11,0,2,0,0,17,765,SpatialV3su,36,1996
183,4,4,105,0,27,0,0,136,765,SpatialV3su,36,1996
184,12,0,0,0,0,0,0,0,765,SpatialV3su,36,1996
185,21,2,12,0,92,0,0,106,765,SpatialV3su,36,1996
186,22,0,2,0,1,3,0,6,765,SpatialV3su,36,1996
187,33,0,1,0,0,0,1,2,765,SpatialV3su,36,1996
188,Total,10,131,0,122,3,1,267,765,SpatialV3su,36,1996
189,3,0,0,0,0,0,0,0,7616,SpatialV3su,36,2019
190,4,0,64,0,28,0,0,92,7616,SpatialV3su,36,2019
191,12,0,1,2,0,0,0,3,7616,SpatialV3su,36,2019
192,21,0,5,0,27,0,0,32,7616,SpatialV3su,36,2019
193,22,0,0,0,0,0,0,0,7616,SpatialV3su,36,2019
194,33,0,0,0,0,0,0,0,7616,SpatialV3su,36,2019
195,Total,0,70,2,55,0,0,127,7616,SpatialV3su,36,2019
196,3,0,0,0,0,0,0,0,7618,SpatialV3su,36,1988
197,4,0,105,1,9,0,0,115,7618,SpatialV3su,36,1988
198,12,0,1,0,2,0,0,3,7618,SpatialV3su,36,1988
199,21,0,3,0,37,0,0,40,7618,SpatialV3su,36,1988
200,22,0,1,0,0,0,0,1,7618,SpatialV3su,36,1988
201,33,0,0,0,0,0,0,0,7618,SpatialV3su,36,1988
202,Total,0,110,1,48,0,0,159,7618,SpatialV3su,36,1988
203,3,1,11,0,1,0,0,13,744,SpatialV3su,36,2007
204,4,0,515,1,42,0,0,558,744,SpatialV3su,36,2007
205,12,0,10,3,7,0,0,20,744,SpatialV3su,36,2007
206,21,0,41,0,107,0,0,148,744,SpatialV3su,36,2007
207,22,0,1,0,1,0,0,2,744,SpatialV3su,36,2007
208,33,0,2,0,0,0,0,2,744,SpatialV3su,36,2007
209,Total,1,580,4,158,0,0,743,744,SpatialV3su,36,2007
210,3,1,9,0,2,0,0,12,767,SpatialV3su,36,1985
211,4,8,65,0,8,0,0,81,767,SpatialV3su,36,1985
212,12,0,0,0,1,0,0,1,767,SpatialV3su,36,1985
213,21,1,9,0,32,0,0,42,767,SpatialV3su,36,1985
214,22,0,1,0,0,0,0,1,767,SpatialV3su,36,1985
215,33,0,0,0,0,0,0,0,767,SpatialV3su,36,1985
216,Total,10,84,0,43,0,0,137,767,SpatialV3su,36,1985
217,3,0,0,0,0,0,0,0,7492,SpatialV3su,36,1997
218,4,0,3,0,0,0,0,3,7492,SpatialV3su,36,1997
219,12,0,0,0,0,0,0,0,7492,SpatialV3su,36,1997
220,21,0,0,0,0,0,0,0,7492,SpatialV3su,36,1997
221,22,0,0,0,0,0,0,0,7492,SpatialV3su,36,1997
222,33,0,0,0,0,0,0,0,7492,SpatialV3su,36,1997
223,Total,0,3,0,0,0,0,3,7492,SpatialV3su,36,1997
224,3,4,4,0,0,0,0,8,745,SpatialV3su,36,2010
225,4,22,39,0,1,0,0,62,745,SpatialV3su,36,2010
