,classes,3,4,12,21,22,33,Total,bacia,model,version,year
0,3,1,0,0,1,0,0,2,771,FrequencyV3,31,1992
1,4,7,80,0,38,0,0,125,771,FrequencyV3,31,1992
2,12,0,1,0,2,0,0,3,771,FrequencyV3,31,1992
3,21,4,11,0,112,0,0,127,771,FrequencyV3,31,1992
4,22,0,0,0,0,0,0,0,771,FrequencyV3,31,1992
5,33,0,0,0,0,0,0,0,771,FrequencyV3,31,1992
6,Total,12,92,0,153,0,0,257,771,FrequencyV3,31,1992
7,3,0,7,0,0,0,0,7,7619,FrequencyV3,31,1986
8,4,2,253,4,17,0,0,276,7619,FrequencyV3,31,1986
9,12,0,6,0,2,0,4,12,7619,FrequencyV3,31,1986
10,21,0,14,0,36,0,1,51,7619,FrequencyV3,31,1986
11,22,0,1,0,0,0,0,1,7619,FrequencyV3,31,1986
12,33,0,0,0,0,0,2,2,7619,FrequencyV3,31,1986
13,Total,2,281,4,55,0,7,349,7619,FrequencyV3,31,1986
14,3,1,13,0,0,0,0,14,744,FrequencyV3,31,1991
15,4,0,494,1,66,0,1,562,744,FrequencyV3,31,1991
16,12,0,7,3,12,0,0,22,744,FrequencyV3,31,1991
17,21,0,15,0,126,0,0,141,744,FrequencyV3,31,1991
18,22,0,1,0,1,0,0,2,744,FrequencyV3,31,1991
19,33,0,0,0,2,0,0,2,744,FrequencyV3,31,1991
20,Total,1,530,4,207,0,1,743,744,FrequencyV3,31,1991
21,3,2,2,0,3,0,0,7,757,FrequencyV3,31,1997
22,4,0,111,0,40,0,0,151,757,FrequencyV3,31,1997
23,12,0,0,0,2,0,0,2,757,FrequencyV3,31,1997
24,21,0,24,0,102,0,0,126,757,FrequencyV3,31,1997
25,22,0,0,0,2,0,0,2,757,FrequencyV3,31,1997
26,33,0,2,1,1,0,3,7,757,FrequencyV3,31,1997
27,Total,2,139,1,150,0,3,295,757,FrequencyV3,31,1997
28,3,2,2,0,3,0,0,7,757,FrequencyV3,31,1993
29,4,0,103,0,48,0,0,151,757,FrequencyV3,31,1993
30,12,0,0,0,2,0,0,2,757,FrequencyV3,31,1993
31,21,0,19,0,108,0,0,127,757,FrequencyV3,31,1993
32,22,0,0,0,2,0,0,2,757,FrequencyV3,31,1993
33,33,0,1,2,2,0,1,6,757,FrequencyV3,31,1993
34,Total,2,125,2,165,0,1,295,757,FrequencyV3,31,1993
35,3,1,3,0,0,0,0,4,755,FrequencyV3,31,2010
36,4,5,125,0,29,0,0,159,755,FrequencyV3,31,2010
37,12,0,0,0,4,1,0,5,755,FrequencyV3,31,2010
38,21,0,9,0,74,0,0,83,755,FrequencyV3,31,2010
39,22,0,0,0,7,4,0,11,755,FrequencyV3,31,2010
40,33,1,0,0,1,0,2,4,755,FrequencyV3,31,2010
41,Total,7,137,0,115,5,2,266,755,FrequencyV3,31,2010
42,3,9,8,0,1,2,0,20,751,FrequencyV3,31,2006
43,4,30,106,0,3,0,0,139,751,FrequencyV3,31,2006
44,12,0,4,1,3,0,0,8,751,FrequencyV3,31,2006
45,21,2,30,0,7,0,0,39,751,FrequencyV3,31,2006
46,22,0,4,4,1,0,0,9,751,FrequencyV3,31,2006
47,33,0,0,1,1,1,0,3,751,FrequencyV3,31,2006
