,classes,3,4,12,15,18,22,27,33,Total,bacia,model,version,year
95,4,0,39,16,2,0,1,,0,58,7618,RF,7,2012
96,12,0,0,1,0,0,0,,0,1,7618,RF,7,2012
97,15,0,3,1,6,15,0,,0,25,7618,RF,7,2012
98,18,0,0,0,0,0,0,,0,0,7618,RF,7,2012
99,22,0,0,0,0,0,1,,0,1,7618,RF,7,2012
100,33,0,0,0,0,0,0,,0,0,7618,RF,7,2012
101,Total,0,42,18,8,15,2,,0,85,7618,RF,7,2012
102,3,7,0,0,1,0,0,0.0,0,8,745,RF,5,2001
103,4,28,19,2,1,0,2,0.0,0,52,745,RF,5,2001
104,12,0,0,0,0,0,1,0.0,0,1,745,RF,5,2001
105,15,0,4,1,2,0,1,0.0,0,8,745,RF,5,2001
106,18,0,2,0,0,0,0,0.0,0,2,745,RF,5,2001
107,22,0,0,0,0,0,0,0.0,0,0,745,RF,5,2001
108,27,0,0,0,0,0,0,0.0,0,0,745,RF,5,2001
109,33,0,0,0,0,0,0,0.0,0,0,745,RF,5,2001
110,Total,35,25,3,4,0,4,0.0,0,71,745,RF,5,2001
111,3,1,3,0,0,3,0,,0,7,754,RF,7,1992
112,4,7,78,15,11,58,9,,0,178,754,RF,7,1992
113,12,0,3,0,2,1,1,,0,7,754,RF,7,1992
114,15,4,12,1,10,22,11,,0,60,754,RF,7,1992
115,18,0,0,0,3,0,1,,0,4,754,RF,7,1992
116,22,0,0,0,1,0,2,,0,3,754,RF,7,1992
117,33,1,0,3,1,0,1,,5,11,754,RF,7,1992
118,Total,13,96,19,28,84,25,,5,270,754,RF,7,1992
119,3,0,0,0,0,0,0,,0,0,756,RF,7,2012
120,4,0,3,1,1,3,0,,0,8,756,RF,7,2012
121,12,0,0,0,0,0,0,,0,0,756,RF,7,2012
122,15,0,0,0,0,0,0,,0,0,756,RF,7,2012
123,18,0,0,0,0,0,0,,0,0,756,RF,7,2012
124,22,0,0,0,0,0,0,,0,0,756,RF,7,2012
125,33,0,0,0,0,0,0,,1,1,756,RF,7,2012
126,Total,0,3,1,1,3,0,,1,9,756,RF,7,2012
127,3,13,5,0,0,0,2,1.0,0,21,751,RF,10,2005
128,4,69,65,0,6,0,6,0.0,1,147,751,RF,10,2005
129,12,0,3,1,3,0,1,0.0,0,8,751,RF,10,2005
130,15,9,17,0,9,0,4,0.0,0,39,751,RF,10,2005
131,18,3,1,0,2,0,0,0.0,0,6,751,RF,10,2005
132,22,3,1,1,0,0,3,2.0,0,10,751,RF,10,2005
133,27,0,0,0,0,0,0,0.0,0,0,751,RF,10,2005
134,33,0,0,1,1,0,1,0.0,0,3,751,RF,10,2005
135,Total,97,92,3,21,0,17,3.0,1,234,751,RF,10,2005
136,3,0,12,0,2,0,0,0.0,1,15,7621,RF,5,1998
137,4,0,20,0,5,0,0,0.0,0,25,7621,RF,5,1998
138,12,0,0,0,1,0,0,0.0,0,1,7621,RF,5,1998
139,15,0,3,4,15,0,1,0.0,0,23,7621,RF,5,1998
140,18,0,0,0,0,0,0,0.0,0,0,7621,RF,5,1998
141,22,0,0,0,0,0,0,0.0,0,0,7621,RF,5,1998
142,27,0,0,0,0,0,0,0.0,0,0,7621,RF,5,1998
143,33,0,0,0,0,0,0,0.0,0,0,7621,RF,5,1998
144,Total,0,35,4,23,0,1,0.0,1,64,7621,RF,5,1998
145,3,0,0,0,0,0,0,,0,0,7742,RF,7,2012
146,4,0,0,0,0,0,0,,0,0,7742,RF,7,2012
147,12,0,0,0,0,0,0,,0,0,7742,RF,7,2012
148,15,0,0,1,2,0,2,,0,5,7742,RF,7,2012
149,18,0,0,0,0,0,0,,0,0,7742,RF,7,2012
150,22,0,0,0,0,0,0,,0,0,7742,RF,7,2012
151,33,0,0,0,0,0,0,,0,0,7742,RF,7,2012
152,Total,0,0,1,2,0,2,,0,5,7742,RF,7,2012
153,3,5,9,0,0,0,0,,0,14,763,RF,6,1999
154,4,13,87,8,16,0,2,,0,126,763,RF,6,1999
155,12,0,2,4,1,0,2,,0,9,763,RF,6,1999
156,15,0,14,5,71,0,8,,0,98,763,RF,6,1999
157,18,0,0,0,0,0,0,,0,0,763,RF,6,1999
158,22,0,0,1,0,0,1,,0,2,763,RF,6,1999
159,33,0,0,0,0,0,0,,1,1,763,RF,6,1999
160,Total,18,112,18,88,0,13,,1,250,763,RF,6,1999
161,3,1,2,1,0,0,0,0.0,0,4,755,RF,5,2010
162,4,9,115,1,33,0,4,1.0,0,163,755,RF,5,2010
163,12,0,0,0,3,0,2,0.0,0,5,755,RF,5,2010
164,15,0,15,0,48,0,14,1.0,0,78,755,RF,5,2010
165,18,0,4,0,5,0,1,0.0,0,10,755,RF,5,2010
166,22,0,1,0,2,0,5,3.0,0,11,755,RF,5,2010
167,27,0,0,0,0,0,0,0.0,0,0,755,RF,5,2010
168,33,1,1,0,0,0,0,0.0,2,4,755,RF,5,2010
169,Total,11,138,2,91,0,26,5.0,2,275,755,RF,5,2010
170,3,4,2,0,0,0,0,,0,6,744,RF,6,2007
171,4,23,188,30,9,0,1,,0,251,744,RF,6,2007
172,12,0,1,6,2,0,3,,0,12,744,RF,6,2007
173,15,0,7,8,20,0,7,,0,42,744,RF,6,2007
174,18,0,3,2,0,0,0,,0,5,744,RF,6,2007
175,22,0,0,1,0,0,0,,0,1,744,RF,6,2007
176,33,0,1,0,0,0,0,,0,1,744,RF,6,2007
177,Total,27,202,47,31,0,11,,0,318,744,RF,6,2007
178,3,0,1,0,0,0,0,,0,1,7619,RF,7,2006
179,4,5,19,3,7,0,0,,0,34,7619,RF,7,2006
180,12,0,0,0,1,0,0,,0,1,7619,RF,7,2006
181,15,0,1,0,1,2,0,,0,4,7619,RF,7,2006
182,18,0,0,0,0,0,0,,0,0,7619,RF,7,2006
183,22,0,0,0,0,0,0,,0,0,7619,RF,7,2006
184,33,0,0,0,0,0,0,,0,0,7619,RF,7,2006
185,Total,5,21,3,9,2,0,,0,40,7619,RF,7,2006
186,3,57,77,1,6,0,1,,2,144,Caatinga,RF,6,1985
187,4,182,1588,237,283,0,61,,11,2362,Caatinga,RF,6,1985
188,12,1,25,31,43,0,18,,1,119,Caatinga,RF,6,1985
189,15,6,145,26,396,0,65,,2,640,Caatinga,RF,6,1985
190,18,0,11,7,10,0,3,,0,31,Caatinga,RF,6,1985
191,22,2,4,3,8,0,8,,0,25,Caatinga,RF,6,1985
192,33,5,4,0,1,0,2,,56,68,Caatinga,RF,6,1985
193,Total,253,1854,305,747,0,158,,72,3389,Caatinga,RF,6,1985
194,3,0,0,0,0,0,0,,0,0,7618,RF,6,1995
195,4,1,53,0,3,0,1,,1,59,7618,RF,6,1995
196,12,0,1,0,0,0,0,,0,1,7618,RF,6,1995
197,15,0,5,0,19,0,0,,0,24,7618,RF,6,1995
198,18,0,0,0,0,0,0,,0,0,7618,RF,6,1995
199,22,0,0,0,0,0,1,,0,1,7618,RF,6,1995
200,33,0,0,0,0,0,0,,0,0,7618,RF,6,1995
201,Total,1,59,0,22,0,2,,1,85,7618,RF,6,1995
202,3,0,0,0,0,0,0,,0,0,741,RF,7,2002
203,4,2,16,0,0,0,0,,0,18,741,RF,7,2002
204,12,0,0,0,1,2,0,,0,3,741,RF,7,2002
205,15,0,5,1,2,1,0,,0,9,741,RF,7,2002
