,area,classe,year,Models,Bacia,version,cobertura,cob_level1,cob_color,nat_color,total
0,20246.55411023734,3,1985,Frequency,7621,5,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1,362614.12249170814,4,1985,Frequency,7621,5,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
2,627.3757476978035,12,1985,Frequency,7621,5,Grassland,Natural,#d6bc74,#32a65e,cobertura
3,208218.09884316096,21,1985,Frequency,7621,5,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
4,1569.411062394684,22,1985,Frequency,7621,5,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
5,1122.7883711333188,33,1985,Frequency,7621,5,Water,Natural,#0000FF,#32a65e,cobertura
6,14310.716597741704,3,1986,Frequency,7621,5,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
7,367708.27751678793,4,1986,Frequency,7621,5,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
8,603.5065651037871,12,1986,Frequency,7621,5,Grassland,Natural,#d6bc74,#32a65e,cobertura
9,208979.25213016188,21,1986,Frequency,7621,5,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
10,1438.6070287587154,22,1986,Frequency,7621,5,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
11,1357.9907877963944,33,1986,Frequency,7621,5,Water,Natural,#0000FF,#32a65e,cobertura
12,14486.842092411796,3,1987,Frequency,7621,5,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
13,379905.8605962004,4,1987,Frequency,7621,5,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
14,1371.1669924325106,12,1987,Frequency,7621,5,Grassland,Natural,#d6bc74,#32a65e,cobertura
15,194583.2362125838,21,1987,Frequency,7621,5,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
16,2907.692004558051,22,1987,Frequency,7621,5,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
17,1143.5527281638924,33,1987,Frequency,7621,5,Water,Natural,#0000FF,#32a65e,cobertura
18,11559.977545691729,3,1988,Frequency,7621,5,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
19,377616.57598487794,4,1988,Frequency,7621,5,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
20,1347.6435861861696,12,1988,Frequency,7621,5,Grassland,Natural,#d6bc74,#32a65e,cobertura
21,199362.93323879247,21,1988,Frequency,7621,5,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
22,3489.659382613991,22,1988,Frequency,7621,5,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
23,1021.560888187497,33,1988,Frequency,7621,5,Water,Natural,#0000FF,#32a65e,cobertura
24,12976.283353800003,3,1989,Frequency,7621,5,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
25,370734.4548761327,4,1989,Frequency,7621,5,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
26,1665.2503190062102,12,1989,Frequency,7621,5,Grassland,Natural,#d6bc74,#32a65e,cobertura
27,204124.17834195076,21,1989,Frequency,7621,5,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
28,3893.0244865603495,22,1989,Frequency,7621,5,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
29,1005.1592488763572,33,1989,Frequency,7621,5,Water,Natural,#0000FF,#32a65e,cobertura
30,12705.83642552342,3,1990,Frequency,7621,5,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
31,364655.3512032896,4,1990,Frequency,7621,5,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
32,951.0699936400642,12,1990,Frequency,7621,5,Grassland,Natural,#d6bc74,#32a65e,cobertura
33,210625.41839543977,21,1990,Frequency,7621,5,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
34,4310.496556269887,22,1990,Frequency,7621,5,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
35,1150.1780521870476,33,1990,Frequency,7621,5,Water,Natural,#0000FF,#32a65e,cobertura
36,12319.79629914181,3,1991,Frequency,7621,5,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
37,365429.40328609454,4,1991,Frequency,7621,5,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
38,1153.542381279565,12,1991,Frequency,7621,5,Grassland,Natural,#d6bc74,#32a65e,cobertura
39,208340.2677976605,21,1991,Frequency,7621,5,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
40,5781.73451243861,22,1991,Frequency,7621,5,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
41,1373.606349732714,33,1991,Frequency,7621,5,Water,Natural,#0000FF,#32a65e,cobertura
42,12031.970022110145,3,1992,Frequency,7621,5,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
43,353288.3925939513,4,1992,Frequency,7621,5,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
44,418.67038528832586,12,1992,Frequency,7621,5,Grassland,Natural,#d6bc74,#32a65e,cobertura
45,224281.29941201495,21,1992,Frequency,7621,5,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
46,3385.750444827412,22,1992,Frequency,7621,5,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
