,classes,3,4,12,21,22,33,Total,bacia,model,version,year
6854,4,51,251,0,34,1,1,338,753,TemporalV3J5,35,1989
6855,12,0,6,0,4,0,0,10,753,TemporalV3J5,35,1989
6856,21,22,34,0,44,1,0,101,753,TemporalV3J5,35,1989
6857,22,4,2,1,7,2,1,17,753,TemporalV3J5,35,1989
6858,33,4,4,2,0,1,7,18,753,TemporalV3J5,35,1989
6859,Total,98,306,3,89,6,9,511,753,TemporalV3J5,35,1989
6860,3,17,10,0,1,0,0,28,753,TemporalV3J5,35,2017
6861,4,54,239,0,34,0,0,327,753,TemporalV3J5,35,2017
6862,12,0,9,0,2,0,0,11,753,TemporalV3J5,35,2017
6863,21,26,40,0,41,2,0,109,753,TemporalV3J5,35,2017
6864,22,2,2,3,5,6,1,19,753,TemporalV3J5,35,2017
6865,33,3,9,0,1,0,4,17,753,TemporalV3J5,35,2017
6866,Total,102,309,3,84,8,5,511,753,TemporalV3J5,35,2017
6867,3,0,0,0,0,0,0,0,7618,TemporalV3J5,35,1991
6868,4,0,98,2,10,0,0,110,7618,TemporalV3J5,35,1991
6869,12,0,3,0,0,0,0,3,7618,TemporalV3J5,35,1991
6870,21,0,4,0,41,0,0,45,7618,TemporalV3J5,35,1991
6871,22,0,1,0,0,0,0,1,7618,TemporalV3J5,35,1991
6872,33,0,0,0,0,0,0,0,7618,TemporalV3J5,35,1991
6873,Total,0,106,2,51,0,0,159,7618,TemporalV3J5,35,1991
6874,3,1,1,0,0,0,0,2,76116,TemporalV3J5,35,1987
6875,4,3,109,7,35,0,0,154,76116,TemporalV3J5,35,1987
6876,12,0,0,2,6,0,0,8,76116,TemporalV3J5,35,1987
6877,21,0,10,0,56,0,0,66,76116,TemporalV3J5,35,1987
6878,22,0,0,0,0,0,0,0,76116,TemporalV3J5,35,1987
6879,33,0,0,0,0,0,2,2,76116,TemporalV3J5,35,1987
6880,Total,4,120,9,97,0,2,232,76116,TemporalV3J5,35,1987
6881,3,1,0,0,0,0,0,1,773,TemporalV3J5,35,2004
6882,4,0,1,0,5,0,0,6,773,TemporalV3J5,35,2004
6883,12,0,1,0,0,0,0,1,773,TemporalV3J5,35,2004
6884,21,0,2,0,36,0,0,38,773,TemporalV3J5,35,2004
