,classes,3,4,12,15,18,22,33,Total,bacia,model,version,year
87,Total,27,461,52,0,0,2,3,545,744,toExport,5,2021
88,3,5,3,0,0,0,1,0,9,772,toExport,9,2013
89,4,9,98,0,0,0,1,0,108,772,toExport,9,2013
90,12,0,1,0,0,0,0,0,1,772,toExport,9,2013
91,15,0,0,0,0,0,0,0,0,772,toExport,9,2013
92,18,0,0,0,0,0,0,0,0,772,toExport,9,2013
93,22,0,0,0,0,0,0,0,0,772,toExport,9,2013
94,33,0,1,0,0,0,0,0,1,772,toExport,9,2013
95,Total,14,103,0,0,0,2,0,119,772,toExport,9,2013
96,3,4,14,0,0,0,0,0,18,763,toExport,5,2003
97,4,6,168,5,0,0,0,0,179,763,toExport,5,2003
98,12,0,3,3,0,0,3,0,9,763,toExport,5,2003
99,15,0,0,0,0,0,0,0,0,763,toExport,5,2003
100,18,0,0,0,0,0,0,0,0,763,toExport,5,2003
101,22,0,2,0,0,0,2,0,4,763,toExport,5,2003
102,33,0,0,0,0,0,0,3,3,763,toExport,5,2003
103,Total,10,187,8,0,0,5,3,213,763,toExport,5,2003
104,3,0,15,0,0,0,0,0,15,765,toExport,9,1995
105,4,0,92,0,0,0,2,0,94,765,toExport,9,1995
106,12,0,0,0,0,0,0,0,0,765,toExport,9,1995
107,15,0,0,0,0,0,0,0,0,765,toExport,9,1995
108,18,0,0,0,0,0,0,0,0,765,toExport,9,1995
109,22,0,1,0,0,0,4,0,5,765,toExport,9,1995
110,33,0,1,0,0,0,0,1,2,765,toExport,9,1995
111,Total,0,109,0,0,0,6,1,116,765,toExport,9,1995
112,3,23,4,0,0,0,0,0,27,7741,toExport,5,1995
113,4,19,69,5,0,0,0,0,93,7741,toExport,5,1995
114,12,0,6,1,0,0,0,0,7,7741,toExport,5,1995
115,15,0,0,0,0,0,0,0,0,7741,toExport,5,1995
116,18,0,0,0,0,0,0,0,0,7741,toExport,5,1995
117,22,0,0,1,0,0,0,0,1,7741,toExport,5,1995
118,33,0,0,0,0,0,0,0,0,7741,toExport,5,1995
119,Total,42,79,7,0,0,0,0,128,7741,toExport,5,1995
120,3,0,0,0,0,0,0,0,0,7614,toExport,5,2017
