,classes,3,4,12,21,22,33,Total,bacia,model,version,year
0,3,11,13,0,1,0,0,25,753,SpatialV2St1,15,2022
1,4,28,289,0,14,0,0,331,753,SpatialV2St1,15,2022
2,12,0,7,1,1,0,0,9,753,SpatialV2St1,15,2022
3,21,7,72,2,18,4,0,103,753,SpatialV2St1,15,2022
4,22,3,4,2,2,12,0,23,753,SpatialV2St1,15,2022
5,33,3,7,2,0,0,8,20,753,SpatialV2St1,15,2022
6,Total,52,392,7,36,16,8,511,753,SpatialV2St1,15,2022
7,3,0,6,0,0,0,0,6,756,SpatialV2St1,15,1988
8,4,1,152,9,81,4,0,247,756,SpatialV2St1,15,1988
9,12,0,1,0,4,1,1,7,756,SpatialV2St1,15,1988
10,21,0,45,2,77,1,0,125,756,SpatialV2St1,15,1988
11,22,0,2,1,3,2,0,8,756,SpatialV2St1,15,1988
12,33,0,0,0,1,0,6,7,756,SpatialV2St1,15,1988
13,Total,1,206,12,166,8,7,400,756,SpatialV2St1,15,1988
14,3,0,8,0,0,0,0,8,767,SpatialV2St1,15,1988
15,4,0,47,0,7,0,0,54,767,SpatialV2St1,15,1988
16,12,0,0,0,0,0,0,0,767,SpatialV2St1,15,1988
17,21,0,9,0,29,0,0,38,767,SpatialV2St1,15,1988
18,22,0,1,0,0,0,0,1,767,SpatialV2St1,15,1988
19,33,0,0,0,0,0,0,0,767,SpatialV2St1,15,1988
20,Total,0,65,0,36,0,0,101,767,SpatialV2St1,15,1988
21,3,0,3,0,0,0,0,3,7612,SpatialV2St1,15,2009
22,4,0,91,4,7,0,0,102,7612,SpatialV2St1,15,2009
23,12,0,1,5,1,1,0,8,7612,SpatialV2St1,15,2009
24,21,0,23,2,32,0,0,57,7612,SpatialV2St1,15,2009
25,22,0,1,1,1,1,0,4,7612,SpatialV2St1,15,2009
26,33,0,0,0,0,0,3,3,7612,SpatialV2St1,15,2009
27,Total,0,119,12,41,2,3,177,7612,SpatialV2St1,15,2009
28,3,5,1,1,1,0,0,8,772,SpatialV2St1,15,1994
29,4,7,84,6,45,0,0,142,772,SpatialV2St1,15,1994
30,12,0,1,0,0,0,0,1,772,SpatialV2St1,15,1994
31,21,8,24,21,130,1,0,184,772,SpatialV2St1,15,1994
32,22,0,0,0,1,0,0,1,772,SpatialV2St1,15,1994
33,33,0,0,0,0,0,0,0,772,SpatialV2St1,15,1994
34,Total,20,110,28,177,1,0,336,772,SpatialV2St1,15,1994
35,3,12,20,0,0,0,0,32,746,SpatialV2St1,15,2019
36,4,7,118,0,2,0,0,127,746,SpatialV2St1,15,2019
37,12,0,3,0,0,0,0,3,746,SpatialV2St1,15,2019
38,21,0,11,0,8,1,0,20,746,SpatialV2St1,15,2019
39,22,0,1,0,2,0,0,3,746,SpatialV2St1,15,2019
40,33,0,1,0,0,0,0,1,746,SpatialV2St1,15,2019
41,Total,19,154,0,12,1,0,186,746,SpatialV2St1,15,2019
42,3,0,2,0,1,0,0,3,756,SpatialV2St1,15,2014
43,4,1,193,7,50,0,0,251,756,SpatialV2St1,15,2014
44,12,0,2,1,4,0,0,7,756,SpatialV2St1,15,2014
45,21,0,44,3,76,2,0,125,756,SpatialV2St1,15,2014
46,22,0,2,1,4,0,0,7,756,SpatialV2St1,15,2014
47,33,0,0,1,2,0,4,7,756,SpatialV2St1,15,2014
48,Total,1,243,13,137,2,4,400,756,SpatialV2St1,15,2014
49,3,0,4,0,0,0,0,4,7422,SpatialV2St1,15,2014
50,4,2,107,2,14,0,0,125,7422,SpatialV2St1,15,2014
51,12,0,2,0,5,0,0,7,7422,SpatialV2St1,15,2014
52,21,0,23,2,17,2,0,44,7422,SpatialV2St1,15,2014
53,22,0,0,0,0,0,0,0,7422,SpatialV2St1,15,2014
54,33,0,0,0,1,0,0,1,7422,SpatialV2St1,15,2014
55,Total,2,136,4,37,2,0,181,7422,SpatialV2St1,15,2014
56,3,0,5,0,1,0,0,6,756,SpatialV2St1,15,1995
57,4,2,172,13,50,1,1,239,756,SpatialV2St1,15,1995
58,12,0,5,2,1,0,0,8,756,SpatialV2St1,15,1995
59,21,0,50,2,81,0,0,133,756,SpatialV2St1,15,1995
60,22,0,3,0,4,0,0,7,756,SpatialV2St1,15,1995
61,33,0,1,1,1,0,4,7,756,SpatialV2St1,15,1995
62,Total,2,236,18,138,1,5,400,756,SpatialV2St1,15,1995
63,3,69,225,1,17,2,1,315,Caatinga,SpatialV2St1,15,2007
