,classes,3,4,12,21,22,33,Total,bacia,model,version,year
0,3,0,2,0,0,0,0,2,7615,TemporalV3J4,18,2010
1,4,0,134,0,40,0,0,174,7615,TemporalV3J4,18,2010
2,12,0,1,0,19,1,0,21,7615,TemporalV3J4,18,2010
3,21,0,19,0,58,0,0,77,7615,TemporalV3J4,18,2010
4,22,0,1,0,3,0,0,4,7615,TemporalV3J4,18,2010
5,33,0,0,0,0,0,2,2,7615,TemporalV3J4,18,2010
6,Total,0,157,0,120,1,2,280,7615,TemporalV3J4,18,2010
7,3,0,1,0,0,0,0,1,7421,TemporalV3J4,18,2005
8,4,0,56,0,5,0,0,61,7421,TemporalV3J4,18,2005
9,12,0,0,0,2,0,0,2,7421,TemporalV3J4,18,2005
10,21,0,8,0,8,0,0,16,7421,TemporalV3J4,18,2005
11,22,0,0,0,0,0,0,0,7421,TemporalV3J4,18,2005
12,33,0,0,0,0,0,0,0,7421,TemporalV3J4,18,2005
13,Total,0,65,0,15,0,0,80,7421,TemporalV3J4,18,2005
14,3,77,223,4,21,0,0,325,Caatinga,TemporalV3J4,18,1994
15,4,154,4295,35,805,1,2,5292,Caatinga,TemporalV3J4,18,1994
16,12,1,84,21,104,2,6,218,Caatinga,TemporalV3J4,18,1994
17,21,36,708,26,2055,3,2,2830,Caatinga,TemporalV3J4,18,1994
18,22,7,21,10,54,10,2,104,Caatinga,TemporalV3J4,18,1994
19,33,4,15,5,8,0,83,115,Caatinga,TemporalV3J4,18,1994
20,Total,279,5346,101,3047,16,95,8884,Caatinga,TemporalV3J4,18,1994
21,3,4,6,0,1,0,0,11,776,TemporalV3J4,18,2014
22,4,2,124,3,38,0,0,167,776,TemporalV3J4,18,2014
23,12,0,0,6,3,0,0,9,776,TemporalV3J4,18,2014
24,21,0,17,3,142,1,0,163,776,TemporalV3J4,18,2014
25,22,0,0,2,0,0,0,2,776,TemporalV3J4,18,2014
26,33,0,0,0,0,0,1,1,776,TemporalV3J4,18,2014
27,Total,6,147,14,184,1,1,353,776,TemporalV3J4,18,2014
28,3,1,2,0,1,0,0,4,757,TemporalV3J4,18,2014
29,4,3,97,0,41,0,0,141,757,TemporalV3J4,18,2014
30,12,0,0,0,2,0,0,2,757,TemporalV3J4,18,2014
31,21,0,21,0,112,0,0,133,757,TemporalV3J4,18,2014
32,22,0,1,0,2,0,0,3,757,TemporalV3J4,18,2014
33,33,0,1,0,4,0,2,7,757,TemporalV3J4,18,2014
34,Total,4,122,0,162,0,2,290,757,TemporalV3J4,18,2014
35,3,4,4,0,1,0,0,9,745,TemporalV3J4,18,1987
36,4,19,29,0,4,0,0,52,745,TemporalV3J4,18,1987
37,12,0,0,0,0,1,0,1,745,TemporalV3J4,18,1987
38,21,0,1,0,7,1,0,9,745,TemporalV3J4,18,1987
39,22,0,0,0,0,0,0,0,745,TemporalV3J4,18,1987
40,33,0,0,0,0,0,0,0,745,TemporalV3J4,18,1987
41,Total,23,34,0,12,2,0,71,745,TemporalV3J4,18,1987
42,3,1,1,0,2,0,0,4,757,TemporalV3J4,18,1992
43,4,4,103,0,44,0,0,151,757,TemporalV3J4,18,1992
44,12,0,0,0,2,0,0,2,757,TemporalV3J4,18,1992
45,21,1,16,0,108,0,0,125,757,TemporalV3J4,18,1992
46,22,0,0,0,2,0,0,2,757,TemporalV3J4,18,1992
47,33,1,0,1,2,0,2,6,757,TemporalV3J4,18,1992
48,Total,7,120,1,160,0,2,290,757,TemporalV3J4,18,1992
49,3,1,10,0,0,0,0,11,744,TemporalV3J4,18,2021
50,4,4,496,1,36,0,1,538,744,TemporalV3J4,18,2021
51,12,0,8,4,7,0,0,19,744,TemporalV3J4,18,2021
52,21,0,47,0,99,4,0,150,744,TemporalV3J4,18,2021
53,22,0,0,0,2,0,0,2,744,TemporalV3J4,18,2021
54,33,0,2,0,0,0,0,2,744,TemporalV3J4,18,2021
55,Total,5,563,5,144,4,1,722,744,TemporalV3J4,18,2021
56,3,0,18,0,2,0,0,20,7621,TemporalV3J4,18,1985
57,4,0,25,0,3,0,0,28,7621,TemporalV3J4,18,1985
58,12,0,1,0,0,0,0,1,7621,TemporalV3J4,18,1985
59,21,0,5,0,10,0,0,15,7621,TemporalV3J4,18,1985
60,22,0,0,0,0,0,0,0,7621,TemporalV3J4,18,1985
61,33,0,0,0,0,0,0,0,7621,TemporalV3J4,18,1985
62,Total,0,49,0,15,0,0,64,7621,TemporalV3J4,18,1985
63,3,81,207,1,17,0,0,306,Caatinga,TemporalV3J4,18,2017
64,4,171,4216,43,621,1,0,5052,Caatinga,TemporalV3J4,18,2017
65,12,1,72,22,117,3,1,216,Caatinga,TemporalV3J4,18,2017
66,21,29,751,27,2261,9,0,3077,Caatinga,TemporalV3J4,18,2017
67,22,5,31,15,45,17,1,114,Caatinga,TemporalV3J4,18,2017
68,33,6,23,5,19,2,64,119,Caatinga,TemporalV3J4,18,2017
69,Total,293,5300,113,3080,32,66,8884,Caatinga,TemporalV3J4,18,2017
70,3,0,4,0,0,0,0,4,755,TemporalV3J4,18,1991
71,4,0,138,0,20,0,0,158,755,TemporalV3J4,18,1991
72,12,0,1,0,4,0,1,6,755,TemporalV3J4,18,1991
73,21,0,36,0,50,0,0,86,755,TemporalV3J4,18,1991
74,22,0,2,0,4,3,0,9,755,TemporalV3J4,18,1991
75,33,0,1,0,0,0,2,3,755,TemporalV3J4,18,1991
76,Total,0,182,0,78,3,3,266,755,TemporalV3J4,18,1991
77,3,1,1,0,0,0,0,2,741,TemporalV3J4,18,2019
78,4,0,77,0,1,0,0,78,741,TemporalV3J4,18,2019
79,12,0,1,0,3,0,0,4,741,TemporalV3J4,18,2019
80,21,0,14,0,7,0,0,21,741,TemporalV3J4,18,2019
81,22,0,0,0,0,0,0,0,741,TemporalV3J4,18,2019
82,33,0,0,0,0,0,2,2,741,TemporalV3J4,18,2019
83,Total,1,93,0,11,0,2,107,741,TemporalV3J4,18,2019
84,3,0,5,1,1,0,0,7,7619,TemporalV3J4,18,1989
85,4,0,249,6,15,0,0,270,7619,TemporalV3J4,18,1989
86,12,0,6,3,1,2,0,12,7619,TemporalV3J4,18,1989
87,21,0,8,0,48,0,1,57,7619,TemporalV3J4,18,1989
88,22,0,1,0,0,0,0,1,7619,TemporalV3J4,18,1989
89,33,0,1,0,0,0,1,2,7619,TemporalV3J4,18,1989
90,Total,0,270,10,65,2,2,349,7619,TemporalV3J4,18,1989
91,3,0,0,0,0,0,0,0,7614,TemporalV3J4,18,2001
92,4,5,66,0,4,0,0,75,7614,TemporalV3J4,18,2001
93,12,0,0,0,0,0,0,0,7614,TemporalV3J4,18,2001
94,21,0,23,0,34,0,0,57,7614,TemporalV3J4,18,2001
95,22,0,0,0,0,0,0,0,7614,TemporalV3J4,18,2001
96,33,0,0,0,0,0,0,0,7614,TemporalV3J4,18,2001
97,Total,5,89,0,38,0,0,132,7614,TemporalV3J4,18,2001
98,3,0,0,0,0,0,0,0,7614,TemporalV3J4,18,2014
99,4,3,66,0,3,0,0,72,7614,TemporalV3J4,18,2014
100,12,0,0,0,0,0,0,0,7614,TemporalV3J4,18,2014
101,21,1,25,0,34,0,0,60,7614,TemporalV3J4,18,2014
