,classes,3,4,12,15,18,22,27,33,Total,bacia,model,version,year
92,12,0,1,0,0,0,0,0,0,1,7621,Spatial,5,2018
93,15,0,0,0,0,0,0,0,0,0,7621,Spatial,5,2018
94,18,0,0,0,0,0,0,0,0,0,7621,Spatial,5,2018
95,22,0,0,0,0,0,0,0,0,0,7621,Spatial,5,2018
96,27,0,0,0,0,0,0,0,0,0,7621,Spatial,5,2018
97,33,0,0,0,0,0,0,0,0,0,7621,Spatial,5,2018
98,Total,0,32,0,0,0,0,0,0,32,7621,Spatial,5,2018
99,3,10,9,0,0,0,0,0,0,19,754,Spatial,10,1989
100,4,65,385,0,0,0,8,0,2,460,754,Spatial,10,1989
101,12,1,4,0,0,0,1,0,0,6,754,Spatial,10,1989
102,15,0,0,0,0,0,0,0,0,0,754,Spatial,10,1989
103,18,0,0,0,0,0,0,0,0,0,754,Spatial,10,1989
104,22,0,1,0,0,0,3,0,0,4,754,Spatial,10,1989
105,27,0,2,0,0,0,0,0,0,2,754,Spatial,10,1989
106,33,0,2,0,0,0,1,0,15,18,754,Spatial,10,1989
107,Total,76,403,0,0,0,13,0,17,509,754,Spatial,10,1989
108,3,0,4,0,0,0,0,0,0,4,755,Spatial,5,1999
109,4,10,133,2,0,0,17,0,0,162,755,Spatial,5,1999
110,12,0,1,1,0,0,4,0,0,6,755,Spatial,5,1999
111,15,0,0,0,0,0,0,0,0,0,755,Spatial,5,1999
112,18,0,0,0,0,0,0,0,0,0,755,Spatial,5,1999
113,22,0,2,0,0,0,8,0,0,10,755,Spatial,5,1999
114,27,0,0,0,0,0,0,0,0,0,755,Spatial,5,1999
115,33,1,0,0,0,0,1,0,2,4,755,Spatial,5,1999
116,Total,11,140,3,0,0,30,0,2,186,755,Spatial,5,1999
117,3,0,3,0,0,0,0,0,0,3,76116,Spatial,5,1994
118,4,0,107,9,0,0,3,0,0,119,76116,Spatial,5,1994
119,12,0,0,2,0,0,1,0,0,3,76116,Spatial,5,1994
120,15,0,0,0,0,0,0,0,0,0,76116,Spatial,5,1994
121,18,0,0,0,0,0,0,0,0,0,76116,Spatial,5,1994
122,22,0,0,0,0,0,0,0,0,0,76116,Spatial,5,1994
123,27,0,1,0,0,0,0,0,0,1,76116,Spatial,5,1994
124,33,0,0,0,0,0,0,0,9,9,76116,Spatial,5,1994
125,Total,0,111,11,0,0,4,0,9,135,76116,Spatial,5,1994
126,3,7,3,0,0,0,0,0,0,10,772,Spatial,9,2008
127,4,14,89,5,0,0,4,0,0,112,772,Spatial,9,2008
128,12,0,1,0,0,0,0,0,0,1,772,Spatial,9,2008
129,15,0,0,0,0,0,0,0,0,0,772,Spatial,9,2008
130,18,0,0,0,0,0,0,0,0,0,772,Spatial,9,2008
131,22,0,0,0,0,0,1,0,0,1,772,Spatial,9,2008
132,27,0,0,0,0,0,0,0,0,0,772,Spatial,9,2008
133,33,0,1,0,0,0,0,0,0,1,772,Spatial,9,2008
134,Total,21,94,5,0,0,5,0,0,125,772,Spatial,9,2008
135,3,0,2,0,0,0,0,0,0,2,7612,Spatial,10,2011
136,4,0,92,1,0,0,2,0,0,95,7612,Spatial,10,2011
137,12,0,2,1,0,0,2,0,0,5,7612,Spatial,10,2011
138,15,0,0,0,0,0,0,0,0,0,7612,Spatial,10,2011
139,18,0,0,0,0,0,0,0,0,0,7612,Spatial,10,2011
140,22,0,1,0,0,0,2,0,0,3,7612,Spatial,10,2011
141,27,0,0,0,0,0,0,0,0,0,7612,Spatial,10,2011
142,33,0,0,0,0,0,0,0,3,3,7612,Spatial,10,2011
143,Total,0,97,2,0,0,6,0,3,108,7612,Spatial,10,2011
144,3,15,2,0,0,0,1,0,0,18,751,Spatial,10,2014
145,4,58,74,0,0,0,3,0,0,135,751,Spatial,10,2014
146,12,0,2,1,0,0,1,0,0,4,751,Spatial,10,2014
147,15,0,0,0,0,0,0,0,0,0,751,Spatial,10,2014
148,18,0,0,0,0,0,0,0,0,0,751,Spatial,10,2014
149,22,0,3,0,0,0,5,0,0,8,751,Spatial,10,2014
150,27,0,0,0,0,0,0,0,0,0,751,Spatial,10,2014
151,33,0,0,1,0,0,2,0,0,3,751,Spatial,10,2014
152,Total,73,81,2,0,0,12,0,0,168,751,Spatial,10,2014
153,3,3,7,0,0,0,0,0,0,10,766,Spatial,9,2020
154,4,1,84,0,0,0,2,0,0,87,766,Spatial,9,2020
155,12,0,4,0,0,0,0,0,0,4,766,Spatial,9,2020
156,15,0,0,0,0,0,0,0,0,0,766,Spatial,9,2020
157,18,0,0,0,0,0,0,0,0,0,766,Spatial,9,2020
158,22,0,1,0,0,0,2,0,0,3,766,Spatial,9,2020
159,27,0,0,0,0,0,0,0,0,0,766,Spatial,9,2020
160,33,0,1,0,0,0,0,0,2,3,766,Spatial,9,2020
161,Total,4,97,0,0,0,4,0,2,107,766,Spatial,9,2020
162,3,0,17,0,0,0,3,0,0,20,751,Spatial,9,2009
163,4,0,132,0,0,0,1,0,0,133,751,Spatial,9,2009
164,12,0,3,0,0,0,2,0,0,5,751,Spatial,9,2009
165,15,0,0,0,0,0,0,0,0,0,751,Spatial,9,2009
166,18,0,0,0,0,0,0,0,0,0,751,Spatial,9,2009
167,22,0,5,1,0,0,5,0,0,11,751,Spatial,9,2009
168,27,0,0,0,0,0,0,0,0,0,751,Spatial,9,2009
169,33,0,1,1,0,0,1,0,0,3,751,Spatial,9,2009
170,Total,0,158,2,0,0,12,0,0,172,751,Spatial,9,2009
171,3,0,8,0,0,0,0,0,0,8,767,Spatial,9,1998
172,4,0,43,0,0,0,0,0,0,43,767,Spatial,9,1998
173,12,0,0,0,0,0,0,0,0,0,767,Spatial,9,1998
174,15,0,0,0,0,0,0,0,0,0,767,Spatial,9,1998
175,18,0,0,0,0,0,0,0,0,0,767,Spatial,9,1998
176,22,0,0,0,0,0,1,0,0,1,767,Spatial,9,1998
177,27,0,0,0,0,0,0,0,0,0,767,Spatial,9,1998
178,33,0,0,0,0,0,0,0,0,0,767,Spatial,9,1998
179,Total,0,51,0,0,0,1,0,0,52,767,Spatial,9,1998
180,3,0,0,0,0,0,0,0,0,0,7613,Spatial,10,2005
181,4,0,96,29,0,0,10,0,0,135,7613,Spatial,10,2005
182,12,0,0,1,0,0,11,0,0,12,7613,Spatial,10,2005
183,15,0,0,0,0,0,0,0,0,0,7613,Spatial,10,2005
184,18,0,0,0,0,0,0,0,0,0,7613,Spatial,10,2005
185,22,0,0,0,0,0,0,0,0,0,7613,Spatial,10,2005
186,27,0,0,0,0,0,0,0,0,0,7613,Spatial,10,2005
187,33,0,0,0,0,0,0,0,1,1,7613,Spatial,10,2005
