,classes,3,4,12,21,22,33,Total,bacia,model,version,year
8743,3,128,210,2,23,1,3,367,Caatinga,FrequencyV3,30,1998
8744,4,200,4390,27,843,10,3,5473,Caatinga,FrequencyV3,30,1998
8745,12,2,92,19,104,2,4,223,Caatinga,FrequencyV3,30,1998
8746,21,49,860,41,2045,21,7,3023,Caatinga,FrequencyV3,30,1998
8747,22,6,37,11,41,7,2,104,Caatinga,FrequencyV3,30,1998
8748,33,3,21,3,12,1,85,125,Caatinga,FrequencyV3,30,1998
8749,Total,388,5610,103,3068,42,104,9315,Caatinga,FrequencyV3,30,1998
8750,3,2,9,0,0,0,0,11,754,FrequencyV3,30,1991
8751,4,1,337,0,162,0,0,500,754,FrequencyV3,30,1991
8752,12,0,4,0,9,0,0,13,754,FrequencyV3,30,1991
8753,21,1,36,4,138,0,1,180,754,FrequencyV3,30,1991
8754,22,0,0,1,4,0,0,5,754,FrequencyV3,30,1991
8755,33,0,4,3,1,0,7,15,754,FrequencyV3,30,1991
8756,Total,4,390,8,314,0,8,724,754,FrequencyV3,30,1991
8757,3,0,0,0,0,0,0,0,7617,FrequencyV3,30,2010
8758,4,0,123,0,25,0,0,148,7617,FrequencyV3,30,2010
8759,12,0,1,0,4,0,0,5,7617,FrequencyV3,30,2010
8760,21,0,7,0,24,0,0,31,7617,FrequencyV3,30,2010
8761,22,0,0,0,0,0,1,1,7617,FrequencyV3,30,2010
8762,33,0,0,0,1,0,34,35,7617,FrequencyV3,30,2010
8763,Total,0,131,0,54,0,35,220,7617,FrequencyV3,30,2010
8764,3,16,12,0,0,2,0,30,753,FrequencyV3,30,1996
8765,4,39,241,3,36,3,0,322,753,FrequencyV3,30,1996
8766,12,0,6,0,3,1,1,11,753,FrequencyV3,30,1996
8767,21,25,60,2,22,3,1,113,753,FrequencyV3,30,1996
8768,22,6,3,4,2,3,1,19,753,FrequencyV3,30,1996
8769,33,1,5,0,2,0,8,16,753,FrequencyV3,30,1996
8770,Total,87,327,9,65,12,11,511,753,FrequencyV3,30,1996
8771,3,18,18,0,2,0,0,38,746,FrequencyV3,30,1988
8772,4,12,135,0,12,0,0,159,746,FrequencyV3,30,1988
8773,12,0,3,0,1,0,1,5,746,FrequencyV3,30,1988
8774,21,0,5,0,11,0,0,16,746,FrequencyV3,30,1988
8775,22,0,1,0,2,0,0,3,746,FrequencyV3,30,1988
8776,33,0,0,0,0,0,1,1,746,FrequencyV3,30,1988
8777,Total,30,162,0,28,0,2,222,746,FrequencyV3,30,1988
8778,3,0,0,0,0,0,0,0,7614,FrequencyV3,30,1989
8779,4,0,70,0,18,0,0,88,7614,FrequencyV3,30,1989
8780,12,0,0,0,0,0,0,0,7614,FrequencyV3,30,1989
8781,21,0,13,0,31,0,0,44,7614,FrequencyV3,30,1989
8782,22,0,0,0,0,0,0,0,7614,FrequencyV3,30,1989
8783,33,0,0,0,0,0,0,0,7614,FrequencyV3,30,1989
8784,Total,0,83,0,49,0,0,132,7614,FrequencyV3,30,1989
8785,3,0,0,0,0,0,0,0,7614,FrequencyV3,30,2013
8786,4,0,66,0,6,0,0,72,7614,FrequencyV3,30,2013
8787,12,0,0,0,0,0,0,0,7614,FrequencyV3,30,2013
8788,21,0,29,1,30,0,0,60,7614,FrequencyV3,30,2013
8789,22,0,0,0,0,0,0,0,7614,FrequencyV3,30,2013
8790,33,0,0,0,0,0,0,0,7614,FrequencyV3,30,2013
8791,Total,0,95,1,36,0,0,132,7614,FrequencyV3,30,2013
8792,3,3,22,0,0,0,0,25,7622,FrequencyV3,30,2003
8793,4,2,95,0,5,0,0,102,7622,FrequencyV3,30,2003
8794,12,0,2,0,0,0,0,2,7622,FrequencyV3,30,2003
8795,21,1,10,0,10,0,0,21,7622,FrequencyV3,30,2003
8796,22,0,0,0,0,0,0,0,7622,FrequencyV3,30,2003
8797,33,0,0,0,0,0,0,0,7622,FrequencyV3,30,2003
8798,Total,6,129,0,15,0,0,150,7622,FrequencyV3,30,2003
8799,3,0,4,0,0,0,0,4,7422,FrequencyV3,30,2001
8800,4,1,125,0,8,0,0,134,7422,FrequencyV3,30,2001
8801,12,0,3,1,3,0,0,7,7422,FrequencyV3,30,2001
8802,21,0,25,0,17,1,0,43,7422,FrequencyV3,30,2001
8803,22,0,0,0,0,0,0,0,7422,FrequencyV3,30,2001
8804,33,0,0,0,0,0,1,1,7422,FrequencyV3,30,2001
8805,Total,1,157,1,28,1,1,189,7422,FrequencyV3,30,2001
8806,3,0,4,0,0,0,0,4,756,FrequencyV3,30,2009
8807,4,0,167,2,81,0,0,250,756,FrequencyV3,30,2009
8808,12,0,1,0,4,0,1,6,756,FrequencyV3,30,2009
8809,21,0,31,3,86,0,0,120,756,FrequencyV3,30,2009
8810,22,0,1,0,7,0,0,8,756,FrequencyV3,30,2009
8811,33,0,2,0,1,0,9,12,756,FrequencyV3,30,2009
8812,Total,0,206,5,179,0,10,400,756,FrequencyV3,30,2009
8813,3,0,4,0,0,0,0,4,7422,FrequencyV3,30,2003
8814,4,2,121,0,10,0,0,133,7422,FrequencyV3,30,2003
8815,12,0,2,0,5,0,0,7,7422,FrequencyV3,30,2003
8816,21,0,26,1,17,0,0,44,7422,FrequencyV3,30,2003
8817,22,0,0,0,0,0,0,0,7422,FrequencyV3,30,2003
8818,33,0,0,0,0,0,1,1,7422,FrequencyV3,30,2003
8819,Total,2,153,1,32,0,1,189,7422,FrequencyV3,30,2003
8820,3,0,0,0,0,0,0,0,7613,FrequencyV3,30,2016
8821,4,1,103,0,45,1,0,150,7613,FrequencyV3,30,2016
8822,12,0,0,0,15,2,0,17,7613,FrequencyV3,30,2016
8823,21,0,12,1,10,0,0,23,7613,FrequencyV3,30,2016
8824,22,0,0,0,1,0,0,1,7613,FrequencyV3,30,2016
8825,33,0,0,0,0,0,1,1,7613,FrequencyV3,30,2016
8826,Total,1,115,1,71,3,1,192,7613,FrequencyV3,30,2016
