,classes,3,4,12,21,22,33,Total,bacia,model,version,year
0,3,0,0,0,0,0,0,0,7614,toExport,30,1997
1,4,2,73,0,2,0,0,77,7614,toExport,30,1997
2,12,0,0,0,0,0,0,0,7614,toExport,30,1997
3,21,0,26,0,28,1,0,55,7614,toExport,30,1997
4,22,0,0,0,0,0,0,0,7614,toExport,30,1997
5,33,0,0,0,0,0,0,0,7614,toExport,30,1997
6,Total,2,99,0,30,1,0,132,7614,toExport,30,1997
7,3,0,1,0,0,0,0,1,7421,toExport,30,1987
8,4,0,75,0,3,0,0,78,7421,toExport,30,1987
9,12,0,2,0,0,0,0,2,7421,toExport,30,1987
10,21,0,4,0,4,0,0,8,7421,toExport,30,1987
11,22,0,0,0,0,0,0,0,7421,toExport,30,1987
12,33,0,0,0,0,0,0,0,7421,toExport,30,1987
13,Total,0,82,0,7,0,0,89,7421,toExport,30,1987
14,3,0,0,0,0,0,0,0,758,toExport,30,2020
15,4,0,60,1,19,0,0,80,758,toExport,30,2020
16,12,0,0,0,2,0,0,2,758,toExport,30,2020
17,21,0,12,1,66,0,0,79,758,toExport,30,2020
18,22,0,0,0,0,1,0,1,758,toExport,30,2020
19,33,0,1,0,2,0,1,4,758,toExport,30,2020
20,Total,0,73,2,89,1,1,166,758,toExport,30,2020
21,3,0,1,0,0,0,0,1,7421,toExport,30,2007
22,4,0,68,0,3,0,0,71,7421,toExport,30,2007
23,12,0,1,0,1,0,0,2,7421,toExport,30,2007
24,21,0,9,0,6,0,0,15,7421,toExport,30,2007
25,22,0,0,0,0,0,0,0,7421,toExport,30,2007
26,33,0,0,0,0,0,0,0,7421,toExport,30,2007
27,Total,0,79,0,10,0,0,89,7421,toExport,30,2007
28,3,0,0,0,0,0,0,0,7492,toExport,30,2012
29,4,0,2,0,1,0,0,3,7492,toExport,30,2012
30,12,0,0,0,0,0,0,0,7492,toExport,30,2012
31,21,0,0,0,0,0,0,0,7492,toExport,30,2012
32,22,0,0,0,0,0,0,0,7492,toExport,30,2012
33,33,0,0,0,0,0,0,0,7492,toExport,30,2012
34,Total,0,2,0,1,0,0,3,7492,toExport,30,2012
35,3,2,7,0,0,0,0,9,754,toExport,30,2009
36,4,6,363,0,95,0,1,465,754,toExport,30,2009
37,12,0,3,0,11,0,0,14,754,toExport,30,2009
38,21,1,64,0,143,1,2,211,754,toExport,30,2009
39,22,0,1,0,2,2,0,5,754,toExport,30,2009
40,33,0,4,0,2,0,14,20,754,toExport,30,2009
41,Total,9,442,0,253,3,17,724,754,toExport,30,2009
42,3,0,7,0,0,0,0,7,7619,toExport,30,1986
43,4,4,254,2,14,2,0,276,7619,toExport,30,1986
44,12,0,7,0,1,1,3,12,7619,toExport,30,1986
45,21,0,17,0,32,1,1,51,7619,toExport,30,1986
46,22,0,1,0,0,0,0,1,7619,toExport,30,1986
47,33,0,0,0,0,0,2,2,7619,toExport,30,1986
48,Total,4,286,2,47,4,6,349,7619,toExport,30,1986
49,3,0,4,0,0,0,0,4,7422,toExport,30,2012
50,4,2,119,0,13,0,0,134,7422,toExport,30,2012
51,12,0,2,0,5,0,0,7,7422,toExport,30,2012
52,21,0,21,0,22,1,0,44,7422,toExport,30,2012
53,22,0,0,0,0,0,0,0,7422,toExport,30,2012
54,33,0,0,0,0,0,0,0,7422,toExport,30,2012
55,Total,2,146,0,40,1,0,189,7422,toExport,30,2012
56,3,0,0,0,0,0,0,0,7613,toExport,30,1996
57,4,1,125,1,26,0,0,153,7613,toExport,30,1996
58,12,0,3,0,14,0,0,17,7613,toExport,30,1996
59,21,0,15,0,4,1,0,20,7613,toExport,30,1996
60,22,0,0,0,1,0,0,1,7613,toExport,30,1996
61,33,0,0,0,0,0,1,1,7613,toExport,30,1996
62,Total,1,143,1,45,1,1,192,7613,toExport,30,1996
63,3,0,2,0,0,0,0,2,752,toExport,30,1989
64,4,0,120,0,8,0,0,128,752,toExport,30,1989
65,12,0,2,0,2,0,0,4,752,toExport,30,1989
66,21,0,19,0,5,0,0,24,752,toExport,30,1989
67,22,0,1,0,3,0,0,4,752,toExport,30,1989
68,33,0,0,0,0,1,2,3,752,toExport,30,1989
69,Total,0,144,0,18,1,2,165,752,toExport,30,1989
70,3,7,12,0,0,0,0,19,763,toExport,30,1996
71,4,9,193,0,34,0,0,236,763,toExport,30,1996
72,12,0,7,2,6,0,0,15,763,toExport,30,1996
73,21,0,26,0,119,3,0,148,763,toExport,30,1996
74,22,0,2,1,1,1,0,5,763,toExport,30,1996
75,33,1,0,0,0,0,1,2,763,toExport,30,1996
76,Total,17,240,3,160,4,1,425,763,toExport,30,1996
77,3,1,2,0,0,0,0,3,755,toExport,30,2014
78,4,5,129,0,24,0,0,158,755,toExport,30,2014
79,12,0,0,0,4,1,0,5,755,toExport,30,2014
80,21,0,18,0,63,4,0,85,755,toExport,30,2014
81,22,0,0,0,8,3,0,11,755,toExport,30,2014
82,33,1,2,0,0,0,1,4,755,toExport,30,2014
83,Total,7,151,0,99,8,1,266,755,toExport,30,2014
84,3,20,7,0,0,0,0,27,7741,toExport,30,1992
85,4,11,88,4,11,0,0,114,7741,toExport,30,1992
86,12,2,4,1,2,0,0,9,7741,toExport,30,1992
87,21,1,42,0,51,0,0,94,7741,toExport,30,1992
88,22,0,0,1,0,0,0,1,7741,toExport,30,1992
89,33,0,0,0,0,0,0,0,7741,toExport,30,1992
90,Total,34,141,6,64,0,0,245,7741,toExport,30,1992
91,3,3,10,0,1,0,0,14,766,toExport,30,1992
92,4,4,106,1,14,0,0,125,766,toExport,30,1992
93,12,0,4,1,2,0,0,7,766,toExport,30,1992
94,21,1,22,0,121,0,0,144,766,toExport,30,1992
95,22,0,1,0,0,1,0,2,766,toExport,30,1992
96,33,0,0,0,1,0,2,3,766,toExport,30,1992
97,Total,8,143,2,139,1,2,295,766,toExport,30,1992
98,3,3,9,0,2,0,0,14,766,toExport,30,1986
99,4,4,118,1,15,0,0,138,766,toExport,30,1986
100,12,0,4,1,1,0,0,6,766,toExport,30,1986
101,21,1,21,0,108,1,0,131,766,toExport,30,1986
102,22,0,1,0,0,1,0,2,766,toExport,30,1986
103,33,0,1,0,1,0,2,4,766,toExport,30,1986
104,Total,8,154,2,127,2,2,295,766,toExport,30,1986
105,3,0,0,0,0,0,0,0,7614,toExport,30,2018
106,4,2,65,0,2,0,0,69,7614,toExport,30,2018
107,12,0,0,0,0,0,0,0,7614,toExport,30,2018
108,21,1,27,0,34,1,0,63,7614,toExport,30,2018
