,classes,3,4,12,21,22,27,33,Total,bacia,model,version,year,15,18
86,33,1,0,0,,0,,2,3,7612,RF,6,2000,0.0,0.0
87,Total,10,60,4,,3,,2,106,7612,RF,6,2000,27.0,0.0
88,3,1,0,1,0.0,0,0.0,0,2,76116,RF,12,1985,,
89,4,12,24,87,40.0,0,0.0,0,163,76116,RF,12,1985,,
90,12,0,0,6,2.0,0,0.0,0,8,76116,RF,12,1985,,
91,21,0,0,31,29.0,0,0.0,0,60,76116,RF,12,1985,,
92,22,0,0,0,0.0,0,0.0,0,0,76116,RF,12,1985,,
93,27,1,1,3,5.0,0,0.0,0,10,76116,RF,12,1985,,
94,33,0,0,0,0.0,0,0.0,2,2,76116,RF,12,1985,,
95,Total,14,25,128,76.0,0,0.0,2,245,76116,RF,12,1985,,
96,3,0,24,0,2.0,0,0.0,0,26,776,RF,10,1986,,
97,4,0,176,23,39.0,37,0.0,0,275,776,RF,10,1986,,
98,12,0,2,5,0.0,3,0.0,0,10,776,RF,10,1986,,
99,21,0,23,13,66.0,48,0.0,0,150,776,RF,10,1986,,
100,22,0,0,0,0.0,0,0.0,0,0,776,RF,10,1986,,
101,27,0,11,2,9.0,1,0.0,0,23,776,RF,10,1986,,
102,33,0,0,0,0.0,0,0.0,1,1,776,RF,10,1986,,
103,Total,0,236,43,116.0,89,0.0,1,485,776,RF,10,1986,,
104,3,3,0,0,0.0,0,0.0,0,3,771,RF,12,2007,,
105,4,41,19,0,62.0,0,0.0,0,122,771,RF,12,2007,,
106,12,1,0,0,3.0,0,0.0,0,4,771,RF,12,2007,,
107,21,24,14,0,118.0,0,0.0,0,156,771,RF,12,2007,,
108,22,1,0,0,1.0,0,0.0,0,2,771,RF,12,2007,,
109,27,1,1,0,0.0,0,0.0,0,2,771,RF,12,2007,,
110,33,0,0,0,0.0,0,0.0,1,1,771,RF,12,2007,,
111,Total,71,34,0,184.0,0,0.0,1,290,771,RF,12,2007,,
112,3,1,1,0,0.0,0,0.0,0,2,76116,RF,5,2014,,
113,4,8,82,13,30.0,4,0.0,0,137,76116,RF,5,2014,,
114,12,0,0,1,1.0,2,0.0,0,4,76116,RF,5,2014,,
115,21,0,18,9,66.0,9,0.0,0,102,76116,RF,5,2014,,
116,22,0,0,0,0.0,0,0.0,0,0,76116,RF,5,2014,,
117,27,0,0,0,1.0,0,0.0,0,1,76116,RF,5,2014,,
118,33,0,0,0,0.0,0,0.0,9,9,76116,RF,5,2014,,
119,Total,9,101,23,98.0,15,0.0,9,255,76116,RF,5,2014,,
120,3,0,0,0,,0,,0,0,7616,RF,7,1993,0.0,0.0
121,4,0,32,21,,0,,0,60,7616,RF,7,1993,0.0,7.0
122,12,0,0,3,,0,,0,3,7616,RF,7,1993,0.0,0.0
123,15,0,2,3,,6,,0,13,7616,RF,7,1993,0.0,2.0
124,18,0,2,1,,0,,0,7,7616,RF,7,1993,0.0,4.0
125,22,0,0,0,,0,,0,0,7616,RF,7,1993,0.0,0.0
126,33,0,0,0,,0,,0,0,7616,RF,7,1993,0.0,0.0
127,Total,0,36,28,,6,,0,83,7616,RF,7,1993,0.0,13.0
128,3,0,9,0,0.0,0,0.0,0,9,767,RF,10,2017,,
129,4,0,30,0,8.0,0,0.0,0,38,767,RF,10,2017,,
130,12,0,0,0,0.0,0,0.0,0,0,767,RF,10,2017,,
131,21,0,11,0,40.0,2,0.0,0,53,767,RF,10,2017,,
132,22,0,0,0,0.0,0,0.0,0,0,767,RF,10,2017,,
133,27,0,0,0,0.0,0,0.0,0,0,767,RF,10,2017,,
134,33,0,0,0,0.0,0,0.0,0,0,767,RF,10,2017,,
135,Total,0,50,0,48.0,2,0.0,0,100,767,RF,10,2017,,
136,3,4,9,1,,0,,0,14,763,RF,6,1995,0.0,0.0
137,4,10,90,15,,0,,0,128,763,RF,6,1995,13.0,0.0
138,12,0,2,6,,0,,0,9,763,RF,6,1995,1.0,0.0
139,15,0,11,8,,6,,0,96,763,RF,6,1995,71.0,0.0
140,18,0,0,0,,0,,0,0,763,RF,6,1995,0.0,0.0
141,22,0,0,1,,1,,0,2,763,RF,6,1995,0.0,0.0
142,33,0,0,0,,0,,1,1,763,RF,6,1995,0.0,0.0
143,Total,14,112,31,,7,,1,250,763,RF,6,1995,85.0,0.0
144,3,0,1,0,0.0,0,0.0,0,1,7421,RF,11,1997,,
145,4,0,59,5,1.0,0,0.0,0,65,7421,RF,11,1997,,
146,12,0,0,1,1.0,0,0.0,0,2,7421,RF,11,1997,,
147,21,0,10,3,3.0,0,0.0,0,16,7421,RF,11,1997,,
148,22,0,0,0,0.0,0,0.0,0,0,7421,RF,11,1997,,
149,27,0,0,0,0.0,0,0.0,0,0,7421,RF,11,1997,,
150,33,0,0,0,0.0,0,0.0,0,0,7421,RF,11,1997,,
151,Total,0,70,9,5.0,0,0.0,0,84,7421,RF,11,1997,,
152,3,0,0,0,,0,,0,0,7618,RF,7,2012,0.0,0.0
153,4,0,39,16,,1,,0,58,7618,RF,7,2012,2.0,0.0
154,12,0,0,1,,0,,0,1,7618,RF,7,2012,0.0,0.0
155,15,0,3,1,,0,,0,25,7618,RF,7,2012,6.0,15.0
156,18,0,0,0,,0,,0,0,7618,RF,7,2012,0.0,0.0
157,22,0,0,0,,1,,0,1,7618,RF,7,2012,0.0,0.0
158,33,0,0,0,,0,,0,0,7618,RF,7,2012,0.0,0.0
159,Total,0,42,18,,2,,0,85,7618,RF,7,2012,8.0,15.0
160,3,7,0,0,1.0,0,0.0,0,8,745,RF,5,2001,,
161,4,28,19,2,1.0,2,0.0,0,52,745,RF,5,2001,,
162,12,0,0,0,0.0,1,0.0,0,1,745,RF,5,2001,,
163,21,0,6,1,2.0,1,0.0,0,10,745,RF,5,2001,,
164,22,0,0,0,0.0,0,0.0,0,0,745,RF,5,2001,,
165,27,0,0,0,0.0,0,0.0,0,0,745,RF,5,2001,,
166,33,0,0,0,0.0,0,0.0,0,0,745,RF,5,2001,,
167,Total,35,25,3,4.0,4,0.0,0,71,745,RF,5,2001,,
168,3,1,3,0,,0,,0,7,754,RF,7,1992,0.0,3.0
169,4,7,78,15,,9,,0,178,754,RF,7,1992,11.0,58.0
170,12,0,3,0,,1,,0,7,754,RF,7,1992,2.0,1.0
171,15,4,12,1,,11,,0,60,754,RF,7,1992,10.0,22.0
172,18,0,0,0,,1,,0,4,754,RF,7,1992,3.0,0.0
173,22,0,0,0,,2,,0,3,754,RF,7,1992,1.0,0.0
174,33,1,0,3,,1,,5,11,754,RF,7,1992,1.0,0.0
175,Total,13,96,19,,25,,5,270,754,RF,7,1992,28.0,84.0
176,3,0,0,0,,0,,0,0,756,RF,7,2012,0.0,0.0
177,4,0,3,1,,0,,0,8,756,RF,7,2012,1.0,3.0
178,12,0,0,0,,0,,0,0,756,RF,7,2012,0.0,0.0
179,15,0,0,0,,0,,0,0,756,RF,7,2012,0.0,0.0
180,18,0,0,0,,0,,0,0,756,RF,7,2012,0.0,0.0
181,22,0,0,0,,0,,0,0,756,RF,7,2012,0.0,0.0
182,33,0,0,0,,0,,1,1,756,RF,7,2012,0.0,0.0
183,Total,0,3,1,,0,,1,9,756,RF,7,2012,1.0,3.0
184,3,13,5,0,0.0,2,0.0,0,20,751,RF,10,2005,,
185,4,69,65,0,6.0,6,0.0,1,147,751,RF,10,2005,,
186,12,0,3,1,3.0,1,0.0,0,8,751,RF,10,2005,,
187,21,12,18,0,11.0,4,0.0,0,45,751,RF,10,2005,,
188,22,3,0,1,0.0,3,0.0,0,7,751,RF,10,2005,,
189,27,0,0,0,0.0,0,0.0,0,0,751,RF,10,2005,,
190,33,0,0,1,1.0,1,0.0,0,3,751,RF,10,2005,,
