,classes,3,4,12,21,22,33,Total,bacia,model,version,year
9989,3,2,0,0,2,0,0,4,775,Estavel,30,1991
9990,4,1,1,0,3,0,0,5,775,Estavel,30,1991
9991,12,0,0,0,0,0,0,0,775,Estavel,30,1991
9992,21,1,3,2,12,0,0,18,775,Estavel,30,1991
9993,22,0,0,0,0,0,0,0,775,Estavel,30,1991
9994,33,0,0,0,0,0,0,0,775,Estavel,30,1991
9995,Total,4,4,2,17,0,0,27,775,Estavel,30,1991
9996,3,1,1,0,0,0,0,2,76116,Estavel,30,2003
9997,4,3,86,16,32,1,0,138,76116,Estavel,30,2003
9998,12,0,1,0,4,0,0,5,76116,Estavel,30,2003
9999,21,0,15,12,50,1,0,78,76116,Estavel,30,2003
10000,22,0,0,0,0,0,0,0,76116,Estavel,30,2003
10001,33,0,0,0,0,0,9,9,76116,Estavel,30,2003
10002,Total,4,103,28,86,2,9,232,76116,Estavel,30,2003
10003,3,3,1,0,0,0,0,4,741,Estavel,30,2008
10004,4,18,77,0,1,0,0,96,741,Estavel,30,2008
10005,12,0,1,0,3,0,0,4,741,Estavel,30,2008
10006,21,4,16,1,9,0,0,30,741,Estavel,30,2008
10007,22,0,1,1,0,0,0,2,741,Estavel,30,2008
10008,33,0,0,0,0,0,2,2,741,Estavel,30,2008
10009,Total,25,96,2,13,0,2,138,741,Estavel,30,2008
10010,3,2,11,0,0,0,0,13,754,Estavel,30,1986
10011,4,3,400,20,124,0,1,548,754,Estavel,30,1986
10012,12,0,2,1,10,0,0,13,754,Estavel,30,1986
10013,21,1,40,6,79,0,2,128,754,Estavel,30,1986
10014,22,0,1,0,1,0,2,4,754,Estavel,30,1986
10015,33,0,2,2,2,0,12,18,754,Estavel,30,1986
10016,Total,6,456,29,216,0,17,724,754,Estavel,30,1986
10017,3,14,5,0,5,0,0,24,776,Estavel,30,1987
10018,4,16,132,12,58,0,1,219,776,Estavel,30,1987
10019,12,0,1,5,2,1,0,9,776,Estavel,30,1987
10020,21,2,12,6,100,6,0,126,776,Estavel,30,1987
10021,22,0,0,2,0,0,0,2,776,Estavel,30,1987
10022,33,0,0,0,0,0,1,1,776,Estavel,30,1987
10023,Total,32,150,25,165,7,2,381,776,Estavel,30,1987
10024,3,0,0,0,0,0,0,0,773,Estavel,30,1997
10025,4,2,1,0,3,0,0,6,773,Estavel,30,1997
10026,12,0,0,1,0,0,0,1,773,Estavel,30,1997
10027,21,1,5,1,32,0,0,39,773,Estavel,30,1997
10028,22,0,0,0,2,0,0,2,773,Estavel,30,1997
10029,33,0,0,0,0,0,0,0,773,Estavel,30,1997
10030,Total,3,6,2,37,0,0,48,773,Estavel,30,1997
10031,3,1,0,0,3,0,0,4,775,Estavel,30,2005
10032,4,1,3,0,1,0,0,5,775,Estavel,30,2005
10033,12,0,0,0,0,0,1,1,775,Estavel,30,2005
10034,21,1,2,0,14,0,0,17,775,Estavel,30,2005
10035,22,0,0,0,0,0,0,0,775,Estavel,30,2005
10036,33,0,0,0,0,0,0,0,775,Estavel,30,2005
10037,Total,3,5,0,18,0,1,27,775,Estavel,30,2005
10038,3,3,0,0,0,0,0,3,7612,Estavel,30,2019
10039,4,5,79,5,8,1,0,98,7612,Estavel,30,2019
10040,12,1,3,3,2,0,0,9,7612,Estavel,30,2019
10041,21,0,24,4,33,0,0,61,7612,Estavel,30,2019
10042,22,0,0,1,3,0,0,4,7612,Estavel,30,2019
10043,33,0,0,0,0,0,2,2,7612,Estavel,30,2019
10044,Total,9,106,13,46,1,2,177,7612,Estavel,30,2019
10045,3,0,5,1,1,0,0,7,7619,Estavel,30,1987
10046,4,7,229,14,19,1,0,270,7619,Estavel,30,1987
10047,12,0,2,2,7,1,0,12,7619,Estavel,30,1987
10048,21,0,9,4,42,1,1,57,7619,Estavel,30,1987
10049,22,0,1,0,0,0,0,1,7619,Estavel,30,1987
10050,33,0,0,0,0,0,2,2,7619,Estavel,30,1987
10051,Total,7,246,21,69,3,3,349,7619,Estavel,30,1987
10052,3,0,3,0,0,0,0,3,752,Estavel,30,2013
10053,4,0,87,12,21,1,0,121,752,Estavel,30,2013
10054,12,0,2,0,1,0,0,3,752,Estavel,30,2013
10055,21,0,15,4,12,0,0,31,752,Estavel,30,2013
10056,22,0,0,2,1,1,0,4,752,Estavel,30,2013
10057,33,0,1,0,0,0,2,3,752,Estavel,30,2013
10058,Total,0,108,18,35,2,2,165,752,Estavel,30,2013
10059,3,18,6,0,3,0,0,27,7741,Estavel,30,2001
10060,4,18,70,6,11,0,0,105,7741,Estavel,30,2001
10061,12,1,4,1,3,0,0,9,7741,Estavel,30,2001
10062,21,0,42,1,58,2,0,103,7741,Estavel,30,2001
10063,22,0,0,1,0,0,0,1,7741,Estavel,30,2001
10064,33,0,0,0,0,0,0,0,7741,Estavel,30,2001
10065,Total,37,122,9,75,2,0,245,7741,Estavel,30,2001
10066,3,12,4,0,3,0,0,19,751,Estavel,30,2017
10067,4,54,71,0,8,0,0,133,751,Estavel,30,2017
