,classes,3,4,12,15,18,22,33,Total,bacia,model,version,year
97,4,1,84,0,0,0,2,0,87,766,Spatial,9,2020
98,12,0,4,0,0,0,0,0,4,766,Spatial,9,2020
99,15,0,0,0,0,0,0,0,0,766,Spatial,9,2020
100,18,0,0,0,0,0,0,0,0,766,Spatial,9,2020
101,22,0,1,0,0,0,2,0,3,766,Spatial,9,2020
102,33,0,1,0,0,0,0,2,3,766,Spatial,9,2020
103,Total,4,97,0,0,0,4,2,107,766,Spatial,9,2020
104,3,0,15,0,0,0,3,0,18,751,Spatial,9,2009
105,4,0,124,0,0,0,1,0,125,751,Spatial,9,2009
106,12,0,3,0,0,0,2,0,5,751,Spatial,9,2009
107,15,0,0,0,0,0,0,0,0,751,Spatial,9,2009
108,18,0,0,0,0,0,0,0,0,751,Spatial,9,2009
109,22,0,5,1,0,0,5,0,11,751,Spatial,9,2009
110,33,0,1,1,0,0,1,0,3,751,Spatial,9,2009
111,Total,0,148,2,0,0,12,0,162,751,Spatial,9,2009
112,3,0,8,0,0,0,0,0,8,767,Spatial,9,1998
113,4,0,43,0,0,0,0,0,43,767,Spatial,9,1998
114,12,0,0,0,0,0,0,0,0,767,Spatial,9,1998
115,15,0,0,0,0,0,0,0,0,767,Spatial,9,1998
116,18,0,0,0,0,0,0,0,0,767,Spatial,9,1998
117,22,0,0,0,0,0,1,0,1,767,Spatial,9,1998
118,33,0,0,0,0,0,0,0,0,767,Spatial,9,1998
119,Total,0,51,0,0,0,1,0,52,767,Spatial,9,1998
120,3,2,16,0,0,0,0,0,18,763,Spatial,9,2000
121,4,8,166,4,0,0,0,0,178,763,Spatial,9,2000
122,12,0,5,5,0,0,0,0,10,763,Spatial,9,2000
123,15,0,0,0,0,0,0,0,0,763,Spatial,9,2000
124,18,0,0,0,0,0,0,0,0,763,Spatial,9,2000
125,22,0,1,1,0,0,2,0,4,763,Spatial,9,2000
126,33,0,0,0,0,0,1,2,3,763,Spatial,9,2000
127,Total,10,188,10,0,0,3,2,213,763,Spatial,9,2000
128,3,0,0,0,0,0,0,0,0,7613,Spatial,5,2006
129,4,5,86,29,0,0,3,0,123,7613,Spatial,5,2006
130,12,0,0,3,0,0,5,0,8,7613,Spatial,5,2006
131,15,0,0,0,0,0,0,0,0,7613,Spatial,5,2006
132,18,0,0,0,0,0,0,0,0,7613,Spatial,5,2006
133,22,0,0,0,0,0,0,0,0,7613,Spatial,5,2006
