,classes,3,4,12,15,18,22,33,Total,bacia,model,version,year,27
2468,15,0,0,0,3,0,1,0,4,775,GTB,7,1994,
2469,18,0,0,0,0,0,0,0,0,775,GTB,7,1994,
2470,22,0,0,0,0,0,0,0,0,775,GTB,7,1994,
2471,33,0,0,0,0,0,0,0,0,775,GTB,7,1994,
2472,Total,0,2,1,5,0,1,0,9,775,GTB,7,1994,
2473,3,37,6,0,3,0,0,0,48,7741,GTB,5,2005,2.0
2474,4,31,69,17,21,0,0,0,141,7741,GTB,5,2005,3.0
2475,12,3,2,3,1,0,0,0,10,7741,GTB,5,2005,1.0
2476,15,23,43,2,73,0,13,0,161,7741,GTB,5,2005,7.0
2477,18,1,0,0,1,0,0,0,2,7741,GTB,5,2005,0.0
2478,22,0,0,1,0,0,0,0,1,7741,GTB,5,2005,0.0
2479,27,1,0,0,0,0,0,0,1,7741,GTB,5,2005,0.0
2480,33,0,0,0,0,0,0,0,0,7741,GTB,5,2005,0.0
2481,Total,96,120,23,99,0,13,0,364,7741,GTB,5,2005,13.0
2482,3,3,0,0,0,0,1,3,8,772,GTB,5,1999,1.0
2483,4,14,96,2,23,0,6,9,153,772,GTB,5,1999,3.0
2484,12,1,0,0,0,0,0,0,1,772,GTB,5,1999,0.0
2485,15,5,45,9,131,0,36,7,240,772,GTB,5,1999,7.0
2486,18,1,0,0,2,0,3,0,6,772,GTB,5,1999,0.0
2487,22,0,0,0,0,0,2,0,2,772,GTB,5,1999,0.0
2488,27,0,1,0,1,0,0,0,2,772,GTB,5,1999,0.0
2489,33,0,0,0,0,0,0,1,1,772,GTB,5,1999,0.0
2490,Total,24,142,11,157,0,48,20,413,772,GTB,5,1999,11.0
2491,3,7,1,0,0,0,0,0,8,745,GTB,9,1992,0.0
2492,4,27,18,0,3,0,2,0,50,745,GTB,9,1992,0.0
2493,12,0,0,0,0,0,1,0,1,745,GTB,9,1992,0.0
2494,15,0,2,0,7,0,1,0,10,745,GTB,9,1992,0.0
2495,18,0,1,0,1,0,0,0,2,745,GTB,9,1992,0.0
2496,22,0,0,0,0,0,0,0,0,745,GTB,9,1992,0.0
2497,27,0,0,0,0,0,0,0,0,745,GTB,9,1992,0.0
2498,33,0,0,0,0,0,0,0,0,745,GTB,9,1992,0.0
2499,Total,34,22,0,11,0,4,0,71,745,GTB,9,1992,0.0
2500,3,1,0,0,1,0,0,0,2,775,GTB,9,2014,0.0
2501,4,0,4,0,1,0,0,0,5,775,GTB,9,2014,0.0
2502,12,0,0,0,0,0,0,1,1,775,GTB,9,2014,0.0
2503,15,1,3,2,7,0,2,0,15,775,GTB,9,2014,0.0
2504,18,0,0,0,0,0,0,0,0,775,GTB,9,2014,0.0
2505,22,0,0,0,0,0,0,0,0,775,GTB,9,2014,0.0
2506,27,0,0,0,0,0,0,0,0,775,GTB,9,2014,0.0
2507,33,0,0,0,0,0,0,0,0,775,GTB,9,2014,0.0
2508,Total,2,7,2,9,0,2,1,23,775,GTB,9,2014,0.0
2509,3,1,0,0,0,0,0,0,1,757,GTB,6,1990,
2510,4,0,10,1,1,0,1,0,13,757,GTB,6,1990,
2511,12,0,1,0,0,0,0,0,1,757,GTB,6,1990,
2512,15,0,1,0,5,0,4,0,10,757,GTB,6,1990,
2513,18,0,0,0,0,0,0,0,0,757,GTB,6,1990,
2514,22,0,0,0,0,0,0,0,0,757,GTB,6,1990,
2515,33,0,0,0,0,0,0,1,1,757,GTB,6,1990,
2516,Total,1,12,1,6,0,5,1,26,757,GTB,6,1990,
2517,3,2,1,0,1,0,0,0,4,7422,GTB,7,1989,
2518,4,7,70,5,3,15,1,0,101,7422,GTB,7,1989,
2519,12,0,0,0,3,3,0,0,6,7422,GTB,7,1989,
2520,15,1,10,0,7,7,4,0,29,7422,GTB,7,1989,
2521,18,0,0,0,0,0,1,0,1,7422,GTB,7,1989,
2522,22,0,0,0,0,0,0,0,0,7422,GTB,7,1989,
2523,33,0,0,0,0,0,0,2,2,7422,GTB,7,1989,
2524,Total,10,81,5,14,25,6,2,143,7422,GTB,7,1989,
2525,3,0,7,0,0,2,0,0,9,767,GTB,10,2007,0.0
2526,4,0,39,0,8,0,0,0,47,767,GTB,10,2007,0.0
2527,12,0,0,0,0,0,0,0,0,767,GTB,10,2007,0.0
2528,15,0,13,0,23,0,1,0,37,767,GTB,10,2007,0.0
2529,18,0,5,0,1,1,0,0,7,767,GTB,10,2007,0.0
2530,22,0,0,0,0,0,1,0,1,767,GTB,10,2007,0.0
2531,27,0,0,0,0,0,0,0,0,767,GTB,10,2007,0.0
2532,33,0,0,0,0,0,0,0,0,767,GTB,10,2007,0.0
2533,Total,0,64,0,32,3,2,0,101,767,GTB,10,2007,0.0
2534,3,0,1,0,0,0,0,0,1,7421,GTB,9,2005,0.0
2535,4,0,55,2,7,0,0,0,64,7421,GTB,9,2005,0.0
2536,12,0,0,0,1,0,1,0,2,7421,GTB,9,2005,0.0
2537,15,0,11,0,3,0,2,0,16,7421,GTB,9,2005,0.0
2538,18,0,0,0,1,0,0,0,1,7421,GTB,9,2005,0.0
2539,22,0,0,0,0,0,0,0,0,7421,GTB,9,2005,0.0
2540,27,0,0,0,0,0,0,0,0,7421,GTB,9,2005,0.0
2541,33,0,0,0,0,0,0,0,0,7421,GTB,9,2005,0.0
2542,Total,0,67,2,12,0,3,0,84,7421,GTB,9,2005,0.0
2543,3,0,0,0,0,0,0,0,4,771,GTB,9,1985,4.0
2544,4,2,27,6,7,0,2,0,145,771,GTB,9,1985,101.0
2545,12,0,0,0,0,0,0,0,3,771,GTB,9,1985,3.0
2546,15,0,1,3,10,0,0,1,105,771,GTB,9,1985,90.0
2547,18,0,0,0,0,0,0,0,1,771,GTB,9,1985,1.0
2548,22,0,0,0,0,0,0,0,0,771,GTB,9,1985,0.0
2549,27,0,1,3,1,0,0,0,32,771,GTB,9,1985,27.0
2550,33,0,0,0,0,0,0,0,0,771,GTB,9,1985,0.0
2551,Total,2,29,12,18,0,2,1,290,771,GTB,9,1985,226.0
2552,3,1,0,0,0,0,0,0,1,757,GTB,6,2009,
2553,4,0,11,1,2,0,0,0,14,757,GTB,6,2009,
2554,12,0,0,0,1,0,0,0,1,757,GTB,6,2009,
2555,15,0,2,0,7,0,0,0,9,757,GTB,6,2009,
2556,18,0,0,0,0,0,0,0,0,757,GTB,6,2009,
2557,22,0,0,0,0,0,0,0,0,757,GTB,6,2009,
2558,33,0,0,0,0,0,0,1,1,757,GTB,6,2009,
2559,Total,1,13,1,10,0,0,1,26,757,GTB,6,2009,
2560,3,0,0,0,0,0,0,0,18,765,GTB,10,1985,18.0
2561,4,0,0,0,0,0,0,0,134,765,GTB,10,1985,134.0
2562,12,0,0,0,0,0,0,0,0,765,GTB,10,1985,0.0
2563,15,0,0,0,0,0,0,0,82,765,GTB,10,1985,82.0
2564,18,0,0,0,0,0,0,0,0,765,GTB,10,1985,0.0
2565,22,0,0,0,0,0,0,0,5,765,GTB,10,1985,5.0
2566,27,0,0,0,0,0,0,0,0,765,GTB,10,1985,0.0
2567,33,0,0,0,0,0,0,0,2,765,GTB,10,1985,2.0
2568,Total,0,0,0,0,0,0,0,241,765,GTB,10,1985,241.0
2569,3,0,1,0,0,0,1,0,2,76116,GTB,10,1996,0.0
2570,4,3,95,20,26,0,4,0,149,76116,GTB,10,1996,1.0
2571,12,0,1,1,2,0,1,0,5,76116,GTB,10,1996,0.0
2572,15,0,21,11,42,0,11,1,90,76116,GTB,10,1996,4.0
2573,18,0,0,0,0,0,0,0,0,76116,GTB,10,1996,0.0
2574,22,0,0,0,0,0,0,0,0,76116,GTB,10,1996,0.0
2575,27,0,0,0,0,0,0,0,0,76116,GTB,10,1996,0.0
2576,33,0,0,0,0,0,0,9,9,76116,GTB,10,1996,0.0
2577,Total,3,118,32,70,0,17,10,255,76116,GTB,10,1996,5.0
2578,3,1,1,0,0,0,0,0,2,76116,GTB,7,1991,
2579,4,10,58,18,5,13,2,0,106,76116,GTB,7,1991,
2580,12,0,0,2,0,2,1,0,5,76116,GTB,7,1991,
2581,15,2,5,11,14,8,5,0,45,76116,GTB,7,1991,
2582,18,0,0,0,0,0,0,0,0,76116,GTB,7,1991,
2583,22,0,0,0,0,0,0,0,0,76116,GTB,7,1991,
2584,33,0,0,0,0,0,0,9,9,76116,GTB,7,1991,
2585,Total,13,64,31,19,23,8,9,167,76116,GTB,7,1991,
2586,3,0,26,0,1,0,0,0,27,776,GTB,10,1987,0.0
2587,4,0,211,20,45,0,8,2,286,776,GTB,10,1987,0.0
2588,12,0,0,5,1,0,4,0,10,776,GTB,10,1987,0.0
2589,15,0,30,6,87,0,37,0,160,776,GTB,10,1987,0.0
2590,18,0,0,0,0,0,0,0,0,776,GTB,10,1987,0.0
2591,22,0,0,2,1,0,0,0,3,776,GTB,10,1987,0.0
2592,27,0,0,0,0,0,0,0,0,776,GTB,10,1987,0.0
2593,33,0,0,0,0,0,0,1,1,776,GTB,10,1987,0.0
2594,Total,0,267,33,135,0,49,3,487,776,GTB,10,1987,0.0
2595,3,1,3,0,0,0,0,0,4,76111,GTB,6,1993,
2596,4,1,9,1,6,0,3,0,20,76111,GTB,6,1993,
2597,12,0,0,0,0,0,0,0,0,76111,GTB,6,1993,
2598,15,0,13,6,34,0,7,0,60,76111,GTB,6,1993,
2599,18,0,0,0,0,0,0,0,0,76111,GTB,6,1993,
2600,22,0,0,0,0,0,0,0,0,76111,GTB,6,1993,
2601,33,0,0,0,0,0,0,3,3,76111,GTB,6,1993,
2602,Total,2,25,7,40,0,10,3,87,76111,GTB,6,1993,
2603,3,0,4,0,0,0,0,0,4,755,GTB,5,1991,0.0
2604,4,4,131,1,20,0,4,2,162,755,GTB,5,1991,0.0
2605,12,0,1,1,3,0,1,0,6,755,GTB,5,1991,0.0
2606,15,0,36,1,32,0,14,0,83,755,GTB,5,1991,0.0
2607,18,0,3,0,5,0,0,0,8,755,GTB,5,1991,0.0
2608,22,0,1,1,1,0,3,0,9,755,GTB,5,1991,3.0
2609,27,0,0,0,0,0,0,0,0,755,GTB,5,1991,0.0
2610,33,1,0,0,0,0,0,2,3,755,GTB,5,1991,0.0
2611,Total,5,176,4,61,0,22,4,275,755,GTB,5,1991,3.0
2612,3,2,19,0,0,0,0,0,21,7622,GTB,10,2008,0.0
2613,4,1,73,0,6,0,1,0,81,7622,GTB,10,2008,0.0
2614,12,0,2,0,0,0,0,0,2,7622,GTB,10,2008,0.0
2615,15,0,10,0,6,0,0,0,16,7622,GTB,10,2008,0.0
2616,18,0,0,0,1,0,0,0,1,7622,GTB,10,2008,0.0
2617,22,0,0,0,0,0,0,0,0,7622,GTB,10,2008,0.0
2618,27,0,0,0,0,0,0,0,0,7622,GTB,10,2008,0.0
2619,33,0,0,0,0,0,0,0,0,7622,GTB,10,2008,0.0
2620,Total,3,104,0,13,0,1,0,121,7622,GTB,10,2008,0.0
2621,3,0,4,0,1,0,0,0,5,756,GTB,9,2005,0.0
2622,4,0,195,0,56,0,15,0,266,756,GTB,9,2005,0.0
2623,12,0,0,0,3,0,2,2,7,756,GTB,9,2005,0.0
2624,15,0,60,0,60,0,18,0,138,756,GTB,9,2005,0.0
2625,18,0,1,0,0,0,0,0,1,756,GTB,9,2005,0.0
2626,22,0,2,0,4,0,3,0,9,756,GTB,9,2005,0.0
2627,27,0,0,0,0,0,0,0,0,756,GTB,9,2005,0.0
2628,33,0,1,0,0,0,0,8,9,756,GTB,9,2005,0.0
2629,Total,0,263,0,124,0,38,10,435,756,GTB,9,2005,0.0
2630,3,2,3,0,0,0,0,0,5,776,GTB,7,2014,
2631,4,3,44,6,14,3,2,0,72,776,GTB,7,2014,
2632,12,0,0,5,0,0,4,0,9,776,GTB,7,2014,
2633,15,1,13,0,42,4,18,0,78,776,GTB,7,2014,
2634,18,0,0,0,1,0,1,0,2,776,GTB,7,2014,
2635,22,0,0,2,0,0,0,0,2,776,GTB,7,2014,
2636,33,0,0,0,0,0,0,0,0,776,GTB,7,2014,
2637,Total,6,60,13,57,7,25,0,168,776,GTB,7,2014,
2638,3,1,1,0,0,0,0,0,2,741,GTB,9,1990,0.0
2639,4,12,68,0,2,0,0,0,82,741,GTB,9,1990,0.0
2640,12,0,0,1,1,0,1,0,3,741,GTB,9,1990,0.0
2641,15,3,12,0,3,0,2,0,20,741,GTB,9,1990,0.0
2642,18,0,0,0,0,0,0,0,0,741,GTB,9,1990,0.0
2643,22,0,0,0,0,0,0,0,0,741,GTB,9,1990,0.0
2644,27,0,0,0,0,0,1,0,1,741,GTB,9,1990,0.0
2645,33,0,0,0,0,0,0,2,2,741,GTB,9,1990,0.0
2646,Total,16,81,1,6,0,4,2,110,741,GTB,9,1990,0.0
2647,3,0,8,0,0,1,0,0,9,757,GTB,10,1986,0.0
2648,4,0,146,5,19,14,8,0,193,757,GTB,10,1986,1.0
2649,12,0,0,0,0,1,1,0,2,757,GTB,10,1986,0.0
2650,15,0,51,5,60,13,20,1,151,757,GTB,10,1986,1.0
2651,18,0,0,1,2,3,2,0,9,757,GTB,10,1986,1.0
2652,22,0,1,0,0,1,1,0,3,757,GTB,10,1986,0.0
2653,27,0,15,2,9,6,6,0,44,757,GTB,10,1986,6.0
2654,33,0,2,0,0,1,0,2,6,757,GTB,10,1986,1.0
2655,Total,0,223,13,90,40,38,3,417,757,GTB,10,1986,10.0
2656,3,0,0,0,0,0,0,0,0,7617,GTB,9,2007,0.0
2657,4,0,107,25,13,4,1,0,150,7617,GTB,9,2007,0.0
2658,12,0,1,1,0,2,0,1,5,7617,GTB,9,2007,0.0
2659,15,0,4,3,9,5,3,0,24,7617,GTB,9,2007,0.0
2660,18,0,3,0,3,0,0,0,6,7617,GTB,9,2007,0.0
2661,22,0,0,0,0,0,1,1,2,7617,GTB,9,2007,0.0
2662,27,0,0,0,0,0,0,0,0,7617,GTB,9,2007,0.0
2663,33,0,0,0,0,0,0,35,35,7617,GTB,9,2007,0.0
2664,Total,0,115,29,25,11,5,37,222,7617,GTB,9,2007,0.0
2665,3,0,0,0,0,0,0,0,0,7742,GTB,7,1992,
2666,4,0,0,0,0,0,0,0,0,7742,GTB,7,1992,
2667,12,0,0,0,0,0,0,0,0,7742,GTB,7,1992,
2668,15,0,0,0,4,0,1,0,5,7742,GTB,7,1992,
2669,18,0,0,0,0,0,0,0,0,7742,GTB,7,1992,
2670,22,0,0,0,0,0,0,0,0,7742,GTB,7,1992,
2671,33,0,0,0,0,0,0,0,0,7742,GTB,7,1992,
2672,Total,0,0,0,4,0,1,0,5,7742,GTB,7,1992,
2673,3,1,3,0,0,0,0,0,4,7422,GTB,5,2011,0.0
2674,4,15,83,7,23,0,0,0,128,7422,GTB,5,2011,0.0
2675,12,0,1,1,2,0,2,1,7,7422,GTB,5,2011,0.0
2676,15,3,17,0,21,0,3,0,44,7422,GTB,5,2011,0.0
2677,18,1,0,0,1,0,0,0,2,7422,GTB,5,2011,0.0
2678,22,0,0,0,0,0,0,0,0,7422,GTB,5,2011,0.0
2679,27,0,0,0,0,0,0,0,0,7422,GTB,5,2011,0.0
2680,33,0,1,0,0,0,0,1,2,7422,GTB,5,2011,0.0
2681,Total,20,105,8,47,0,5,2,187,7422,GTB,5,2011,0.0
2682,3,1,4,0,0,0,0,0,5,752,GTB,10,2009,0.0
2683,4,10,85,5,22,0,4,0,126,752,GTB,10,2009,0.0
2684,12,0,2,1,0,0,0,0,3,752,GTB,10,2009,0.0
2685,15,1,10,2,10,0,7,1,31,752,GTB,10,2009,0.0
2686,18,0,2,0,1,0,0,0,3,752,GTB,10,2009,0.0
2687,22,0,0,0,1,0,3,0,4,752,GTB,10,2009,0.0
2688,27,0,0,0,0,0,0,0,0,752,GTB,10,2009,0.0
2689,33,0,0,1,0,0,0,2,3,752,GTB,10,2009,0.0
2690,Total,12,103,9,34,0,14,3,175,752,GTB,10,2009,0.0
2691,3,0,6,1,4,0,0,0,11,76111,GTB,9,1991,0.0
2692,4,0,30,6,14,0,2,0,52,76111,GTB,9,1991,0.0
2693,12,0,0,0,0,0,0,0,0,76111,GTB,9,1991,0.0
2694,15,0,50,7,71,0,14,0,143,76111,GTB,9,1991,1.0
2695,18,0,0,0,0,0,1,0,1,76111,GTB,9,1991,0.0
2696,22,0,0,0,0,0,1,0,1,76111,GTB,9,1991,0.0
2697,27,0,0,0,0,0,0,0,0,76111,GTB,9,1991,0.0
2698,33,0,0,0,0,0,0,3,3,76111,GTB,9,1991,0.0
2699,Total,0,86,14,89,0,18,3,211,76111,GTB,9,1991,1.0
2700,3,0,1,0,0,0,0,0,1,7421,GTB,10,1997,0.0
2701,4,2,53,2,7,0,1,0,65,7421,GTB,10,1997,0.0
2702,12,0,0,0,0,0,2,0,2,7421,GTB,10,1997,0.0
2703,15,0,8,0,5,0,2,0,15,7421,GTB,10,1997,0.0
2704,18,0,0,0,1,0,0,0,1,7421,GTB,10,1997,0.0
2705,22,0,0,0,0,0,0,0,0,7421,GTB,10,1997,0.0
2706,27,0,0,0,0,0,0,0,0,7421,GTB,10,1997,0.0
2707,33,0,0,0,0,0,0,0,0,7421,GTB,10,1997,0.0
2708,Total,2,62,2,13,0,5,0,84,7421,GTB,10,1997,0.0
2709,3,0,3,0,0,0,0,0,3,755,GTB,9,2021,0.0
2710,4,0,139,0,20,0,4,1,164,755,GTB,9,2021,0.0
2711,12,0,1,0,3,0,0,0,4,755,GTB,9,2021,0.0
2712,15,0,30,0,39,0,3,0,72,755,GTB,9,2021,0.0
2713,18,0,7,0,7,0,1,0,15,755,GTB,9,2021,0.0
2714,22,0,1,0,3,0,6,0,11,755,GTB,9,2021,1.0
2715,27,0,0,0,0,0,0,0,0,755,GTB,9,2021,0.0
2716,33,0,4,0,0,0,1,1,6,755,GTB,9,2021,0.0
2717,Total,0,185,0,72,0,15,2,275,755,GTB,9,2021,1.0
2718,3,0,0,0,0,0,0,0,0,759,GTB,7,1986,
2719,4,0,0,0,0,0,0,0,0,759,GTB,7,1986,
2720,12,0,0,0,0,0,0,0,0,759,GTB,7,1986,
2721,15,0,3,2,6,0,0,0,11,759,GTB,7,1986,
2722,18,0,0,0,0,0,0,0,0,759,GTB,7,1986,
2723,22,0,0,0,0,0,0,0,0,759,GTB,7,1986,
2724,33,0,0,0,0,0,1,0,1,759,GTB,7,1986,
2725,Total,0,3,2,6,0,1,0,12,759,GTB,7,1986,
2726,3,2,5,1,0,0,1,0,9,759,GTB,5,2019,0.0
2727,4,3,42,2,10,0,1,0,58,759,GTB,5,2019,0.0
2728,12,0,0,0,0,0,0,0,0,759,GTB,5,2019,0.0
2729,15,3,20,3,66,0,8,1,101,759,GTB,5,2019,0.0
2730,18,0,0,0,2,0,0,0,2,759,GTB,5,2019,0.0
2731,22,0,0,0,0,0,6,0,6,759,GTB,5,2019,0.0
2732,27,0,0,0,0,0,0,0,0,759,GTB,5,2019,0.0
2733,33,0,0,0,1,0,0,0,1,759,GTB,5,2019,0.0
2734,Total,8,67,6,79,0,16,1,177,759,GTB,5,2019,0.0
2735,3,0,0,0,0,0,0,0,0,773,GTB,7,2016,
2736,4,0,1,0,1,0,0,0,2,773,GTB,7,2016,
2737,12,0,0,0,0,0,1,0,1,773,GTB,7,2016,
2738,15,0,1,0,15,0,1,0,17,773,GTB,7,2016,
2739,18,0,0,0,0,0,0,0,0,773,GTB,7,2016,
2740,22,0,0,0,0,0,0,0,0,773,GTB,7,2016,
2741,33,0,0,0,0,0,0,0,0,773,GTB,7,2016,
2742,Total,0,2,0,16,0,2,0,20,773,GTB,7,2016,
2743,3,0,6,1,0,0,0,0,7,7619,GTB,9,1990,0.0
2744,4,0,216,37,8,8,7,0,276,7619,GTB,9,1990,0.0
2745,12,0,1,3,1,0,4,3,12,7619,GTB,9,1990,0.0
2746,15,0,6,3,18,22,11,1,61,7619,GTB,9,1990,0.0
2747,18,0,2,0,0,0,0,0,2,7619,GTB,9,1990,0.0
2748,22,0,1,0,0,0,0,0,1,7619,GTB,9,1990,0.0
2749,27,0,0,0,0,0,0,0,0,7619,GTB,9,1990,0.0
2750,33,0,0,0,0,0,0,3,3,7619,GTB,9,1990,0.0
2751,Total,0,232,44,27,30,22,7,362,7619,GTB,9,1990,0.0
2752,3,3,5,0,0,0,0,0,8,759,GTB,9,2013,0.0
2753,4,3,46,0,7,0,3,0,60,759,GTB,9,2013,1.0
2754,12,0,0,0,0,0,0,0,0,759,GTB,9,2013,0.0
2755,15,2,34,4,51,0,7,2,101,759,GTB,9,2013,1.0
2756,18,1,0,0,0,0,0,0,1,759,GTB,9,2013,0.0
2757,22,0,1,0,1,0,4,0,6,759,GTB,9,2013,0.0
2758,27,0,0,0,0,0,0,0,0,759,GTB,9,2013,0.0
2759,33,0,0,0,1,0,0,0,1,759,GTB,9,2013,0.0
2760,Total,9,86,4,60,0,14,2,177,759,GTB,9,2013,2.0
2761,3,20,14,0,0,0,0,0,34,746,GTB,10,1995,0.0
2762,4,19,102,0,10,0,2,0,133,746,GTB,10,1995,0.0
2763,12,1,0,0,1,0,1,0,3,746,GTB,10,1995,0.0
2764,15,0,6,0,5,0,0,0,11,746,GTB,10,1995,0.0
2765,18,0,1,0,0,0,0,0,1,746,GTB,10,1995,0.0
2766,22,0,2,0,1,0,1,0,4,746,GTB,10,1995,0.0
2767,27,0,0,0,0,0,0,0,0,746,GTB,10,1995,0.0
2768,33,0,0,0,0,0,0,1,1,746,GTB,10,1995,0.0
2769,Total,40,125,0,17,0,4,1,187,746,GTB,10,1995,0.0
2770,3,21,9,0,1,0,0,0,31,753,GTB,10,2017,0.0
2771,4,89,223,1,31,0,6,1,351,753,GTB,10,2017,0.0
2772,12,2,9,0,4,0,1,0,16,753,GTB,10,2017,0.0
2773,15,13,49,3,20,0,17,0,102,753,GTB,10,2017,0.0
2774,18,8,14,0,6,0,7,0,35,753,GTB,10,2017,0.0
2775,22,4,2,2,3,0,11,1,24,753,GTB,10,2017,1.0
2776,27,0,0,0,0,0,0,0,0,753,GTB,10,2017,0.0
2777,33,4,5,2,1,0,1,5,18,753,GTB,10,2017,0.0
2778,Total,141,311,8,66,0,43,7,577,753,GTB,10,2017,1.0
2779,3,0,0,0,0,0,0,0,0,7613,GTB,9,2020,0.0
2780,4,0,76,42,28,0,8,0,154,7613,GTB,9,2020,0.0
2781,12,0,0,5,9,0,3,0,17,7613,GTB,9,2020,0.0
2782,15,0,8,3,14,0,0,0,25,7613,GTB,9,2020,0.0
2783,18,0,0,0,0,0,0,0,0,7613,GTB,9,2020,0.0
2784,22,0,0,0,1,0,0,0,1,7613,GTB,9,2020,0.0
2785,27,0,0,0,0,0,0,0,0,7613,GTB,9,2020,0.0
2786,33,0,0,0,0,0,0,1,1,7613,GTB,9,2020,0.0
2787,Total,0,84,50,52,0,11,1,198,7613,GTB,9,2020,0.0
2788,3,0,5,0,0,0,0,0,5,752,GTB,9,1993,0.0
2789,4,5,102,1,10,0,8,0,126,752,GTB,9,1993,0.0
2790,12,0,3,0,1,0,0,0,4,752,GTB,9,1993,0.0
2791,15,4,15,1,8,0,2,0,30,752,GTB,9,1993,0.0
2792,18,1,1,0,1,0,0,0,3,752,GTB,9,1993,0.0
2793,22,0,1,1,1,0,1,0,4,752,GTB,9,1993,0.0
2794,27,0,0,0,0,0,0,0,0,752,GTB,9,1993,0.0
2795,33,0,0,0,0,0,1,2,3,752,GTB,9,1993,0.0
2796,Total,10,127,3,21,0,12,2,175,752,GTB,9,1993,0.0
2797,3,0,0,0,0,0,0,0,0,773,GTB,5,1991,0.0
2798,4,0,6,0,2,0,0,0,9,773,GTB,5,1991,1.0
2799,12,0,0,0,0,0,0,1,1,773,GTB,5,1991,0.0
2800,15,0,13,0,22,0,0,0,35,773,GTB,5,1991,0.0
2801,18,0,0,0,0,0,0,0,0,773,GTB,5,1991,0.0
2802,22,0,0,0,1,0,0,1,2,773,GTB,5,1991,0.0
2803,27,0,0,0,0,0,0,0,0,773,GTB,5,1991,0.0
2804,33,0,0,0,0,0,0,0,0,773,GTB,5,1991,0.0
2805,Total,0,19,0,25,0,0,2,47,773,GTB,5,1991,1.0
2806,3,3,8,0,7,0,0,0,18,7621,GTB,7,1989,
2807,4,5,14,1,6,0,1,0,27,7621,GTB,7,1989,
2808,12,1,0,0,0,0,0,0,1,7621,GTB,7,1989,
2809,15,0,3,0,12,1,2,0,18,7621,GTB,7,1989,
2810,18,0,0,0,0,0,0,0,0,7621,GTB,7,1989,
2811,22,0,0,0,0,0,0,0,0,7621,GTB,7,1989,
2812,33,0,0,0,0,0,0,0,0,7621,GTB,7,1989,
2813,Total,9,25,1,25,1,3,0,64,7621,GTB,7,1989,
2814,3,0,1,0,0,0,0,0,1,7618,GTB,10,2006,0.0
2815,4,0,90,7,10,4,0,0,111,7618,GTB,10,2006,0.0
2816,12,0,1,1,1,0,0,0,3,7618,GTB,10,2006,0.0
2817,15,0,6,9,17,31,3,0,66,7618,GTB,10,2006,0.0
2818,18,0,0,0,0,0,0,0,0,7618,GTB,10,2006,0.0
2819,22,0,0,0,0,0,1,0,1,7618,GTB,10,2006,0.0
2820,27,0,0,0,0,0,0,0,0,7618,GTB,10,2006,0.0
2821,33,0,0,0,0,0,0,0,0,7618,GTB,10,2006,0.0
2822,Total,0,98,17,28,35,4,0,182,7618,GTB,10,2006,0.0
2823,3,0,9,1,1,0,0,0,11,76111,GTB,9,1989,0.0
2824,4,0,45,0,12,0,0,0,57,76111,GTB,9,1989,0.0
2825,12,0,0,0,0,0,0,0,0,76111,GTB,9,1989,0.0
2826,15,0,44,8,81,0,3,0,138,76111,GTB,9,1989,2.0
2827,18,0,1,0,0,0,0,0,1,76111,GTB,9,1989,0.0
2828,22,0,0,0,0,0,1,0,1,76111,GTB,9,1989,0.0
2829,27,0,0,0,0,0,0,0,0,76111,GTB,9,1989,0.0
2830,33,0,0,0,0,0,0,3,3,76111,GTB,9,1989,0.0
2831,Total,0,99,9,94,0,4,3,211,76111,GTB,9,1989,2.0
2832,3,1,2,0,0,0,0,0,3,766,GTB,7,2014,
2833,4,0,21,0,2,5,0,0,28,766,GTB,7,2014,
2834,12,0,0,0,0,0,0,0,0,766,GTB,7,2014,
2835,15,0,3,1,18,5,1,0,28,766,GTB,7,2014,
2836,18,1,0,0,0,2,0,0,3,766,GTB,7,2014,
2837,22,0,0,0,0,0,1,0,1,766,GTB,7,2014,
2838,33,0,0,0,0,0,0,0,0,766,GTB,7,2014,
2839,Total,2,26,1,20,12,2,0,63,766,GTB,7,2014,
2840,3,5,14,0,2,0,0,0,21,7622,GTB,10,2011,0.0
2841,4,9,69,0,4,2,0,0,84,7622,GTB,10,2011,0.0
2842,12,1,1,0,0,0,0,0,2,7622,GTB,10,2011,0.0
2843,15,2,7,0,4,0,0,0,13,7622,GTB,10,2011,0.0
2844,18,0,0,0,1,0,0,0,1,7622,GTB,10,2011,0.0
2845,22,0,0,0,0,0,0,0,0,7622,GTB,10,2011,0.0
2846,27,0,0,0,0,0,0,0,0,7622,GTB,10,2011,0.0
2847,33,0,0,0,0,0,0,0,0,7622,GTB,10,2011,0.0
2848,Total,17,91,0,11,2,0,0,121,7622,GTB,10,2011,0.0
2849,3,3,10,1,0,0,0,0,14,763,GTB,6,2016,
2850,4,7,95,8,11,0,1,0,122,763,GTB,6,2016,
2851,12,0,0,6,2,0,1,0,9,763,GTB,6,2016,
2852,15,0,17,1,69,0,15,0,102,763,GTB,6,2016,
2853,18,0,0,0,0,0,0,0,0,763,GTB,6,2016,
2854,22,0,0,1,0,0,1,0,2,763,GTB,6,2016,
2855,33,0,0,0,0,0,0,1,1,763,GTB,6,2016,
2856,Total,10,122,17,82,0,18,1,250,763,GTB,6,2016,
2857,3,1,1,0,0,0,0,0,2,775,GTB,9,2015,0.0
