,classes,3,4,12,15,18,22,33,Total,bacia,model,version,year,27
93,3,0,1,0,0,0,0,0,1,7618,GTB,10,2002,0.0
94,4,0,91,8,7,3,2,0,111,7618,GTB,10,2002,0.0
95,12,0,2,1,0,0,0,0,3,7618,GTB,10,2002,0.0
96,15,0,11,1,16,35,3,0,66,7618,GTB,10,2002,0.0
97,18,0,0,0,0,0,0,0,0,7618,GTB,10,2002,0.0
98,22,0,0,0,0,0,1,0,1,7618,GTB,10,2002,0.0
99,27,0,0,0,0,0,0,0,0,7618,GTB,10,2002,0.0
100,33,0,0,0,0,0,0,0,0,7618,GTB,10,2002,0.0
101,Total,0,105,10,23,38,6,0,182,7618,GTB,10,2002,0.0
102,3,0,13,0,2,0,0,0,15,7621,GTB,5,2020,0.0
103,4,0,17,0,6,0,0,0,23,7621,GTB,5,2020,0.0
104,12,0,1,0,0,0,0,0,1,7621,GTB,5,2020,0.0
105,15,0,1,0,22,0,0,0,23,7621,GTB,5,2020,0.0
106,18,0,1,0,1,0,0,0,2,7621,GTB,5,2020,0.0
107,22,0,0,0,0,0,0,0,0,7621,GTB,5,2020,0.0
108,27,0,0,0,0,0,0,0,0,7621,GTB,5,2020,0.0
109,33,0,0,0,0,0,0,0,0,7621,GTB,5,2020,0.0
110,Total,0,33,0,31,0,0,0,64,7621,GTB,5,2020,0.0
111,3,1,13,0,0,0,0,0,14,763,GTB,6,2017,
112,4,4,109,3,6,0,0,0,122,763,GTB,6,2017,
113,12,0,1,6,2,0,0,0,9,763,GTB,6,2017,
114,15,0,23,5,71,0,3,0,102,763,GTB,6,2017,
115,18,0,0,0,0,0,0,0,0,763,GTB,6,2017,
116,22,0,1,0,1,0,0,0,2,763,GTB,6,2017,
117,33,0,0,0,0,0,0,1,1,763,GTB,6,2017,
118,Total,5,147,14,80,0,3,1,250,763,GTB,6,2017,
119,3,1,3,0,0,0,0,0,4,76111,GTB,6,2004,
120,4,1,13,0,4,0,0,0,18,76111,GTB,6,2004,
121,12,0,0,0,0,0,0,0,0,76111,GTB,6,2004,
122,15,0,22,2,25,0,11,0,60,76111,GTB,6,2004,
123,18,0,1,0,0,0,0,0,1,76111,GTB,6,2004,
