,classes,3,4,12,15,18,22,33,Total,bacia,model,version,year
103,Total,18,112,18,88,0,13,1,250,763,RF,6,1999
104,3,0,1,0,0,0,0,0,1,755,RF,5,2010
105,4,4,80,1,15,0,1,0,101,755,RF,5,2010
106,12,0,0,0,2,0,1,0,3,755,RF,5,2010
107,15,0,11,0,24,0,6,0,41,755,RF,5,2010
108,18,0,1,0,4,0,0,0,5,755,RF,5,2010
109,22,0,0,0,1,0,4,0,5,755,RF,5,2010
110,33,1,1,0,0,0,0,1,3,755,RF,5,2010
111,Total,5,94,1,46,0,12,1,159,755,RF,5,2010
112,3,4,2,0,0,0,0,0,6,744,RF,6,2007
113,4,23,188,30,9,0,1,0,251,744,RF,6,2007
114,12,0,1,6,2,0,3,0,12,744,RF,6,2007
115,15,0,7,8,20,0,7,0,42,744,RF,6,2007
116,18,0,3,2,0,0,0,0,5,744,RF,6,2007
117,22,0,0,1,0,0,0,0,1,744,RF,6,2007
118,33,0,1,0,0,0,0,0,1,744,RF,6,2007
119,Total,27,202,47,31,0,11,0,318,744,RF,6,2007
120,3,0,1,0,0,0,0,0,1,7619,RF,7,2006
121,4,5,19,3,7,0,0,0,34,7619,RF,7,2006
122,12,0,0,0,1,0,0,0,1,7619,RF,7,2006
123,15,0,1,0,1,2,0,0,4,7619,RF,7,2006
124,18,0,0,0,0,0,0,0,0,7619,RF,7,2006
125,22,0,0,0,0,0,0,0,0,7619,RF,7,2006
126,33,0,0,0,0,0,0,0,0,7619,RF,7,2006
127,Total,5,21,3,9,2,0,0,40,7619,RF,7,2006
128,3,57,77,1,6,0,1,2,144,Caatinga,RF,6,1985
129,4,182,1588,237,283,0,61,11,2362,Caatinga,RF,6,1985
130,12,1,25,31,43,0,18,1,119,Caatinga,RF,6,1985
131,15,6,145,26,396,0,65,2,640,Caatinga,RF,6,1985
132,18,0,11,7,10,0,3,0,31,Caatinga,RF,6,1985
133,22,2,4,3,8,0,8,0,25,Caatinga,RF,6,1985
134,33,5,4,0,1,0,2,56,68,Caatinga,RF,6,1985
135,Total,253,1854,305,747,0,158,72,3389,Caatinga,RF,6,1985
136,3,0,0,0,0,0,0,0,0,7618,RF,6,1995
137,4,1,53,0,3,0,1,1,59,7618,RF,6,1995
