,classes,3,4,12,15,18,22,33,Total,bacia,model,version,year
91,15,0,0,0,0,0,0,0,0,773,Gap-fill,9,2010
92,18,0,0,0,0,0,0,0,0,773,Gap-fill,9,2010
93,22,1,0,0,0,0,0,0,1,773,Gap-fill,9,2010
94,33,0,0,0,0,0,0,0,0,773,Gap-fill,9,2010
95,Total,1,1,0,0,0,0,1,3,773,Gap-fill,9,2010
96,3,4,8,0,0,0,0,0,12,754,Gap-fill,9,1988
97,4,65,381,0,0,0,2,0,448,754,Gap-fill,9,1988
98,12,0,5,0,0,0,1,0,6,754,Gap-fill,9,1988
99,15,0,0,0,0,0,0,0,0,754,Gap-fill,9,1988
100,18,0,0,0,0,0,0,0,0,754,Gap-fill,9,1988
101,22,0,1,0,0,0,3,0,4,754,Gap-fill,9,1988
102,33,1,3,0,0,0,1,12,17,754,Gap-fill,9,1988
103,Total,70,398,0,0,0,7,12,487,754,Gap-fill,9,1988
104,3,1,15,1,0,0,2,0,19,751,Gap-fill,9,2008
105,4,0,123,1,0,0,1,0,125,751,Gap-fill,9,2008
106,12,0,2,1,0,0,2,0,5,751,Gap-fill,9,2008
107,15,0,0,0,0,0,0,0,0,751,Gap-fill,9,2008
108,18,0,0,0,0,0,0,0,0,751,Gap-fill,9,2008
109,22,0,2,3,0,0,4,0,9,751,Gap-fill,9,2008
110,33,0,0,1,0,0,2,0,3,751,Gap-fill,9,2008
111,Total,1,142,7,0,0,11,0,161,751,Gap-fill,9,2008
112,3,0,1,0,0,0,0,0,1,7421,Gap-fill,9,2019
113,4,3,55,3,0,0,1,0,62,7421,Gap-fill,9,2019
114,12,0,0,0,0,0,1,0,1,7421,Gap-fill,9,2019
115,15,0,0,0,0,0,0,0,0,7421,Gap-fill,9,2019
116,18,0,0,0,0,0,0,0,0,7421,Gap-fill,9,2019
117,22,0,0,0,0,0,0,0,0,7421,Gap-fill,9,2019
118,33,0,0,0,0,0,0,0,0,7421,Gap-fill,9,2019
119,Total,3,56,3,0,0,2,0,64,7421,Gap-fill,9,2019
120,3,15,11,0,0,0,0,1,27,7741,Gap-fill,5,1989
121,4,26,71,6,0,0,2,0,105,7741,Gap-fill,5,1989
122,12,0,7,2,0,0,0,0,9,7741,Gap-fill,5,1989
123,15,0,0,0,0,0,0,0,0,7741,Gap-fill,5,1989
124,18,0,0,0,0,0,0,0,0,7741,Gap-fill,5,1989
125,22,0,1,0,0,0,0,0,1,7741,Gap-fill,5,1989
126,33,0,0,0,0,0,0,0,0,7741,Gap-fill,5,1989
127,Total,41,90,8,0,0,2,1,142,7741,Gap-fill,5,1989
128,3,2,2,0,0,0,0,0,4,7422,Gap-fill,5,2020
129,4,4,83,26,0,0,2,1,116,7422,Gap-fill,5,2020
130,12,0,1,1,0,0,1,0,3,7422,Gap-fill,5,2020
131,15,0,0,0,0,0,0,0,0,7422,Gap-fill,5,2020
132,18,0,0,0,0,0,0,0,0,7422,Gap-fill,5,2020
133,22,0,0,0,0,0,0,0,0,7422,Gap-fill,5,2020
134,33,0,0,0,0,0,0,3,3,7422,Gap-fill,5,2020
135,Total,6,86,27,0,0,3,4,126,7422,Gap-fill,5,2020
136,3,4,10,0,0,0,0,0,14,776,Gap-fill,5,2000
137,4,10,129,6,0,0,0,0,145,776,Gap-fill,5,2000
138,12,0,1,5,0,0,2,0,8,776,Gap-fill,5,2000
139,15,0,0,0,0,0,0,0,0,776,Gap-fill,5,2000
140,18,0,0,0,0,0,0,0,0,776,Gap-fill,5,2000
141,22,0,0,0,0,0,2,0,2,776,Gap-fill,5,2000
142,33,0,0,0,0,0,1,0,1,776,Gap-fill,5,2000
143,Total,14,140,11,0,0,5,0,170,776,Gap-fill,5,2000
144,3,106,215,5,0,0,6,0,332,Caatinga,Gap-fill,9,1989
145,4,379,3870,347,0,0,154,29,4779,Caatinga,Gap-fill,9,1989
146,12,6,50,49,0,0,47,2,154,Caatinga,Gap-fill,9,1989
147,15,0,0,0,0,0,0,0,0,Caatinga,Gap-fill,9,1989
148,18,0,0,0,0,0,0,0,0,Caatinga,Gap-fill,9,1989
149,22,4,21,7,0,0,46,3,81,Caatinga,Gap-fill,9,1989
150,33,4,8,7,0,0,4,97,120,Caatinga,Gap-fill,9,1989
151,Total,499,4164,415,0,0,257,131,5466,Caatinga,Gap-fill,9,1989
152,3,0,1,0,0,0,0,0,1,7421,Gap-fill,5,2002
153,4,1,57,1,0,0,0,0,59,7421,Gap-fill,5,2002
154,12,0,1,0,0,0,1,0,2,7421,Gap-fill,5,2002
155,15,0,0,0,0,0,0,0,0,7421,Gap-fill,5,2002
156,18,0,0,0,0,0,0,0,0,7421,Gap-fill,5,2002
157,22,0,0,0,0,0,0,0,0,7421,Gap-fill,5,2002
158,33,0,0,0,0,0,0,0,0,7421,Gap-fill,5,2002
159,Total,1,59,1,0,0,1,0,62,7421,Gap-fill,5,2002
160,3,0,12,0,0,0,0,0,12,765,Gap-fill,9,1999
161,4,0,83,0,0,0,2,0,85,765,Gap-fill,9,1999
162,12,0,0,0,0,0,0,0,0,765,Gap-fill,9,1999
163,15,0,0,0,0,0,0,0,0,765,Gap-fill,9,1999
164,18,0,0,0,0,0,0,0,0,765,Gap-fill,9,1999
165,22,0,1,0,0,0,4,0,5,765,Gap-fill,9,1999
166,33,0,1,0,0,0,0,1,2,765,Gap-fill,9,1999
167,Total,0,97,0,0,0,6,1,104,765,Gap-fill,9,1999
168,3,2,2,0,0,0,0,0,4,7422,Gap-fill,9,2008
169,4,8,66,7,0,0,2,0,83,7422,Gap-fill,9,2008
170,12,0,1,1,0,0,3,0,5,7422,Gap-fill,9,2008
171,15,0,0,0,0,0,0,0,0,7422,Gap-fill,9,2008
172,18,0,0,0,0,0,0,0,0,7422,Gap-fill,9,2008
173,22,0,0,0,0,0,0,0,0,7422,Gap-fill,9,2008
174,33,0,0,0,0,0,0,2,2,7422,Gap-fill,9,2008
175,Total,10,69,8,0,0,5,2,94,7422,Gap-fill,9,2008
176,3,0,0,0,0,0,0,0,0,773,Gap-fill,9,2005
177,4,0,4,0,0,0,0,0,4,773,Gap-fill,9,2005
178,12,0,1,0,0,0,0,0,1,773,Gap-fill,9,2005
179,15,0,0,0,0,0,0,0,0,773,Gap-fill,9,2005
180,18,0,0,0,0,0,0,0,0,773,Gap-fill,9,2005
181,22,0,0,0,0,0,0,0,0,773,Gap-fill,9,2005
182,33,0,0,0,0,0,0,0,0,773,Gap-fill,9,2005
183,Total,0,5,0,0,0,0,0,5,773,Gap-fill,9,2005
184,3,3,1,0,0,0,1,0,5,7742,Gap-fill,9,1996
185,4,2,17,1,0,0,1,0,21,7742,Gap-fill,9,1996
186,12,0,1,0,0,0,1,0,2,7742,Gap-fill,9,1996
187,15,0,0,0,0,0,0,0,0,7742,Gap-fill,9,1996
188,18,0,0,0,0,0,0,0,0,7742,Gap-fill,9,1996
189,22,0,0,0,0,0,1,0,1,7742,Gap-fill,9,1996
190,33,0,0,0,0,0,0,0,0,7742,Gap-fill,9,1996
191,Total,5,19,1,0,0,4,0,29,7742,Gap-fill,9,1996
192,3,2,12,0,0,0,0,0,14,765,Gap-fill,5,2009
193,4,0,85,3,0,0,0,1,89,765,Gap-fill,5,2009
194,12,0,0,0,0,0,0,0,0,765,Gap-fill,5,2009
195,15,0,0,0,0,0,0,0,0,765,Gap-fill,5,2009
196,18,0,0,0,0,0,0,0,0,765,Gap-fill,5,2009
197,22,0,1,1,0,0,3,0,5,765,Gap-fill,5,2009
198,33,1,0,0,0,0,0,1,2,765,Gap-fill,5,2009
