,classes,3,4,12,15,18,22,27,33,Total,bacia,model,version,year
85,18,0,0,0,0,0,0,0,0,0,7422,Gap-fill,5,2022
86,22,0,0,0,0,0,0,0,0,0,7422,Gap-fill,5,2022
87,27,0,0,0,0,0,0,0,0,0,7422,Gap-fill,5,2022
88,33,0,0,0,0,0,0,0,2,2,7422,Gap-fill,5,2022
89,Total,5,79,36,0,0,0,0,3,123,7422,Gap-fill,5,2022
90,3,0,3,0,0,0,0,0,0,3,755,Gap-fill,5,2022
91,4,10,115,7,0,0,4,0,0,136,755,Gap-fill,5,2022
92,12,0,0,1,0,0,1,0,0,2,755,Gap-fill,5,2022
93,15,0,0,0,0,0,0,0,0,0,755,Gap-fill,5,2022
94,18,0,0,0,0,0,0,0,0,0,755,Gap-fill,5,2022
95,22,0,1,1,0,0,6,0,0,8,755,Gap-fill,5,2022
96,27,0,0,0,0,0,0,0,0,0,755,Gap-fill,5,2022
97,33,3,1,0,0,0,0,0,2,6,755,Gap-fill,5,2022
98,Total,13,120,9,0,0,11,0,2,155,755,Gap-fill,5,2022
99,3,7,2,0,0,0,1,0,0,10,772,Gap-fill,5,2011
100,4,22,90,8,0,0,1,0,0,121,772,Gap-fill,5,2011
101,12,1,0,0,0,0,0,0,0,1,772,Gap-fill,5,2011
102,15,0,0,0,0,0,0,0,0,0,772,Gap-fill,5,2011
103,18,0,0,0,0,0,0,0,0,0,772,Gap-fill,5,2011
104,22,0,0,1,0,0,2,0,0,3,772,Gap-fill,5,2011
105,27,0,0,0,0,0,0,0,0,0,772,Gap-fill,5,2011
106,33,0,0,0,0,0,0,0,1,1,772,Gap-fill,5,2011
107,Total,30,92,9,0,0,4,0,1,136,772,Gap-fill,5,2011
108,3,0,1,0,0,0,0,0,0,1,758,Gap-fill,5,2012
109,4,0,86,4,0,0,2,0,0,92,758,Gap-fill,5,2012
110,12,0,1,1,0,0,2,0,0,4,758,Gap-fill,5,2012
111,15,0,0,0,0,0,0,0,0,0,758,Gap-fill,5,2012
112,18,0,0,0,0,0,0,0,0,0,758,Gap-fill,5,2012
113,22,0,0,0,0,0,2,0,0,2,758,Gap-fill,5,2012
114,27,0,0,0,0,0,0,0,0,0,758,Gap-fill,5,2012
115,33,0,0,0,0,0,3,0,2,5,758,Gap-fill,5,2012
116,Total,0,88,5,0,0,9,0,2,104,758,Gap-fill,5,2012
117,3,0,2,0,0,0,0,0,0,2,76116,Gap-fill,5,2020
118,4,1,102,4,0,0,2,0,0,109,76116,Gap-fill,5,2020
119,12,0,0,1,0,0,1,0,0,2,76116,Gap-fill,5,2020
120,15,0,0,0,0,0,0,0,0,0,76116,Gap-fill,5,2020
121,18,0,0,0,0,0,0,0,0,0,76116,Gap-fill,5,2020
122,22,0,0,0,0,0,1,0,0,1,76116,Gap-fill,5,2020
123,27,0,0,0,0,0,0,0,0,0,76116,Gap-fill,5,2020
124,33,9,0,0,0,0,0,0,0,9,76116,Gap-fill,5,2020
125,Total,10,104,5,0,0,4,0,0,123,76116,Gap-fill,5,2020
126,3,0,5,0,0,0,0,0,0,5,756,Gap-fill,10,1995
127,4,0,180,0,0,0,16,0,2,198,756,Gap-fill,10,1995
128,12,0,5,0,0,0,2,0,0,7,756,Gap-fill,10,1995
129,15,0,0,0,0,0,0,0,0,0,756,Gap-fill,10,1995
130,18,0,0,0,0,0,0,0,0,0,756,Gap-fill,10,1995
131,22,0,3,0,0,0,0,0,1,4,756,Gap-fill,10,1995
