,classes,3,4,12,15,18,22,33,Total,bacia,model,version,year
97,4,1,112,47,0,0,0,0,160,7615,Temporal,5,2003
98,12,0,1,6,0,0,8,0,15,7615,Temporal,5,2003
99,15,0,0,0,0,0,0,0,0,7615,Temporal,5,2003
100,18,0,0,0,0,0,0,0,0,7615,Temporal,5,2003
101,22,0,1,0,0,0,2,0,3,7615,Temporal,5,2003
102,33,0,0,0,0,0,0,2,2,7615,Temporal,5,2003
103,Total,2,114,53,0,0,10,2,181,7615,Temporal,5,2003
104,3,0,3,0,0,0,0,0,3,757,Temporal,9,2012
105,4,0,120,1,0,0,4,1,126,757,Temporal,9,2012
106,12,0,1,0,0,0,0,0,1,757,Temporal,9,2012
107,15,0,0,0,0,0,0,0,0,757,Temporal,9,2012
108,18,0,0,0,0,0,0,0,0,757,Temporal,9,2012
109,22,0,2,1,0,0,0,0,3,757,Temporal,9,2012
110,33,0,1,1,0,0,0,3,5,757,Temporal,9,2012
111,Total,0,127,3,0,0,4,4,138,757,Temporal,9,2012
112,3,3,11,0,0,0,0,0,14,765,Temporal,5,2016
113,4,2,87,5,0,0,0,0,94,765,Temporal,5,2016
114,12,0,0,0,0,0,0,0,0,765,Temporal,5,2016
115,15,0,0,0,0,0,0,0,0,765,Temporal,5,2016
116,18,0,0,0,0,0,0,0,0,765,Temporal,5,2016
117,22,0,2,0,0,0,4,0,6,765,Temporal,5,2016
118,33,1,0,0,0,0,0,1,2,765,Temporal,5,2016
119,Total,6,100,5,0,0,4,1,116,765,Temporal,5,2016
120,3,0,0,0,0,0,0,0,0,758,Temporal,9,2012
121,4,0,76,2,0,0,1,0,79,758,Temporal,9,2012
122,12,0,0,0,0,0,1,0,1,758,Temporal,9,2012
123,15,0,0,0,0,0,0,0,0,758,Temporal,9,2012
124,18,0,0,0,0,0,0,0,0,758,Temporal,9,2012
125,22,0,0,0,0,0,1,0,1,758,Temporal,9,2012
126,33,0,1,0,0,0,2,0,3,758,Temporal,9,2012
127,Total,0,77,2,0,0,5,0,84,758,Temporal,9,2012
128,3,0,0,0,0,0,0,0,0,7613,Temporal,9,2002
129,4,0,98,33,0,0,1,1,133,7613,Temporal,9,2002
130,12,0,0,7,0,0,6,0,13,7613,Temporal,9,2002
131,15,0,0,0,0,0,0,0,0,7613,Temporal,9,2002
132,18,0,0,0,0,0,0,0,0,7613,Temporal,9,2002
133,22,0,0,1,0,0,0,0,1,7613,Temporal,9,2002
134,33,0,0,0,0,0,0,1,1,7613,Temporal,9,2002
135,Total,0,98,41,0,0,7,2,148,7613,Temporal,9,2002
136,3,0,0,0,0,0,0,0,0,7617,Temporal,9,2013
137,4,0,107,30,0,0,0,0,137,7617,Temporal,9,2013
138,12,0,2,0,0,0,1,0,3,7617,Temporal,9,2013
139,15,0,0,0,0,0,0,0,0,7617,Temporal,9,2013
140,18,0,0,0,0,0,0,0,0,7617,Temporal,9,2013
141,22,0,0,0,0,0,0,0,0,7617,Temporal,9,2013
142,33,0,1,0,0,0,0,29,30,7617,Temporal,9,2013
143,Total,0,110,30,0,0,1,29,170,7617,Temporal,9,2013
144,3,0,9,0,0,0,0,0,9,764,Temporal,9,1996
145,4,0,26,0,0,0,1,0,27,764,Temporal,9,1996
146,12,0,0,0,0,0,0,0,0,764,Temporal,9,1996
147,15,0,0,0,0,0,0,0,0,764,Temporal,9,1996
148,18,0,0,0,0,0,0,0,0,764,Temporal,9,1996
149,22,0,1,0,0,0,1,0,2,764,Temporal,9,1996
150,33,0,0,0,0,0,0,0,0,764,Temporal,9,1996
151,Total,0,36,0,0,0,2,0,38,764,Temporal,9,1996
152,3,1,1,0,0,0,0,0,2,76116,Temporal,9,2016
153,4,4,106,5,0,0,2,0,117,76116,Temporal,9,2016
154,12,0,0,0,0,0,0,0,0,76116,Temporal,9,2016
155,15,0,0,0,0,0,0,0,0,76116,Temporal,9,2016
156,18,0,0,0,0,0,0,0,0,76116,Temporal,9,2016
157,22,0,0,0,0,0,1,0,1,76116,Temporal,9,2016
158,33,0,0,0,0,0,0,9,9,76116,Temporal,9,2016
159,Total,5,107,5,0,0,3,9,129,76116,Temporal,9,2016
160,3,5,13,0,0,0,0,0,18,763,Temporal,5,1991
161,4,14,167,5,0,0,0,0,186,763,Temporal,5,1991
162,12,0,2,4,0,0,2,1,9,763,Temporal,5,1991
163,15,0,0,0,0,0,0,0,0,763,Temporal,5,1991
164,18,0,0,0,0,0,0,0,0,763,Temporal,5,1991
165,22,0,1,2,0,0,2,1,6,763,Temporal,5,1991
166,33,0,0,0,0,0,0,2,2,763,Temporal,5,1991
167,Total,19,183,11,0,0,4,4,221,763,Temporal,5,1991
168,3,5,6,0,0,0,0,0,11,744,Temporal,9,2000
169,4,16,472,16,0,0,4,1,509,744,Temporal,9,2000
170,12,0,4,7,0,0,3,1,15,744,Temporal,9,2000
171,15,0,0,0,0,0,0,0,0,744,Temporal,9,2000
172,18,0,0,0,0,0,0,0,0,744,Temporal,9,2000
173,22,0,1,0,0,0,1,0,2,744,Temporal,9,2000
