,aggrement,area,bacia,classe,year,Models,version
126,3,12220.55998951117,756,3,1992,toExport,10
127,3,11750.876019036992,756,3,1993,toExport,10
128,3,12126.339761832123,756,3,1994,toExport,10
129,3,10964.96679245158,756,3,1995,toExport,10
130,3,10791.528169816786,756,3,1996,toExport,10
131,1,0.5339807739257812,756,3,1997,toExport,10
132,3,9756.991364456717,756,3,1997,toExport,10
133,3,9957.23369763053,756,3,1998,toExport,10
134,3,9232.456375258866,756,3,1999,toExport,10
135,3,8954.594915969477,756,3,2000,toExport,10
136,3,9566.634108789922,756,3,2001,toExport,10
137,3,10810.653861143215,756,3,2002,toExport,10
138,1,0.0889318237304687,756,3,2003,toExport,10
139,3,11206.9785180889,756,3,2003,toExport,10
140,3,13620.12628819331,756,3,2004,toExport,10
141,3,15487.178290886446,756,3,2005,toExport,10
142,3,15867.952942706816,756,3,2006,toExport,10
143,3,17293.217300869477,756,3,2007,toExport,10
144,1,0.2669616821289062,756,3,2008,toExport,10
145,3,16774.761104223056,756,3,2008,toExport,10
146,3,17275.37949780808,756,3,2009,toExport,10
147,3,19152.88128244698,756,3,2010,toExport,10
148,1,169.92691026611328,756,3,2011,toExport,10
149,2,3.023193518066406,756,3,2011,toExport,10
150,3,18525.49983355709,756,3,2011,toExport,10
151,3,19415.69067822151,756,3,2012,toExport,10
152,1,0.2671675048828125,756,3,2013,toExport,10
153,3,19087.940675199672,756,3,2013,toExport,10
154,3,16595.393412957288,756,3,2014,toExport,10
155,3,12931.66019677228,756,3,2015,toExport,10
156,3,12638.154077509713,756,3,2016,toExport,10
157,3,9512.597151052096,756,3,2017,toExport,10
158,3,6864.899433949987,756,3,2018,toExport,10
159,3,7087.334472330836,756,3,2019,toExport,10
160,3,7038.070852830106,756,3,2020,toExport,10
161,3,6934.405006414474,756,3,2021,toExport,10
162,3,6847.916523739145,756,3,2022,toExport,10
163,1,13510.32122427809,76116,22,1985,toExport,10
164,2,40137.78268492617,76116,22,1985,toExport,10
165,3,7823.47034948926,76116,22,1985,toExport,10
166,1,13657.80265983246,76116,22,1986,toExport,10
167,2,47523.31300490571,76116,22,1986,toExport,10
168,3,4658.658226414825,76116,22,1986,toExport,10
169,1,13704.667098147938,76116,22,1987,toExport,10
170,2,70645.21527222767,76116,22,1987,toExport,10
171,3,4251.24912480596,76116,22,1987,toExport,10
172,1,12843.068836132144,76116,22,1988,toExport,10
173,2,77170.46767450929,76116,22,1988,toExport,10
174,3,2550.675015103236,76116,22,1988,toExport,10
175,1,12364.04571412975,76116,22,1989,toExport,10
176,2,58551.74986976452,76116,22,1989,toExport,10
177,3,3768.427924784297,76116,22,1989,toExport,10
178,1,12107.009233769011,76116,22,1990,toExport,10
179,2,62727.12183799197,76116,22,1990,toExport,10
180,3,4185.353357633472,76116,22,1990,toExport,10
181,1,12525.158749716036,76116,22,1991,toExport,10
182,2,68023.03037331354,76116,22,1991,toExport,10
183,3,3923.781881914799,76116,22,1991,toExport,10
184,1,12256.779559319166,76116,22,1992,toExport,10
185,2,72325.35075788628,76116,22,1992,toExport,10
186,3,4835.931000157156,76116,22,1992,toExport,10
187,1,11124.643897008553,76116,22,1993,toExport,10
188,2,74041.15705049463,76116,22,1993,toExport,10
189,3,5991.046117241052,76116,22,1993,toExport,10
190,1,12898.068417161105,76116,22,1994,toExport,10
191,2,54139.54945780127,76116,22,1994,toExport,10
192,3,4605.853860380581,76116,22,1994,toExport,10
193,1,12344.64746424145,76116,22,1995,toExport,10
194,2,64289.13961134363,76116,22,1995,toExport,10
195,3,4630.153370830328,76116,22,1995,toExport,10
196,1,12208.800974593643,76116,22,1996,toExport,10
197,2,75962.36974194206,76116,22,1996,toExport,10
198,3,4061.5226481796026,76116,22,1996,toExport,10
199,1,10759.364899245236,76116,22,1997,toExport,10
200,2,61725.45515910237,76116,22,1997,toExport,10
201,3,4635.7970720659305,76116,22,1997,toExport,10
202,1,8547.030997915861,76116,22,1998,toExport,10
203,2,84976.20438938373,76116,22,1998,toExport,10
204,3,6839.876173665046,76116,22,1998,toExport,10
205,1,11275.784531583922,76116,22,1999,toExport,10
206,2,95098.76032294304,76116,22,1999,toExport,10
207,3,4377.118498499463,76116,22,1999,toExport,10
208,1,14139.938838614771,76116,22,2000,toExport,10
209,2,94439.90035968318,76116,22,2000,toExport,10
210,3,2963.690113420147,76116,22,2000,toExport,10
211,1,13891.193680232836,76116,22,2001,toExport,10
212,2,104727.83544617296,76116,22,2001,toExport,10
213,3,2809.8286562178787,76116,22,2001,toExport,10
214,1,15725.772729290868,76116,22,2002,toExport,10
215,2,112491.15487445262,76116,22,2002,toExport,10
216,3,2553.5029183282845,76116,22,2002,toExport,10
217,1,14520.081627765583,76116,22,2003,toExport,10
218,2,112948.13433933072,76116,22,2003,toExport,10
219,3,5686.7219357825525,76116,22,2003,toExport,10
220,1,19632.201765132257,76116,22,2004,toExport,10
221,2,66240.4453237945,76116,22,2004,toExport,10
222,3,4716.765018127634,76116,22,2004,toExport,10
223,1,22784.15577227066,76116,22,2005,toExport,10
224,2,58049.05120266716,76116,22,2005,toExport,10
225,3,5076.131185602665,76116,22,2005,toExport,10
226,1,22825.618725683093,76116,22,2006,toExport,10
227,2,66588.7523449927,76116,22,2006,toExport,10
228,3,7027.6745042530265,76116,22,2006,toExport,10
229,1,24524.500962520677,76116,22,2007,toExport,10
230,2,70092.1270632745,76116,22,2007,toExport,10
231,3,5005.398502122819,76116,22,2007,toExport,10
232,1,20637.485320845964,76116,22,2008,toExport,10
233,2,48897.5513861589,76116,22,2008,toExport,10
234,3,7991.430401180716,76116,22,2008,toExport,10
235,1,19813.937206624032,76116,22,2009,toExport,10
236,2,56418.03834341751,76116,22,2009,toExport,10
237,3,6282.131816207194,76116,22,2009,toExport,10
238,1,20566.159864736404,76116,22,2010,toExport,10
239,2,71158.39246379126,76116,22,2010,toExport,10
240,3,4329.822621794292,76116,22,2010,toExport,10
241,1,19017.548730989085,76116,22,2011,toExport,10
242,2,72686.09343290493,76116,22,2011,toExport,10
243,3,4401.091887913255,76116,22,2011,toExport,10
244,1,17555.643699125012,76116,22,2012,toExport,10
245,2,133378.96938142713,76116,22,2012,toExport,10
246,3,4414.111823881833,76116,22,2012,toExport,10
247,1,15290.763642318396,76116,22,2013,toExport,10
248,2,111413.63490089872,76116,22,2013,toExport,10
249,3,7169.945876723389,76116,22,2013,toExport,10
250,1,19452.552971314533,76116,22,2014,toExport,10
251,2,78674.23309229861,76116,22,2014,toExport,10
252,3,4019.648360042902,76116,22,2014,toExport,10
253,1,19238.923049738107,76116,22,2015,toExport,10
254,2,98707.96271820708,76116,22,2015,toExport,10
255,3,4587.00515902734,76116,22,2015,toExport,10
256,1,19263.18865592234,76116,22,2016,toExport,10
257,2,94096.19291515317,76116,22,2016,toExport,10
258,3,4664.577700715918,76116,22,2016,toExport,10
259,1,16562.41033253773,76116,22,2017,toExport,10
260,2,82001.29584883571,76116,22,2017,toExport,10
261,3,9019.54922271866,76116,22,2017,toExport,10
262,1,20806.6036248322,76116,22,2018,toExport,10
263,2,102181.99551579196,76116,22,2018,toExport,10
264,3,3947.2142766501033,76116,22,2018,toExport,10
265,1,17939.773390673698,76116,22,2019,toExport,10
266,2,78999.20555513645,76116,22,2019,toExport,10
267,3,4680.135619520953,76116,22,2019,toExport,10
268,1,17660.03554041576,76116,22,2020,toExport,10
269,2,57494.18566284924,76116,22,2020,toExport,10
270,3,4477.016075490295,76116,22,2020,toExport,10
271,1,15967.812943356888,76116,22,2021,toExport,10
272,2,57214.81155855228,76116,22,2021,toExport,10
273,3,5612.075530668298,76116,22,2021,toExport,10
274,1,17191.443114630678,76116,22,2022,toExport,10
275,2,54528.48276676089,76116,22,2022,toExport,10
276,3,3576.0755882362173,76116,22,2022,toExport,10
277,1,35710.18620243992,775,4,1985,toExport,10
278,2,37180.609049661245,775,4,1985,toExport,10
279,3,6812.459448356161,775,4,1985,toExport,10
280,1,36495.44238884725,775,4,1986,toExport,10
281,2,41103.73197015255,775,4,1986,toExport,10
282,3,5621.221921974191,775,4,1986,toExport,10
283,1,38931.480928877376,775,4,1987,toExport,10
284,2,39767.720985484346,775,4,1987,toExport,10
285,3,5148.09070919822,775,4,1987,toExport,10
286,1,45771.93563918352,775,4,1988,toExport,10
287,2,41488.27592975432,775,4,1988,toExport,10
288,3,4435.20641364895,775,4,1988,toExport,10
289,1,46676.982252861904,775,4,1989,toExport,10
290,2,40302.76879038023,775,4,1989,toExport,10
291,3,4996.593396904541,775,4,1989,toExport,10
292,1,48683.51293721292,775,4,1990,toExport,10
293,2,43632.805210528255,775,4,1990,toExport,10
294,3,4324.273842576716,775,4,1990,toExport,10
295,1,48614.69286274472,775,4,1991,toExport,10
296,2,45975.10366944776,775,4,1991,toExport,10
297,3,4005.548087674911,775,4,1991,toExport,10
298,1,46916.15516549378,775,4,1992,toExport,10
299,2,42523.33202984073,775,4,1992,toExport,10
300,3,5164.448151800484,775,4,1992,toExport,10
301,1,46102.132159275614,775,4,1993,toExport,10
302,2,37603.24617281943,775,4,1993,toExport,10
303,3,5472.236982532381,775,4,1993,toExport,10
