,classes,3,4,12,21,22,33,Total,bacia,model,version,year
7898,12,0,0,0,0,0,0,0,772,RF,30,1985
7899,21,3,23,0,51,2,0,79,772,RF,30,1985
7900,22,0,0,0,0,0,0,0,772,RF,30,1985
7901,33,0,0,0,0,0,0,0,772,RF,30,1985
7902,Total,33,69,0,70,2,0,174,772,RF,30,1985
7903,3,2,1,0,1,0,0,4,775,RF,30,1993
7904,4,1,1,0,3,0,0,5,775,RF,30,1993
7905,12,0,1,0,0,0,0,1,775,RF,30,1993
7906,21,0,5,1,11,0,0,17,775,RF,30,1993
7907,22,0,0,0,0,0,0,0,775,RF,30,1993
7908,33,0,0,0,0,0,0,0,775,RF,30,1993
7909,Total,3,8,1,15,0,0,27,775,RF,30,1993
7910,3,3,1,0,0,0,0,4,741,RF,30,1985
7911,4,35,73,1,0,0,0,109,741,RF,30,1985
7912,12,0,1,1,1,0,0,3,741,RF,30,1985
7913,21,2,9,0,7,0,0,18,741,RF,30,1985
7914,22,0,1,1,0,0,0,2,741,RF,30,1985
7915,33,0,0,0,0,0,2,2,741,RF,30,1985
7916,Total,40,85,3,8,0,2,138,741,RF,30,1985
7917,3,0,29,0,0,0,0,29,7622,RF,30,1986
7918,4,3,97,0,4,0,0,104,7622,RF,30,1986
7919,12,0,1,0,1,0,0,2,7622,RF,30,1986
7920,21,0,4,0,11,0,0,15,7622,RF,30,1986
7921,22,0,0,0,0,0,0,0,7622,RF,30,1986
7922,33,0,0,0,0,0,0,0,7622,RF,30,1986
7923,Total,3,131,0,16,0,0,150,7622,RF,30,1986
7924,3,3,6,0,0,0,0,9,764,RF,30,2016
7925,4,2,34,0,1,0,1,38,764,RF,30,2016
7926,12,0,0,0,0,0,0,0,764,RF,30,2016
7927,21,0,15,0,34,1,0,50,764,RF,30,2016
7928,22,0,2,0,0,0,0,2,764,RF,30,2016
7929,33,0,0,0,0,0,0,0,764,RF,30,2016
7930,Total,5,57,0,35,1,1,99,764,RF,30,2016
7931,3,3,14,0,1,0,0,18,7621,RF,30,2003
7932,4,2,27,0,4,0,0,33,7621,RF,30,2003
7933,12,0,2,0,0,0,1,3,7621,RF,30,2003
7934,21,0,7,0,21,0,0,28,7621,RF,30,2003
7935,22,0,0,0,0,0,0,0,7621,RF,30,2003
7936,33,0,0,0,0,0,1,1,7621,RF,30,2003
7937,Total,5,50,0,26,0,2,83,7621,RF,30,2003
7938,3,19,7,0,0,0,0,26,7741,RF,30,2015
7939,4,14,67,2,18,0,0,101,7741,RF,30,2015
