,Version,Models,Bacia,Years,Accuracy,Accuracy_Bal,Precision,ReCall,F1-Score,Jaccard
0,26,Estavel,Caatinga,1985,0.7150831991411701,0.47973957139405526,0.48167953916909206,0.47973957139405526,0.47888792220421034,0.3597719115407794
1,26,Estavel,Caatinga,1986,0.7166935050993022,0.4873356372701603,0.49272213042711727,0.4873356372701603,0.4881211693187602,0.36667776964341464
2,26,Estavel,Caatinga,1987,0.7206655931293613,0.487715437232902,0.5134761428192848,0.487715437232902,0.49404283356977413,0.36855450135247825
3,26,Estavel,Caatinga,1988,0.7302200751476113,0.4960496536470464,0.5227333378441966,0.4960496536470464,0.5024855349523616,0.3774561478161161
4,26,Estavel,Caatinga,1989,0.7326892109500805,0.4912123184222697,0.5310552459947794,0.4912123184222697,0.5035155860746733,0.38019536107052637
5,26,Estavel,Caatinga,1990,0.7323671497584541,0.496691715052141,0.5226974455337321,0.496691715052141,0.5038410859708177,0.38342365117757987
6,26,Estavel,Caatinga,1991,0.7293612453032743,0.49869808492497536,0.5243719358314878,0.49869808492497536,0.5058877760853633,0.3826454438040759
7,26,Estavel,Caatinga,1992,0.7254965110037573,0.49144729152119077,0.5275216218678805,0.49144729152119077,0.5020965729666004,0.37715779338465377
8,26,Estavel,Caatinga,1993,0.7294685990338164,0.4934958975219745,0.5278890103490124,0.4934958975219745,0.50399550109146,0.3789342898870756
9,26,Estavel,Caatinga,1994,0.7280730005367686,0.4862784311998924,0.5225827163525705,0.4862784311998924,0.4976518988185563,0.3736899455690115
10,26,Estavel,Caatinga,1995,0.7249597423510467,0.47528351341226127,0.5267761546958974,0.47528351341226127,0.4906708702463521,0.3684888222207163
11,26,Estavel,Caatinga,1996,0.726033279656468,0.47197790955446645,0.5222316224734921,0.47197790955446645,0.4875527478873658,0.3641237347442281
12,26,Estavel,Caatinga,1997,0.7246376811594203,0.4735105156938948,0.5207052534553047,0.4735105156938948,0.4873876159159883,0.3642638831771953
13,26,Estavel,Caatinga,1998,0.7278582930756844,0.48200647026551224,0.5287113086586276,0.48200647026551224,0.4959285863554208,0.3713697075356192
14,26,Estavel,Caatinga,1999,0.7283950617283951,0.48140594796300723,0.5224920003533698,0.48140594796300723,0.4939074657874327,0.3719150729607212
15,26,Estavel,Caatinga,2000,0.7296833064949007,0.47787529321432703,0.5234887946983813,0.47787529321432703,0.49202548092575754,0.3697079920381821
16,26,Estavel,Caatinga,2001,0.7268921095008052,0.47078194292113845,0.5180872104845108,0.47078194292113845,0.48493119602926255,0.3621458218647611
17,26,Estavel,Caatinga,2002,0.7290391841116479,0.471008928360422,0.5104501787398954,0.471008928360422,0.4830495833679859,0.3628273781003319
18,26,Estavel,Caatinga,2003,0.7303274288781535,0.4768895032444281,0.5304360348787035,0.4768895032444281,0.4940336161812439,0.37108218228717565
19,26,Estavel,Caatinga,2004,0.7277509393451422,0.4863934249303847,0.5151224828682898,0.4863934249303847,0.49523070732083285,0.3752169755470977
20,26,Estavel,Caatinga,2005,0.7294685990338164,0.4996702940672105,0.5259412723252611,0.4996702940672105,0.5075440836816362,0.3881559671652138
21,26,Estavel,Caatinga,2006,0.7278582930756844,0.49071080348028956,0.5170042556873827,0.49071080348028956,0.4987125669171128,0.3784171947085397
22,26,Estavel,Caatinga,2007,0.7300053676865271,0.4953298208858889,0.5227963246379473,0.4953298208858889,0.5032384333130305,0.3822475297219016
23,26,Estavel,Caatinga,2008,0.7302200751476113,0.4914831045703478,0.5288486471081609,0.4914831045703478,0.5025773443027334,0.38342692670185813
24,26,Estavel,Caatinga,2009,0.7300053676865271,0.49784031698069436,0.5338994560279914,0.49784031698069436,0.5092407737268383,0.3872976792355817
25,26,Estavel,Caatinga,2010,0.7311862587224907,0.49072794401860703,0.5238159271739226,0.49072794401860703,0.5012635180764663,0.38150188917602873
26,26,Estavel,Caatinga,2011,0.7355877616747182,0.493518276023673,0.5291699686601903,0.493518276023673,0.504966757860472,0.3846658204023999
27,26,Estavel,Caatinga,2012,0.7397745571658615,0.49764043955216947,0.5364912780983508,0.49764043955216947,0.5098315635135987,0.3912390949308528
