,classes,3,4,12,21,22,27,33,Total,bacia,model,version,year
1006,33,2,2,0,3,0,0,5,12,754,SpatialV2,15,2003
1007,Total,20,482,1,214,1,0,5,723,754,SpatialV2,15,2003
1008,3,4,5,0,1,0,0,0,10,754,SpatialV2,15,1993
1009,4,11,356,1,115,0,0,0,483,754,SpatialV2,15,1993
1010,12,0,4,0,11,0,0,0,15,754,SpatialV2,15,1993
1011,21,1,65,2,131,0,0,1,200,754,SpatialV2,15,1993
1012,22,0,1,0,3,0,0,0,4,754,SpatialV2,15,1993
1013,27,0,0,0,0,0,0,0,0,754,SpatialV2,15,1993
1014,33,0,3,1,4,0,0,3,11,754,SpatialV2,15,1993
1015,Total,16,434,4,265,0,0,4,723,754,SpatialV2,15,1993
1016,3,4,8,0,0,0,0,0,12,754,SpatialV2,15,2017
1017,4,10,361,1,91,0,0,0,463,754,SpatialV2,15,2017
1018,12,0,3,1,10,0,0,0,14,754,SpatialV2,15,2017
1019,21,1,77,0,141,0,0,0,219,754,SpatialV2,15,2017
1020,22,0,1,0,3,0,0,0,4,754,SpatialV2,15,2017
1021,27,0,0,0,0,0,0,0,0,754,SpatialV2,15,2017
1022,33,1,3,0,3,0,0,4,11,754,SpatialV2,15,2017
1023,Total,16,453,2,248,0,0,4,723,754,SpatialV2,15,2017
1024,3,5,12,0,4,0,0,0,21,Caatinga,SpatialV2,15,1992
1025,4,19,678,5,262,4,0,0,968,Caatinga,SpatialV2,15,1992
1026,12,0,5,3,13,3,0,0,24,Caatinga,SpatialV2,15,1992
1027,21,6,176,2,323,7,0,2,516,Caatinga,SpatialV2,15,1992
1028,22,0,2,0,7,0,0,0,9,Caatinga,SpatialV2,15,1992
1029,27,0,0,0,0,0,0,0,0,Caatinga,SpatialV2,15,1992
1030,33,2,6,6,2,0,0,14,30,Caatinga,SpatialV2,15,1992
1031,Total,32,879,16,611,14,0,16,1568,Caatinga,SpatialV2,15,1992
1032,3,5,12,0,3,0,0,0,20,Caatinga,SpatialV2,15,2000
1033,4,14,707,13,228,0,0,0,962,Caatinga,SpatialV2,15,2000
1034,12,0,5,4,13,2,0,0,24,Caatinga,SpatialV2,15,2000
1035,21,3,194,6,322,0,0,1,526,Caatinga,SpatialV2,15,2000
